customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,changes.changes,changes.changeTimestamp,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeTeam.disabled,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,awayRedCards,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,homeRedCards,aggregatedWinnerCode,previousLegEventId,homeScore.aggregated,awayScore.aggregated
NLisgkB,0,False,False,11068419,1680130800,santa-cruz-rn-abc,False,"Campeonato Potiguar, 1st Phase",campeonato-potiguar-1st-phase,Brazil,brazil,Football,football,1,13,brazil,BR,"Potiguar, 1. Divisao",potiguar-1-divisao,#6abc5b,#397bbe,Brazil,brazil,Football,football,1,13,brazil,BR,1708,11663,False,False,False,False,0,57473,5,60,Postponed,postponed,Santa Cruz RN,santa-cruz-rn,Santa Cruz,M,Football,football,1,592,SCR,False,0,65506,BR,Brazil,[],#ffffff,#ff0000,#ff0000,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,False,0,21838,BR,Brazil,[],#f6f4fa,#f6f4fa,#f6f4fa,"['status.code', 'status.description', 'status.type']",1679951847,,,,,,,,,,,,,,,,,,,,,,,,,,
jOsNLi,1,True,False,11165493,1680136200,abc-sport-recife,False,"Copa do Nordeste, Knockout stage",copa-do-nordeste-knockout-stage,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Nordeste,copa-do-nordeste,#033bbe,#a5863b,Brazil,brazil,Football,football,1,13,brazil,BR,19722,1596,False,False,False,False,0,31972,28,100,Ended,finished,Sport Recife,sport-recife,Sport Recife,M,Football,football,1,43095,REC,False,0,1959,BR,Brazil,[],#cc0000,#000000,#000000,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,False,0,21838,BR,Brazil,[],#f6f4fa,#f6f4fa,#f6f4fa,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680215577,Semifinal,semifinal,2.0,False,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1680215576.0,,,,,,,,,
yPsNLi,0,False,False,11068421,1680462000,abc-america-rn,False,"Campeonato Potiguar, 1st Phase",campeonato-potiguar-1st-phase,Brazil,brazil,Football,football,1,13,brazil,BR,"Potiguar, 1. Divisao",potiguar-1-divisao,#6abc5b,#397bbe,Brazil,brazil,Football,football,1,13,brazil,BR,1708,11663,False,False,False,False,0,57473,6,60,Postponed,postponed,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,0,21838,BR,Brazil,[],#f6f4fa,#f6f4fa,#f6f4fa,América-RN,america-rn,América-RN,M,Football,football,1,6479,ARN,False,False,0,2023,BR,Brazil,[],#c80002,#222226,#222226,"['status.code', 'status.description', 'status.type']",1680254097,,,,False,,,,,,,,,,,,,,,,,,,,,,
yPsNLi,2,False,False,11179709,1680462000,abc-america-rn,False,"Campeonato Potiguar, 1st Phase",campeonato-potiguar-1st-phase,Brazil,brazil,Football,football,1,13,brazil,BR,"Potiguar, 1. Divisao",potiguar-1-divisao,#6abc5b,#397bbe,Brazil,brazil,Football,football,1,13,brazil,BR,1708,11663,False,False,False,False,0,57473,3,100,Ended,finished,América-RN,america-rn,América-RN,M,Football,football,1,6479,ARN,False,0,2023,BR,Brazil,[],#c80002,#222226,#222226,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,False,0,21838,BR,Brazil,[],#f6f4fa,#f6f4fa,#f6f4fa,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680469285,,,,False,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,,,1680466320.0,,,,,,,,,
NLisgFn,1,False,False,11188551,1680735600,acd-potiguar-abc,False,"Campeonato Potiguar, 1st Phase",campeonato-potiguar-1st-phase,Brazil,brazil,Football,football,1,13,brazil,BR,"Potiguar, 1. Divisao",potiguar-1-divisao,#6abc5b,#397bbe,Brazil,brazil,Football,football,1,13,brazil,BR,1708,11663,False,False,False,False,0,57473,4,100,Ended,finished,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,0,21838,BR,Brazil,[],#f6f4fa,#f6f4fa,#f6f4fa,ACD Potiguar,acd-potiguar,Potiguar,M,Football,football,1,1132,POT,,False,0,34006,BR,Brazil,[],#cd0000,#ffffff,#ffffff,['cardsCode'],1680765320,,,,False,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,,
NLisgkB,2,False,False,11188550,1681066800,santa-cruz-rn-abc,False,"Campeonato Potiguar, 1st Phase",campeonato-potiguar-1st-phase,Brazil,brazil,Football,football,1,13,brazil,BR,"Potiguar, 1. Divisao",potiguar-1-divisao,#6abc5b,#397bbe,Brazil,brazil,Football,football,1,13,brazil,BR,1708,11663,False,False,False,False,0,57473,5,100,Ended,finished,Santa Cruz RN,santa-cruz-rn,Santa Cruz,M,Football,football,1,592,SCR,False,0,65506,BR,Brazil,[],#ffffff,#ff0000,#ff0000,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,False,0,21838,BR,Brazil,[],#f6f4fa,#f6f4fa,#f6f4fa,['cardsCode'],1681111915,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,1681070580.0,,,,,,,,,
BtcsNLi,2,True,False,11177665,1681432200,gremio-abc,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,100,Ended,finished,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,0,21838,BR,Brazil,[],#f6f4fa,#f6f4fa,#f6f4fa,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681439512,Round 3,round-3,,False,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,5.0,1681439511.0,,True,True,1.0,,,,,
xPsNLi,1,False,False,11076171,1681669800,abc-londrina,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,390,True,False,True,False,279,1449,1,100,Ended,finished,Londrina,londrina,Londrina,M,Football,football,1,12787,LON,False,0,2022,BR,Brazil,[],#77bbff,#ffffff,#ffffff,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,False,0,21838,BR,Brazil,[],#f6f4fa,#f6f4fa,#f6f4fa,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681677151,,,,False,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1681677150.0,,True,True,1.0,,,,,
yPsNLi,0,False,False,11205539,1682031600,abc-america-rn,True,"Campeonato Potiguar, 1st Phase",campeonato-potiguar-1st-phase,Brazil,brazil,Football,football,1,13,brazil,BR,"Potiguar, 1. Divisao",potiguar-1-divisao,#6abc5b,#397bbe,Brazil,brazil,Football,football,1,13,brazil,BR,1708,11663,False,False,False,False,0,57473,6,60,Postponed,postponed,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,0,21838,BR,Brazil,[],#f6f4fa,#f6f4fa,#f6f4fa,América-RN,america-rn,América-RN,M,Football,football,1,6479,ARN,False,False,0,2023,BR,Brazil,[],#c80002,#222226,#222226,"['status.code', 'status.description', 'status.type']",1682046467,,,,False,,,,,,,,,,,,,,,,,,,,,,
mOsNLi,2,True,False,11076191,1682283600,abc-vitoria,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,390,True,False,True,False,279,1449,2,100,Ended,finished,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,0,21838,BR,Brazil,[],#f6f4fa,#f6f4fa,#f6f4fa,Vitória,vitoria,Vitória,M,Football,football,1,23493,VIT,False,False,0,1962,BR,Brazil,[],#ff0000,#000000,#000000,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1682290744,,,,False,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,5.0,5.0,1682290699.0,,True,True,1.0,1.0,,,,
