customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.penalties,awayScore.penalties,homeRedCards
ZOsHOi,3,True,True,True,1.0,False,10912190,1676158200,mirassol-red-bull-bragantino,False,Paulista Série A1,paulista-serie-a1,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,False,False,372,True,False,286,57411,8,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,0,0,0,0,0,0,0,0,0,0,2.0,7.0,1676165081,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676165085,,,,,,,
APsHOi,1,True,True,True,1.0,False,10912195,1676581200,mirassol-ituano,False,Paulista Série A1,paulista-serie-a1,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,False,False,372,True,False,286,57411,9,100,Ended,finished,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,1,1,1,0,1,0,0,0,0,0,3.0,7.0,1676588157,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676588160,,,,,,,
hOsHOi,1,True,True,True,1.0,False,10912206,1676842200,mirassol-corinthians,False,Paulista Série A1,paulista-serie-a1,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,False,False,372,True,False,286,57411,10,100,Ended,finished,Corinthians,corinthians,Corinthians,M,Football,football,1,161531,COR,False,False,0,1957,BR,Brazil,[],#ffffff,#000000,#000000,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,3,3,2,1,3,0,0,0,0,0,4.0,5.0,1676849145,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1676849149,,,,,,,
qOcsHOi,2,True,True,True,1.0,False,10912214,1677538800,santo-andre-mirassol,False,Paulista Série A1,paulista-serie-a1,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,False,False,372,True,False,286,57411,11,100,Ended,finished,Santo André,santo-andre,Santo André,M,Football,football,1,3451,SAN,False,False,0,6966,BR,Brazil,[],#ffffff,#000080,#000080,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,0,0,0,0,0,1,1,1,0,1,3.0,7.0,1677545837,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677545840,1.0,,,,,,
WMisHOi,2,True,True,True,1.0,False,10912222,1678042800,mirassol-portuguesa,False,Paulista Série A1,paulista-serie-a1,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,False,False,372,True,False,286,57411,12,100,Ended,finished,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,Portuguesa,portuguesa,Portuguesa,M,Football,football,1,4220,APD,False,False,0,21896,BR,Brazil,[],#cc0000,#336600,#336600,1,1,1,0,1,2,2,1,1,2,2.0,8.0,1678050324,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678050326,,,,,,,
xOsHOi,1,True,,,,False,11132423,1679094000,mirassol-guarani,False,"Paulista, Serie A1, Trofeu do Interior, Playoffs",paulista-serie-a1-trofeu-do-interior-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,False,False,372,True,False,0,65298,28,100,Ended,finished,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,Guarani,guarani,Guarani,M,Football,football,1,16007,GUA,False,False,0,1972,BR,Brazil,[],#006214,#006214,#006214,1,1,0,1,1,0,0,0,0,0,5.0,7.0,1679101183,['cardsCode'],1679130422,2.0,Semifinal,semifinal,2.0,,,
HOiseau,1,True,,,,False,11145793,1679857200,sao-bernardo-mirassol,False,"Paulista, Serie A1, Trofeu do Interior, Playoffs",paulista-serie-a1-trofeu-do-interior-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,False,False,372,True,False,0,65298,29,120,AP,finished,São Bernardo,sao-bernardo,São Bernardo,M,Football,football,1,6767,SBE,False,False,0,47504,BR,Brazil,[],#fae097,#1b1a1f,#1b1a1f,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,4,0,0,0,0,2,0,0,0,0,,,1679864492,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.penalties']",1679864972,,Final,final,1.0,4.0,2.0,
VLisHOi,1,False,True,True,1.0,False,11076167,1681588800,mirassol-chapecoense,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,False,True,390,True,False,279,1449,1,100,Ended,finished,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,Chapecoense,chapecoense,Chapecoense,M,Football,football,1,18737,CHA,False,False,0,21845,BR,Brazil,[],#009966,#ffffff,#ffffff,1,1,0,1,1,0,0,0,0,0,5.0,7.0,1681595972,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681595974,,,,,,,
pWcsHOi,1,False,True,True,1.0,False,11076176,1682190000,avai-mirassol,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,False,True,390,True,False,279,1449,2,100,Ended,finished,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,1,1,0,1,1,0,0,0,0,0,7.0,9.0,1682197838,['cardsCode'],1682197852,1.0,,,,,,1.0
fPsHOi,2,False,True,True,1.0,False,11076209,1682794800,mirassol-sampaio-correa,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,False,True,390,True,False,279,1449,3,100,Ended,finished,Sampaio Corrêa,sampaio-correa,Sampaio Corrêa,M,Football,football,1,16092,SCO,False,False,0,2005,BR,Brazil,[],#008000,#ff0000,#ff0000,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,1,1,0,1,1,3,3,1,2,3,5.0,7.0,1682801992,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682801995,,,,,,,
HOisokeb,2,True,True,True,1.0,False,11076232,1683151200,mirassol-novorizontino,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,False,True,390,True,False,279,1449,4,100,Ended,finished,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,False,0,135514,BR,Brazil,[],#b4982d,#1d2329,#1d2329,0,0,0,0,0,2,2,1,1,2,5.0,7.0,1683158299,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683158302,,,,,,,
wPsHOi,3,True,True,True,1.0,False,11076263,1683407700,mirassol-vila-nova,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,False,True,390,True,False,279,1449,5,100,Ended,finished,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,1,1,1,0,1,1,1,1,0,1,5.0,6.0,1683414697,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683414700,,,,,,,
FOsHOi,2,True,True,True,1.0,False,11076296,1684004400,mirassol-juventude,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,False,True,390,True,False,279,1449,6,100,Ended,finished,Juventude,juventude,Juventude,M,Football,football,1,20055,JUV,False,False,0,1980,BR,Brazil,[],#006600,#ffffff,#ffffff,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,0,0,0,0,0,1,1,0,1,1,3.0,6.0,1684011335,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1684011338,,,,,,,
mOsHOi,1,False,True,True,1.0,False,11076315,1684533600,mirassol-vitoria,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,False,True,390,True,False,279,1449,7,100,Ended,finished,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,Vitória,vitoria,Vitória,M,Football,football,1,23493,VIT,False,False,0,1962,BR,Brazil,[],#ff0000,#000000,#000000,2,2,1,1,2,0,0,0,0,0,4.0,6.0,1684540656,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1684540657,,,,,,,
