customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayTeam.disabled,homeScore.period2,awayScore.period2,awayRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.penalties,awayScore.penalties,detailId,hasEventPlayerStatistics,hasEventPlayerHeatMap
zPisAPi,3,-1.0,False,False,9438787,1618322400,italy-iceland,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Italy,italy,Italy,F,Football,football,1,17409,ITA,False,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,Iceland,iceland,Iceland,F,Football,football,1,2367,ISL,True,0,22024,IS,Iceland,[],#0033ff,#ffffff,#ffffff,1,1,1.0,1,1,1,1.0,1,2.0,4.0,1618329117.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1618329125,,,,,,,,,,,,
APisJZm,1,-1.0,False,False,9553331,1623339000,netherlands-italy,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Italy,italy,Italy,F,Football,football,1,17409,ITA,False,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,1,1,1.0,1,0,0,0.0,0,2.0,5.0,1623345805.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1623345810,False,,,,,,,,,,,
APisoFn,2,-1.0,True,False,9540194,1623681000,austria-italy,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Austria,austria,Austria,F,Football,football,1,3509,AUT,,True,0,34014,AT,Austria,[],#ff0000,#ffffff,#ffffff,Italy,italy,Italy,F,Football,football,1,17409,ITA,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,2,2,1.0,2,3,3,1.0,3,,3.0,1623687537.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1623687541,False,,,,,,,,,,,
APisDqBb,1,-1.0,False,False,9786800,1631892600,italy-moldova,False,"World Championship Qualification, Women, UEFA Group G",world-championship-qualification-women-uefa-group-g,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12685,1.0,100,Ended,finished,Italy,italy,Italy,F,Football,football,1,17409,ITA,False,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,Moldova,moldova,Moldova,F,Football,football,1,606,MDA,True,0,190828,MD,Moldova,[],#000099,#ffbc00,#ffbc00,3,3,3.0,3,0,0,0.0,0,,,1631896399.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1631899418,,0.0,0.0,,,,,,,,,
APisJlp,2,-1.0,True,False,9786805,1632238200,croatia-italy,False,"World Championship Qualification, Women, UEFA Group G",world-championship-qualification-women-uefa-group-g,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12685,1.0,100,Ended,finished,Croatia,croatia,Croatia,F,Football,football,1,1558,CRO,,True,0,38084,HR,Croatia,[],#ff0000,#ffffff,#ffffff,Italy,italy,Italy,F,Football,football,1,17409,ITA,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,0,0,0.0,0,5,5,2.0,5,,,1632249120.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1632249140,False,0.0,3.0,1.0,,,,,,,,
APisJlp,1,-1.0,False,False,9786582,1634916600,croatia-italy,False,"World Championship Qualification, Women, UEFA Group G",world-championship-qualification-women-uefa-group-g,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12685,1.0,100,Ended,finished,Italy,italy,Italy,F,Football,football,1,17409,ITA,False,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,Croatia,croatia,Croatia,F,Football,football,1,1558,CRO,True,0,38084,HR,Croatia,[],#ff0000,#ffffff,#ffffff,3,3,2.0,3,0,0,0.0,0,,,1634920264.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1634923156,,1.0,0.0,,,,,,,,,
APisWlp,2,-1.0,False,False,9786594,1635262200,lithuania-italy,False,"World Championship Qualification, Women, UEFA Group G",world-championship-qualification-women-uefa-group-g,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12685,1.0,100,Ended,finished,Lithuania,lithuania,Lithuania,F,Football,football,1,375,LIT,,True,0,38096,LT,Lithuania,[],#fcd91e,#316b3e,#316b3e,Italy,italy,Italy,F,Football,football,1,17409,ITA,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,0,0,0.0,0,5,5,3.0,5,,,1635268936.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1635268976,False,0.0,2.0,,,,,,,,,
APisdmp,2,-1.0,False,False,9786646,1637944200,switzerland-italy,False,"World Championship Qualification, Women, UEFA Group G",world-championship-qualification-women-uefa-group-g,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12685,1.0,100,Ended,finished,Italy,italy,Italy,F,Football,football,1,17409,ITA,False,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,Switzerland,switzerland,Switzerland,F,Football,football,1,6194,SUI,True,0,38103,CH,Switzerland,[],#ff0000,#ffffff,#ffffff,1,1,0.0,1,2,2,2.0,2,,,1637947920.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1637951036,False,1.0,0.0,,,,,,,,,
lcdsAPi,2,-1.0,False,False,9786634,1638289800,romania-italy,False,"World Championship Qualification, Women, UEFA Group G",world-championship-qualification-women-uefa-group-g,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12685,1.0,100,Ended,finished,Romania,romania,Romania,F,Football,football,1,1580,ROU,,True,0,7611,RO,Romania,[],#f7bd00,#ff0000,#ff0000,Italy,italy,Italy,F,Football,football,1,17409,ITA,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,0,0,0.0,0,5,5,1.0,5,,,1638296406.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime2']",1638296992,False,0.0,4.0,,,,,,,,,
oYcsAPi,2,-1.0,False,False,10114182,1645012800,denmark-italy,False,"Algarve Cup, Women",algarve-cup-women,World,world,Football,football,1,1468,international,Algarve Cup Women,algarve-cup-women,#fdb813,#e12e22,World,world,Football,football,1,1468,international,1271,411,False,False,False,False,0,98403,1.0,100,Ended,finished,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,Italy,italy,Italy,F,Football,football,1,17409,ITA,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,0,0,0.0,0,1,1,0.0,1,1.0,4.0,1645019569.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645019570,False,,,,,,,,,,,
