customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,time.injuryTime2,roundInfo.round,awayRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,detailId,hasEventPlayerStatistics,hasEventPlayerHeatMap
DPisREj,1,-1.0,True,False,8706194,1600516800,germany-ireland,False,"Women's Euro, Qualification Group I",womens-euro-qualification-group-i,Europe,europe,Football,football,1,1465,europe,"Women's Euro, Qualification",womens-euro-qualification,#432966,#00c7e8,Europe,europe,Football,football,1,1465,europe,4269,878,False,False,False,False,0,75120,100,Ended,finished,Germany,germany,Germany,F,Football,football,1,19388,GER,False,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,Ireland,ireland,Ireland,F,Football,football,1,4676,IRL,False,True,0,22028,IE,Ireland,[],#139442,#ffffff,#ffffff,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1600520792.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1600523889,,,,,,,,,
DPisIZm,1,-1.0,True,False,8706369,1603468800,ukraine-ireland,False,"Women's Euro, Qualification Group I",womens-euro-qualification-group-i,Europe,europe,Football,football,1,1465,europe,"Women's Euro, Qualification",womens-euro-qualification,#432966,#00c7e8,Europe,europe,Football,football,1,1465,europe,4269,878,False,False,False,False,0,75120,100,Ended,finished,Ukraine,ukraine,Ukraine,F,Football,football,1,1010,UKR,False,True,0,32483,UA,Ukraine,[],#ffcc00,#0033ff,#0033ff,Ireland,ireland,Ireland,F,Football,football,1,4676,IRL,False,True,0,22028,IE,Ireland,[],#139442,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1603475400.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1603475441,,,,,,,,,
DPisREj,2,-1.0,False,False,8382866,1606842000,germany-ireland,False,"Women's Euro, Qualification Group I",womens-euro-qualification-group-i,Europe,europe,Football,football,1,1465,europe,"Women's Euro, Qualification",womens-euro-qualification,#432966,#00c7e8,Europe,europe,Football,football,1,1465,europe,4269,878,False,False,False,False,0,75120,100,Ended,finished,Ireland,ireland,Ireland,F,Football,football,1,4676,IRL,False,True,0,22028,IE,Ireland,[],#139442,#ffffff,#ffffff,Germany,germany,Germany,F,Football,football,1,19388,GER,False,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,1.0,1.0,1.0,,1.0,3.0,3.0,2.0,,3.0,,1606848493.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1606848498,3.0,,,,,,,,
oYcsDPi,2,-1.0,False,False,9442987,1617903000,denmark-ireland,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Ireland,ireland,Ireland,F,Football,football,1,4676,IRL,False,True,0,22028,IE,Ireland,[],#139442,#ffffff,#ffffff,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,,1.0,1.0,1617909591.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1617909602,3.0,,,,,,,,
DPisGlp,1,-1.0,False,False,9449190,1618162200,belgium-ireland,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Belgium,belgium,Belgium,F,Football,football,1,4806,BEL,,True,0,38081,BE,Belgium,[],#ff0033,#000000,#000000,Ireland,ireland,Ireland,F,Football,football,1,4676,IRL,False,True,0,22028,IE,Ireland,[],#139442,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1618169064.0,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1', 'time.injuryTime2']",1618169085,,,,,,,,,
zPisDPi,1,-1.0,True,False,9540149,1623430800,ireland-iceland,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Iceland,iceland,Iceland,F,Football,football,1,2367,ISL,,True,0,22024,IS,Iceland,[],#0033ff,#ffffff,#ffffff,Ireland,ireland,Ireland,F,Football,football,1,4676,IRL,False,True,0,22028,IE,Ireland,[],#139442,#ffffff,#ffffff,3.0,3.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0,2.0,,1623437596.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1623489326,,1.0,,,,,,,
zPisDPi,1,-1.0,False,False,9540150,1623776400,ireland-iceland,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Iceland,iceland,Iceland,F,Football,football,1,2367,ISL,,True,0,22024,IS,Iceland,[],#0033ff,#ffffff,#ffffff,Ireland,ireland,Ireland,F,Football,football,1,4676,IRL,False,True,0,22028,IE,Ireland,[],#139442,#ffffff,#ffffff,2.0,2.0,0.0,,2.0,0.0,0.0,0.0,,0.0,1.0,1623783174.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1623783182,6.0,1.0,,,,,,,
DPisNlp,0,-1.0,False,False,9786791,1631894400,georgia-ireland,False,"World Championship Qualification, Women, UEFA Group A",world-championship-qualification-women-uefa-group-a,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12678,60,Postponed,postponed,Georgia,georgia,Georgia,F,Football,football,1,561,GEO,,True,0,38088,GE,Georgia,[],#ffffff,#ff0000,#ff0000,Ireland,ireland,Ireland,F,Football,football,1,4676,IRL,False,True,0,22028,IE,Ireland,[],#139442,#ffffff,#ffffff,,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1649229223,,1.0,,,,,,,
kYcsDPi,1,-1.0,False,False,9803682,1632247200,australia-ireland,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Ireland,ireland,Ireland,F,Football,football,1,4676,IRL,False,True,0,22028,IE,Ireland,[],#139442,#ffffff,#ffffff,Australia,australia,Australia,F,Football,football,1,5938,AUS,False,True,0,7410,AU,Australia,[],#ffcc00,#2d324b,#2d324b,3.0,3.0,2.0,,3.0,2.0,2.0,2.0,,2.0,1.0,1632253859.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1632253866,3.0,1.0,,,,,,,
yYcsDPi,2,-1.0,True,False,9786599,1634839200,sweden-ireland,False,"World Championship Qualification, Women, UEFA Group A",world-championship-qualification-women-uefa-group-a,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12678,100,Ended,finished,Ireland,ireland,Ireland,F,Football,football,1,4676,IRL,False,True,0,22028,IE,Ireland,[],#139442,#ffffff,#ffffff,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,1634842845.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime2']",1634845937,,1.0,,,,,,,
