customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,aggregatedWinnerCode,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,awayTeam.disabled,awayRedCards,previousLegEventId,homeScore.aggregated,awayScore.aggregated,hasEventPlayerStatistics,detailId,time.injuryTime1,time.injuryTime2,homeRedCards
cVQbsiVQb,3,False,False,10851155,1667667600,sc-gjilani-fc-prishtina,False,Superliga e Kosovës,superliga-e-kosoves,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,Superliga e Kosovës,superliga-e-kosoves,#e01c12,#4e4e4e,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,2566,False,True,9413,False,False,0,55432,15,100,Ended,finished,FC Prishtina,fc-prishtina,Prishtina,M,Football,football,1,2777,PRI,False,False,0,229752,XK,Kosovo,[],#0000ff,#ffffff,#ffffff,SC Gjilani,sc-gjilani,Gjilani,M,Football,football,1,2464,GJI,False,0,229758,XK,Kosovo,[],#ff0000,#ffffff,#ffffff,2,2,1.0,1,2,2,2,0.0,2,2,1667671440,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1667674418,,,,,,,,,,,,,,
fVQbsiVQb,3,False,False,10865464,1668081600,sc-gjilani-fc-drita,False,Superliga e Kosovës,superliga-e-kosoves,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,Superliga e Kosovës,superliga-e-kosoves,#e01c12,#4e4e4e,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,2566,False,True,9413,False,False,0,55432,16,100,Ended,finished,SC Gjilani,sc-gjilani,Gjilani,M,Football,football,1,2464,GJI,,False,0,229758,XK,Kosovo,[],#ff0000,#ffffff,#ffffff,FC Drita,fc-drita,Drita,M,Football,football,1,5192,DRI,False,0,229755,XK,Kosovo,[],#50a6d9,#ffffff,#ffffff,1,1,0.0,1,1,1,1,0.0,1,1,1668085320,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1668088683,,,,,,,,,,,,,,
iVQbslVQb,2,False,False,10880132,1668340800,kf-llapi-sc-gjilani,False,Superliga e Kosovës,superliga-e-kosoves,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,Superliga e Kosovës,superliga-e-kosoves,#e01c12,#4e4e4e,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,2566,False,True,9413,False,False,0,55432,17,100,Ended,finished,KF Llapi,kf-llapi,Llapi,M,Football,football,1,1392,LAP,,False,0,229761,XK,Kosovo,[],#0000ff,#ffffff,#ffffff,SC Gjilani,sc-gjilani,Gjilani,M,Football,football,1,2464,GJI,False,0,229758,XK,Kosovo,[],#ff0000,#ffffff,#ffffff,0,0,0.0,0,0,1,1,0.0,1,1,1668344700,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1668348713,,,,,,,,,,,,,,
iVQbsrYQb,2,False,False,10888298,1668682800,kf-trepca-mitrovice-sc-gjilani,False,Kupa e Kosovës,kupa-e-kosoves,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,Kupa e Kosovës,kupa-e-kosoves,#1b468b,#00adee,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,611,False,False,10069,False,False,0,56735,6,100,Ended,finished,KF Trepça Mitrovicë,kf-trepca-mitrovice,KF Trepça M.,M,Football,football,1,433,MIT,,False,0,229917,XK,Kosovo,[],#006633,#000000,#000000,SC Gjilani,sc-gjilani,Gjilani,M,Football,football,1,2464,GJI,False,0,229758,XK,Kosovo,[],#ff0000,#ffffff,#ffffff,0,0,0.0,0,0,5,5,4.0,1,5,1668686639,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1668689958,2.0,Round of 32,round-of-32,16.0,,,,,,,,,,
iVQbsriRb,2,False,False,10883902,1669550400,kf-ballkani-sc-gjilani,False,Superliga e Kosovës,superliga-e-kosoves,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,Superliga e Kosovës,superliga-e-kosoves,#e01c12,#4e4e4e,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,2566,False,True,9413,False,False,0,55432,18,100,Ended,finished,SC Gjilani,sc-gjilani,Gjilani,M,Football,football,1,2464,GJI,,False,0,229758,XK,Kosovo,[],#ff0000,#ffffff,#ffffff,KF Ballkani,kf-ballkani,Ballkani,M,Football,football,1,9515,BAL,False,0,230417,XK,Kosovo,[],#ff5f00,#000000,#000000,0,0,0.0,0,0,3,3,1.0,3,3,1669554240,['awayScore.period2'],1669557314,,,,,False,,,,,,,,,
iVQbsQQad,1,False,False,10937230,1675598400,kf-vjosa-shtime-sc-gjilani,False,Kupa e Kosovës,kupa-e-kosoves,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,Kupa e Kosovës,kupa-e-kosoves,#1b468b,#00adee,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,611,False,False,10069,False,False,0,56735,5,100,Ended,finished,SC Gjilani,sc-gjilani,Gjilani,M,Football,football,1,2464,GJI,,False,0,229758,XK,Kosovo,[],#ff0000,#ffffff,#ffffff,KF Vjosa Shtimë,kf-vjosa-shtime,Vjosa,M,Football,football,1,201,VJO,False,0,377091,XK,Kosovo,[],#52b030,#52b030,#ffffff,4,4,0.0,4,4,0,0,0.0,0,0,1675602060,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1675604782,1.0,Round of 16,round-of-16,8.0,,,,,,,,,,
gVQbsiVQb,3,False,False,11046392,1676116800,sc-gjilani-kf-ferizaj,False,Superliga e Kosovës,superliga-e-kosoves,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,Superliga e Kosovës,superliga-e-kosoves,#e01c12,#4e4e4e,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,2566,False,True,9413,False,False,0,55432,19,100,Ended,finished,SC Gjilani,sc-gjilani,Gjilani,M,Football,football,1,2464,GJI,,False,0,229758,XK,Kosovo,[],#ff0000,#ffffff,#ffffff,KF Ferizaj,kf-ferizaj,Ferizaj,M,Football,football,1,749,FER,False,0,229756,XK,Kosovo,[],#0152b5,#ffffff,#ffffff,0,0,0.0,0,0,0,0,0.0,0,0,1676121000,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1676123885,,,,,False,,,,,,,,,
iVQbsUjFc,3,False,False,11046431,1676808000,malisheva-sc-gjilani,False,Superliga e Kosovës,superliga-e-kosoves,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,Superliga e Kosovës,superliga-e-kosoves,#e01c12,#4e4e4e,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,2566,False,True,9413,False,False,0,55432,20,100,Ended,finished,SC Gjilani,sc-gjilani,Gjilani,M,Football,football,1,2464,GJI,,False,0,229758,XK,Kosovo,[],#ff0000,#ffffff,#ffffff,Malisheva,malisheva,FC Malisheva,M,Football,football,1,767,MAL,False,0,325494,XK,Kosovo,[],#212882,#ffffff,#ffffff,2,2,1.0,1,2,2,2,1.0,1,2,1676812020,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1676815349,,,,,,,,,,,,,,
eVQbsiVQb,2,False,False,11046555,1677067200,sc-gjilani-kf-drenica,False,Superliga e Kosovës,superliga-e-kosoves,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,Superliga e Kosovës,superliga-e-kosoves,#e01c12,#4e4e4e,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,2566,False,True,9413,False,False,0,55432,21,100,Ended,finished,KF Drenica,kf-drenica,Drenica,M,Football,football,1,644,SKE,,False,0,229754,XK,Kosovo,[],#ff0000,#222226,#222226,SC Gjilani,sc-gjilani,Gjilani,M,Football,football,1,2464,GJI,False,0,229758,XK,Kosovo,[],#ff0000,#ffffff,#ffffff,1,1,1.0,0,1,2,2,1.0,1,2,1677071340,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1677074490,,,,,,,,,,,,,,
iVQbsmVQb,1,False,False,11046543,1677412800,kf-trepca-89-sc-gjilani,False,Superliga e Kosovës,superliga-e-kosoves,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,Superliga e Kosovës,superliga-e-kosoves,#e01c12,#4e4e4e,Kosovo,kosovo,Football,football,1,1112,kosovo,XK,2566,False,True,9413,False,False,0,55432,22,100,Ended,finished,SC Gjilani,sc-gjilani,Gjilani,M,Football,football,1,2464,GJI,,False,0,229758,XK,Kosovo,[],#ff0000,#ffffff,#ffffff,KF Trepça '89,kf-trepca-89,Trepça '89,M,Football,football,1,703,TRE,False,0,229762,XK,Kosovo,[],#ffffff,#008000,#008000,1,1,0.0,1,1,0,0,0.0,0,0,1677416460,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1677419990,,,,,,,,,,,,,,
