customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeScore.period2,awayScore.period2,awayTeam.disabled,detailId,awayRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.overtime,awayScore.overtime,time.injuryTime3,time.injuryTime4,hasEventPlayerStatistics,hasEventPlayerHeatMap
REjsGKu,3,-1.0,False,False,9531455,1623762000,chile-germany,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1,100,Ended,finished,Germany,germany,Germany,F,Football,football,1,19388,GER,False,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,Chile,chile,Chile,F,Football,football,1,3720,CHI,True,0,49281,CL,Chile,[],#ff0000,#3300cc,#3300cc,0,0,0,0.0,0,0,0,0.0,2.0,4.0,1623768940,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1623768942,,,,,,,,,,,,,,
REjsIlp,1,-1.0,False,False,9786802,1631974020,bulgaria-germany,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1,100,Ended,finished,Germany,germany,Germany,F,Football,football,1,19388,GER,False,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,Bulgaria,bulgaria,Bulgaria,F,Football,football,1,495,BUL,True,0,38083,BG,Bulgaria,[],#ffffff,#00924a,#00924a,7,7,3,7.0,0,0,0,0.0,,,1631977800,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1631980783,4.0,0.0,,,,,,,,,,,,
REjsamp,1,-1.0,False,False,9786780,1632232800,serbia-germany,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1,100,Ended,finished,Germany,germany,Germany,F,Football,football,1,19388,GER,False,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,Serbia,serbia,Serbia,F,Football,football,1,1806,SRB,True,0,38100,RS,Serbia,[],#ff0033,#ffffff,#ffffff,5,5,0,5.0,1,1,1,1.0,,,1632236760,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1632239882,5.0,0.0,,,,,,,,,,,,
REjsRlp,2,-1.0,False,False,9786586,1634832000,israel-germany,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1,100,Ended,finished,Israel,israel,Israel,F,Football,football,1,598,ISR,,True,0,38092,IL,Israel,[],#7bafde,#ffffff,#ffffff,Germany,germany,Germany,F,Football,football,1,19388,GER,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,0,0,0,0.0,1,1,1,1.0,,5.0,1634838837,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1634838950,,,False,,,,,,,,,,,
REjsRlp,1,-1.0,False,False,9786572,1635257100,israel-germany,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1,100,Ended,finished,Germany,germany,Germany,F,Football,football,1,19388,GER,False,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,Israel,israel,Israel,F,Football,football,1,598,ISR,True,0,38092,IL,Israel,[],#7bafde,#ffffff,#ffffff,7,7,4,7.0,0,0,0,0.0,,4.0,1635263710,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1635263754,,,,,,,,,,,,,,
REjsemp,1,-1.0,False,False,9786641,1637938800,turkey-germany,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1,100,Ended,finished,Germany,germany,Germany,F,Football,football,1,19388,GER,False,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,Turkey,turkey,Turkey,F,Football,football,1,1496,TUR,True,0,38104,TR,Turkey,[],#ffffff,#ff0000,#ff0000,8,8,3,8.0,0,0,0,0.0,1.0,3.0,1637945449,['time.currentPeriodStart'],1637945637,,,,,,,,,,,,,,
CPisREj,2,-1.0,False,False,9786632,1638295200,germany-portugal,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1,100,Ended,finished,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,False,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,Germany,germany,Germany,F,Football,football,1,19388,GER,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,1,1,1,1.0,3,3,3,3.0,,,1638299132,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1638302275,0.0,0.0,False,,,,,,,,,,,
REjswXo,3,-1.0,False,False,10083541,1645108200,spain-germany,False,"Arnold Clark Cup, Women",arnold-clark-cup-women,World,world,Football,football,1,1468,international,"Arnold Clark Cup, Women",arnold-clark-cup-women,#2d3738,#b9b71a,World,world,Football,football,1,1468,international,1142,18502,False,False,False,False,0,98102,1,100,Ended,finished,Germany,germany,Germany,F,Football,football,1,19388,GER,False,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,Spain,spain,Spain,F,Football,football,1,16409,ESP,True,0,37371,ES,Spain,[],#cc0000,#ffffff,#ffffff,1,1,0,0.0,1,1,0,0.0,,,1645115042,"['homeScore.period1', 'homeScore.normaltime', 'awayScore.period1', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1645115833,,,False,,,,,,,,,,,
mYcsREj,1,-1.0,False,False,10083544,1645388100,canada-germany,False,"Arnold Clark Cup, Women",arnold-clark-cup-women,World,world,Football,football,1,1468,international,"Arnold Clark Cup, Women",arnold-clark-cup-women,#2d3738,#b9b71a,World,world,Football,football,1,1468,international,1142,18502,False,False,False,False,0,98102,2,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Germany,germany,Germany,F,Football,football,1,19388,GER,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,1,1,1,1.0,0,0,0,0.0,,,1645394859,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1', 'time.injuryTime2', 'status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645394996,0.0,0.0,False,,,,,,,,,,,
pYcsREj,1,-1.0,False,False,10083546,1645644600,england-germany,False,"Arnold Clark Cup, Women",arnold-clark-cup-women,World,world,Football,football,1,1468,international,"Arnold Clark Cup, Women",arnold-clark-cup-women,#2d3738,#b9b71a,World,world,Football,football,1,1468,international,1142,18502,False,False,False,False,0,98102,3,100,Ended,finished,England,england,England,F,Football,football,1,21565,ENG,False,True,0,7415,EN,England,[],#ffffff,#cc0000,#cc0000,Germany,germany,Germany,F,Football,football,1,19388,GER,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,3,3,1,3.0,1,1,1,1.0,,,1645648349,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1645651424,2.0,0.0,False,,,,,,,,,,,
