customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,homeRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,coverage,tournament.uniqueTournament.secondaryColorHex,homeTeam.disabled,aggregatedWinnerCode,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,awayRedCards,time.injuryTime1,time.injuryTime2,previousLegEventId,homeScore.aggregated,awayScore.aggregated
dYsBurb,1,False,False,10449644,1.0,1668254400,1-fc-tatran-presov-fc-kosice,False,2. Liga,2-liga,Slovakia,slovakia,Football,football,1,23,slovakia,SK,2. Liga,2-liga,#db162e,Slovakia,slovakia,Football,football,1,23,slovakia,SK,1280,False,False,224,False,False,0,1375,17.0,100,Ended,finished,1. FC Tatran Prešov,1-fc-tatran-presov,Prešov,M,Football,football,1,2188,FTP,False,0,2403,SK,Slovakia,[],#009900,#006600,#006600,FC Košice,fc-kosice,Košice,M,Football,football,1,2468,KOS,False,False,0,168476,SK,Slovakia,[],#ffd413,#002744,#002744,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1668258120.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1668261094,,,,,,,,,,,,,
dYsdPb,2,False,False,10928180,,1670502600,dukla-banska-bystrica-1-fc-tatran-presov,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,1. FC Tatran Prešov,1-fc-tatran-presov,Prešov,M,Football,football,1,2188,FTP,False,0,2403,SK,Slovakia,[],#009900,#006600,#006600,Dukla Banska Bystrica,dukla-banska-bystrica,Banská Bystrica,M,Football,football,1,2303,DBB,,False,0,4503,SK,Slovakia,[],#cc0000,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1670505660.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1670508424,-1.0,#d38f1d,,,,,,,,,,,
dYsdPb,1,False,False,10979436,,1673348400,dukla-banska-bystrica-1-fc-tatran-presov,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,Dukla Banska Bystrica,dukla-banska-bystrica,Banská Bystrica,M,Football,football,1,2303,DBB,False,0,4503,SK,Slovakia,[],#cc0000,#ffffff,#ffffff,1. FC Tatran Prešov,1-fc-tatran-presov,Prešov,M,Football,football,1,2188,FTP,,False,0,2403,SK,Slovakia,[],#009900,#006600,#006600,4.0,4.0,1.0,3.0,4.0,2.0,2.0,2.0,0.0,2.0,1673351640.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1673354358,,#d38f1d,,,,,,,,,,,
dYsNjk,1,False,False,10990842,,1673692200,mfk-tatran-liptovsky-mikulas-1-fc-tatran-presov,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,1. FC Tatran Prešov,1-fc-tatran-presov,Prešov,M,Football,football,1,2188,FTP,False,0,2403,SK,Slovakia,[],#009900,#006600,#006600,MFK Tatran Liptovský Mikuláš,mfk-tatran-liptovsky-mikulas,Liptovský Mikuláš,M,Football,football,1,1575,LIP,,False,0,25488,SK,Slovakia,[],#ff0000,#000000,#000000,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1673695920.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1673698711,-1.0,#d38f1d,,,,,,,,,,,
cYsdY,1,False,False,10997144,,1674043200,1-fc-tatran-presov-msk-zilina,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,MŠK Žilina,msk-zilina,Žilina,M,Football,football,1,5984,ZIL,False,0,2402,SK,Slovakia,[],#ffff33,#ffff33,#ffff33,1. FC Tatran Prešov,1-fc-tatran-presov,Prešov,M,Football,football,1,2188,FTP,,False,0,2403,SK,Slovakia,[],#009900,#006600,#006600,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1674046800.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1674049588,-1.0,#d38f1d,,,,,,,,,,,
dYsMhd,2,False,False,11038925,1.0,1675503000,fk-zeleziarne-podbrezova-1-fc-tatran-presov,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,FK Železiarne Podbrezová,fk-zeleziarne-podbrezova,Podbrezová,M,Football,football,1,3338,ZEP,False,0,7887,SK,Slovakia,[],#990000,#ffffff,#ffffff,1. FC Tatran Prešov,1-fc-tatran-presov,Prešov,M,Football,football,1,2188,FTP,,False,0,2403,SK,Slovakia,[],#009900,#006600,#006600,1.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0,1675506840.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.current', 'awayScore.display', 'awayScore.period2', 'awayScore.normaltime']",1675510190,,#d38f1d,False,,,,,,,,,,
dYsLhd,1,False,False,11053308,,1676106000,slavoj-trebisov-1-fc-tatran-presov,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,1. FC Tatran Prešov,1-fc-tatran-presov,Prešov,M,Football,football,1,2188,FTP,False,0,2403,SK,Slovakia,[],#009900,#006600,#006600,Slavoj Trebišov,slavoj-trebisov,Trebišov,M,Football,football,1,713,STR,,False,0,7886,SK,Slovakia,[],#0000ff,#ffff00,#ffff00,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1676109600.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1676112331,-1.0,#d38f1d,,,,,,,,,,,
dYsylr,2,False,False,11061553,,1676386800,partizan-bardejov-1-fc-tatran-presov,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,Partizán Bardejov,partizan-bardejov,Bardejov,M,Football,football,1,349,BAR,False,0,43073,SK,Slovakia,[],#cd1c46,#333366,#333366,1. FC Tatran Prešov,1-fc-tatran-presov,Prešov,M,Football,football,1,2188,FTP,,False,0,2403,SK,Slovakia,[],#009900,#006600,#006600,3.0,3.0,2.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,1676389920.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1676392708,-1.0,#d38f1d,False,,,,,,,,,,
dYstdQb,1,False,False,10452677,,1677328200,1-fc-tatran-presov-fk-humenne,False,2. Liga,2-liga,Slovakia,slovakia,Football,football,1,23,slovakia,SK,2. Liga,2-liga,#db162e,Slovakia,slovakia,Football,football,1,23,slovakia,SK,1280,False,False,224,False,False,0,1375,18.0,100,Ended,finished,1. FC Tatran Prešov,1-fc-tatran-presov,Prešov,M,Football,football,1,2188,FTP,False,0,2403,SK,Slovakia,[],#009900,#006600,#006600,FK Humenné,fk-humenne,Humenné,M,Football,football,1,789,HUM,,False,0,227668,SK,Slovakia,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1677331980.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1677334979,,,,,,,,,,,,,
dYsPQr,1,False,False,10449610,,1677934800,fc-stk-1914-samorin-1-fc-tatran-presov,False,2. Liga,2-liga,Slovakia,slovakia,Football,football,1,23,slovakia,SK,2. Liga,2-liga,#db162e,Slovakia,slovakia,Football,football,1,23,slovakia,SK,1280,False,False,224,False,False,0,1375,19.0,100,Ended,finished,1. FC Tatran Prešov,1-fc-tatran-presov,Prešov,M,Football,football,1,2188,FTP,False,0,2403,SK,Slovakia,[],#009900,#006600,#006600,FC ŠTK 1914 Šamorín,fc-stk-1914-samorin,Šamorín,M,Football,football,1,1209,SAM,,False,0,44590,SK,Slovakia,[],#0c4eae,#ffffff,#ffffff,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1677938580.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1677941520,,,,,,,,,,,,,
