customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period2,awayScore.normaltime,changes.changeTimestamp,homeTeam.disabled,homeScore.period1,awayScore.period1,time.currentPeriodStartTimestamp,changes.changes,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,time.injuryTime2,time.injuryTime1,homeRedCards,awayTeam.disabled,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,awayRedCards
kabsgmMb,2,False,False,11064357,1676487600,colorado-rapids-miami-fc,False,MLS Pre Season,mls-pre-season,USA,usa,Football,football,1,26,usa,US,Carolina Challenge Cup,carolina-challenge-cup,#000000,#d5a70b,USA,usa,Football,football,1,26,usa,US,1129,18529,False,False,False,False,0,91851,100,Ended,finished,Miami FC,miami-fc,Miami FC,M,Football,football,1,2569,MIA,False,0,218106,US,USA,[],#66ccff,#ff8c00,#ff8c00,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,US,USA,[],#660033,#ffffff,#ffffff,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,0,,,,,,,,,,,,,,,,,,
kabsIWp,1,False,False,10985789,1676736000,philadelphia-union-colorado-rapids,False,MLS Pre Season,mls-pre-season,USA,usa,Football,football,1,26,usa,US,Carolina Challenge Cup,carolina-challenge-cup,#000000,#d5a70b,USA,usa,Football,football,1,26,usa,US,1129,18529,False,False,False,False,0,91851,100,Ended,finished,Philadelphia Union,philadelphia-union,Philadelphia,M,Football,football,1,15106,PHI,False,0,39833,US,USA,[],#000033,#999900,#999900,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,US,USA,[],#660033,#ffffff,#ffffff,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1676747206,False,0.0,0.0,1676740620.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",,,,,,,,,,,,,
kabsjPi,1,True,False,10952495,1677459600,colorado-rapids-seattle-sounders-fc,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Seattle Sounders FC,seattle-sounders-fc,Seattle,M,Football,football,1,13033,SEA,False,0,22009,US,USA,[],#33cc00,#0066ff,#0066ff,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,US,USA,[],#660033,#ffffff,#ffffff,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1677467660,,2.0,0.0,1677467659.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",True,True,True,1.0,1.0,,,,,,,,
jabskab,3,True,False,10952483,1677983400,colorado-rapids-sporting-kansas-city,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,US,USA,[],#660033,#ffffff,#ffffff,Sporting Kansas City,sporting-kansas-city,Kansas City,M,Football,football,1,7400,SKC,False,0,2509,US,USA,[],#99ccff,#000033,#000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1677990922,,0.0,0.0,1677990917.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",True,True,True,1.0,3.0,6.0,,,,,,,
kabsALi,1,True,False,10952469,1678591800,colorado-rapids-san-jose-earthquakes,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,San Jose Earthquakes,san-jose-earthquakes,San Jose,M,Football,football,1,5699,SJ,False,0,21825,US,USA,[],#3366ff,#000000,#000000,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,US,USA,[],#660033,#ffffff,#ffffff,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1678599255,,0.0,0.0,1678599250.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",True,True,True,1.0,2.0,3.0,1.0,,,,,,
kabstHq,2,True,False,10952454,1679189400,minnesota-united-fc-colorado-rapids,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,US,USA,[],#660033,#ffffff,#ffffff,Minnesota United FC,minnesota-united-fc,Minnesota Utd,M,Football,football,1,6900,MIN,False,0,41618,US,USA,[],#585958,#9ccee5,#9ccee5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1679197128,,0.0,0.0,1679197124.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",True,True,True,1.0,8.0,1.0,,,,,,,
kabsyjbd,3,True,False,10952447,1679790600,austin-fc-colorado-rapids,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Austin FC,austin-fc,Austin,M,Football,football,1,10388,ATX,False,0,377973,US,USA,[],#1ca949,#000000,#000000,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,US,USA,[],#660033,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1679798155,False,1.0,0.0,1679798151.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",True,True,True,1.0,5.0,3.0,,,,,,,
kabsaTjc,3,True,False,10952426,1680399000,los-angeles-fc-colorado-rapids,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,US,USA,[],#660033,#ffffff,#ffffff,Los Angeles FC,los-angeles-fc,Los Angeles,M,Football,football,1,27556,LAN,False,0,274650,US,USA,[],#303030,#c39e69,#c39e69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680406290,,0.0,0.0,1680406287.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",True,True,True,1.0,4.0,2.0,,False,,,,,
jabskab,2,True,False,10952416,1681000200,colorado-rapids-sporting-kansas-city,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Sporting Kansas City,sporting-kansas-city,Kansas City,M,Football,football,1,7400,SKC,False,0,2509,US,USA,[],#99ccff,#000033,#000033,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,US,USA,[],#660033,#ffffff,#ffffff,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1681007938,,0.0,0.0,1681007936.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",True,True,True,1.0,5.0,8.0,,,,,,,
kabsiHld,3,True,False,10952409,1681601400,charlotte-fc-colorado-rapids,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Charlotte FC,charlotte-fc,Charlotte,M,Football,football,1,6623,CHA,False,0,404108,US,USA,[],#3180ff,#010101,#010101,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,US,USA,[],#660033,#ffffff,#ffffff,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1681609118,False,0.0,0.0,1681609115.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",True,True,True,1.0,7.0,7.0,,,,,,,
