customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,time.injuryTime1,time.injuryTime2,homeRedCards,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,awayRedCards,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,detailId,hasEventPlayerStatistics,hasEventPlayerHeatMap
jiGsiNec,2,-1.0,False,False,7510608,1502385300,valencia-morocco,False,"COTIF Cup, Women",cotif-cup-women,Spain,spain,Football,football,1,32,spain,ES,0,61104,100,Ended,finished,Valencia,valencia,Valencia,F,Football,football,1,1930,VCF,False,False,0,77909,ES,Spain,[],#ffffff,#000000,#000000,Morocco,morocco,Morocco,F,Football,football,1,10102,MOR,False,True,0,261908,MA,Morocco,[],#ff0000,#006600,#006600,0,0,0,0.0,0,1,1,0,1.0,1,1502390640.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1502390664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBzbsiNec,3,-1.0,False,False,7770558,1523026800,morocco-ivory-coast,False,"Africa Cup of Nations, Women, Qualification",africa-cup-of-nations-women-qualification,Africa,africa,Football,football,1,1466,africa,,0,65397,100,Ended,finished,Morocco,morocco,Morocco,F,Football,football,1,10102,MOR,False,True,0,261908,MA,Morocco,[],#ff0000,#006600,#006600,Ivory Coast,ivory-coast,Ivory Coast,F,Football,football,1,373,CIV,,True,0,186328,CI,Ivory Coast,[],#f77f00,#009e60,#009e60,1,1,0,1.0,1,1,1,0,1.0,1,1523033602.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1523033655,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WCbcsiNec,1,-1.0,False,False,7900702,1533229200,morocco-madrid-cff,False,"COTIF Cup, Women",cotif-cup-women,Spain,spain,Football,football,1,32,spain,ES,0,61104,100,Ended,finished,Madrid CFF,madrid-cff,Madrid,F,Football,football,1,3116,MAD,,False,0,253896,ES,Spain,[],#ffffff,#000000,#000000,Morocco,morocco,Morocco,F,Football,football,1,10102,MOR,False,True,0,261908,MA,Morocco,[],#ff0000,#006600,#006600,1,1,0,1.0,1,0,0,0,0.0,0,1533234855.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1533235016,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NidbsiNec,2,-1.0,False,False,7905021,1533483900,morocco-india,False,"COTIF Cup, Women",cotif-cup-women,Spain,spain,Football,football,1,32,spain,ES,0,61104,100,Ended,finished,India,india,India,F,Football,football,1,653,IND,,True,0,132938,IN,India,[],#00b8ff,#ff4500,#ff4500,Morocco,morocco,Morocco,F,Football,football,1,10102,MOR,False,True,0,261908,MA,Morocco,[],#ff0000,#006600,#006600,1,1,0,1.0,1,5,5,0,5.0,5,1533489646.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1533489740,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xqpsiNec,3,-1.0,False,False,7906007,1533570300,levante-ud-morocco,False,"COTIF Cup, Women",cotif-cup-women,Spain,spain,Football,football,1,32,spain,ES,0,61104,100,Ended,finished,Morocco,morocco,Morocco,F,Football,football,1,10102,MOR,False,True,0,261908,MA,Morocco,[],#ff0000,#006600,#006600,Levante UD,levante-ud,Levante UD,F,Football,football,1,4216,LEV,False,False,0,38322,ES,Spain,[],#0e3b68,#d70000,#d70000,2,2,1,1.0,2,2,2,0,2.0,2,1533576109.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1533576281,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QhGsiNec,3,-1.0,False,False,7921542,1533746700,fundacion-albacete-nexus-energia-morocco,False,"COTIF Cup, Women",cotif-cup-women,World,world,Football,football,1,1468,international,,0,67914,100,Ended,finished,Morocco,morocco,Morocco,F,Football,football,1,10102,MOR,False,True,0,261908,MA,Morocco,[],#ff0000,#006600,#006600,Fundación Albacete Nexus Energia,fundacion-albacete-nexus-energia,Albacete,F,Football,football,1,239,FA,,False,0,77891,ES,Spain,[],#ffffff,#ffffff,#ffffff,2,2,0,2.0,2,2,2,2,0.0,2,1533752192.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1533752320,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iNecsFIqc,2,,False,False,8584976,1582029000,tanzania-morocco,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,,0,1039,100,Ended,finished,Tanzania,tanzania,Tanzania,F,Football,football,1,676,TAN,,True,0,291680,TZ,Tanzania,[],#1400c7,#000000,#000000,Morocco,morocco,Morocco,F,Football,football,1,10102,MOR,False,True,0,261908,MA,Morocco,[],#ff0000,#006600,#006600,2,2,1,1.0,2,3,3,2,1.0,3,1582032000.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1582034914,,,1.0,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,,,,,,,,,,,,,,,,
iNecslaFc,1,-1.0,False,False,8585572,1582192800,mauritania-morocco,False,UNAF Women's Tournament,unaf-womens-tournament,World,world,Football,football,1,1468,international,,0,78418,100,Ended,finished,Morocco,morocco,Morocco,F,Football,football,1,10102,MOR,False,True,0,261908,MA,Morocco,[],#ff0000,#006600,#006600,Mauritania,mauritania,Mauritania,,Football,football,1,81,MAU,,True,0,325011,MR,Mauritania,[],#008000,#ffdf00,#ffdf00,5,5,4,,5,0,0,0,,0,1582199775.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1582199826,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaxbsiNec,2,-1.0,False,False,8587632,1582365600,morocco-algeria,False,UNAF Women's Tournament,unaf-womens-tournament,World,world,Football,football,1,1468,international,,0,78418,100,Ended,finished,Algeria,algeria,Algeria,F,Football,football,1,748,ALG,,True,0,180004,DZ,Algeria,[],#ffffff,#23bc55,#23bc55,Morocco,morocco,Morocco,F,Football,football,1,10102,MOR,False,True,0,261908,MA,Morocco,[],#ff0000,#006600,#006600,0,0,0,,0,2,2,0,,2,1582372418.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1582372451,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rYcsiNec,1,,False,False,9205137,1606753800,ghana-morocco,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,,0,1039,100,Ended,finished,Ghana,ghana,Ghana,F,Football,football,1,1206,GHA,,True,0,7417,GH,Ghana,[],#ff0000,#ffff00,#ffff00,Morocco,morocco,Morocco,F,Football,football,1,10102,MOR,False,True,0,261908,MA,Morocco,[],#ff0000,#006600,#006600,2,2,2,0.0,2,0,0,0,0.0,0,1606757940.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1606760787,,,,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,,,,,,,,,,,,,,,,
