customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,awayTeam.disabled,awayTeam.country.alpha2,awayTeam.country.name,aggregatedWinnerCode,homeScore.period2,awayScore.period2,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,homeRedCards
bxpcsYuuc,1,-1.0,False,False,9908628,1635253200,malawi-zambia,False,"Africa Cup of Nations, Women, Qualification",africa-cup-of-nations-women-qualification,Africa,africa,Football,football,1,1466,africa,0,65397,100,Ended,finished,Zambia,zambia,Zambia,F,Football,football,1,8938,ZAM,False,True,0,288601,ZM,Zambia,[],#088754,#ff6000,#ff6000,Malawi,malawi,Malawi,F,Football,football,1,279,MAL,True,0,298498,[],#ff0000,#5abb5f,#5abb5f,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1635259861.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.injuryTime2']",1635259976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LgBsbxpc,1,-1.0,False,False,10131905,1644670800,south-africa-zambia,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,0,1039,100,Ended,finished,Zambia,zambia,Zambia,F,Football,football,1,8938,ZAM,False,True,0,288601,ZM,Zambia,[],#088754,#ff6000,#ff6000,South Africa,south-africa,South Africa,F,Football,football,1,5968,RSA,True,0,65336,[],#ffd800,#008040,#008040,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,1644677786.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1644677874,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,False,ZA,South Africa,,,,,,,,,,,,,,,,,,,
bxpcsCvuc,2,,False,False,10151371,1645534800,namibia-zambia,False,"Africa Cup of Nations, Women, Qualification",africa-cup-of-nations-women-qualification,Africa,africa,Football,football,1,1466,africa,0,65397,100,Ended,finished,Namibia,namibia,Namibia,F,Football,football,1,269,NAM,,True,0,298527,NA,Namibia,[],#ff0000,#002d5f,#002d5f,Zambia,zambia,Zambia,F,Football,football,1,8938,ZAM,True,0,288601,[],#088754,#ff6000,#ff6000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,1645538640.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1645541766,,,,,,,,,,,,,,,,,,False,ZM,Zambia,2.0,0.0,1.0,,,,,,,,,,,,,,,,
bxpcsXuuc,1,-1.0,False,False,10278928,1651237200,botswana-zambia,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,0,1039,100,Ended,finished,Zambia,zambia,Zambia,F,Football,football,1,8938,ZAM,False,True,0,288601,ZM,Zambia,[],#088754,#ff6000,#ff6000,Botswana,botswana,Botswana,F,Football,football,1,649,BOT,True,0,298497,[],#00a2e8,#ffffff,#ffffff,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1651240647.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1651243600,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,,BW,Botswana,,1.0,0.0,,,,,,,,,,,,,,,,
bxpcsXuuc,3,-1.0,False,False,10286888,1651496400,botswana-zambia,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,0,1039,100,Ended,finished,Zambia,zambia,Zambia,F,Football,football,1,8938,ZAM,False,True,0,288601,ZM,Zambia,[],#088754,#ff6000,#ff6000,Botswana,botswana,Botswana,F,Football,football,1,649,BOT,True,0,298497,[],#00a2e8,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1651503225.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1651503275,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,,BW,Botswana,,,,,,,,,,,,,,,,,,,
Gencsbxpc,2,-1.0,False,False,10421531,1656439200,zambia-uganda,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,0,1039,100,Ended,finished,Zambia,zambia,Zambia,F,Football,football,1,8938,ZAM,False,True,0,288601,ZM,Zambia,[],#088754,#ff6000,#ff6000,Uganda,uganda,Uganda,F,Football,football,1,545,UGA,True,0,282731,[],#ff0606,#f4f300,#f4f300,0.0,0.0,0.0,0.0,5.0,5.0,3.0,5.0,,,1656439980.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1656443023,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,,UG,Uganda,,0.0,2.0,,,,,,,,,,,,,,,,
tJCsbxpc,3,-1.0,True,False,10415947,1656867600,cameroon-zambia,False,"Africa Cup of Nations, Women, Group B",africa-cup-of-nations-women-group-b,Africa,africa,Football,football,1,1466,africa,0,56576,100,Ended,finished,Cameroon,cameroon,Cameroon,F,Football,football,1,3509,CMR,,True,0,69218,CM,Cameroon,[],#006633,#d01124,#d01124,Zambia,zambia,Zambia,F,Football,football,1,8938,ZAM,True,0,288601,[],#088754,#ff6000,#ff6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1656871488.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1656874761,"Africa Cup of Nations, Women",africa-cup-of-nations-women,#dc88b8,#fcdd00,Africa,africa,Football,football,1.0,1466.0,africa,11894.0,9558.0,False,False,False,False,False,ZM,Zambia,,0.0,0.0,,,,,,,,,,,,,,,,
bxpcstALc,1,-1.0,True,False,10424124,1657126800,tunisia-zambia,False,"Africa Cup of Nations, Women, Group B",africa-cup-of-nations-women-group-b,Africa,africa,Football,football,1,1466,africa,0,56576,100,Ended,finished,Zambia,zambia,Zambia,F,Football,football,1,8938,ZAM,False,True,0,288601,ZM,Zambia,[],#088754,#ff6000,#ff6000,Tunisia,tunisia,Tunisia,F,Football,football,1,1605,TUN,True,0,341268,[],#ffffff,#ffffff,#ffffff,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1657133545.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1657133559,"Africa Cup of Nations, Women",africa-cup-of-nations-women,#dc88b8,#fcdd00,Africa,africa,Football,football,1.0,1466.0,africa,11894.0,9558.0,False,False,False,False,,TN,Tunisia,,,,2.0,,,,,,,,,,,,,,,
MWkcsbxpc,1,-1.0,True,False,10432046,1657396800,zambia-togo,False,"Africa Cup of Nations, Women, Group B",africa-cup-of-nations-women-group-b,Africa,africa,Football,football,1,1466,africa,0,56576,100,Ended,finished,Zambia,zambia,Zambia,F,Football,football,1,8938,ZAM,False,True,0,288601,ZM,Zambia,[],#088754,#ff6000,#ff6000,Togo,togo,Togo,F,Football,football,1,566,TOG,False,0,277337,[],#52b030,#52b030,#ffffff,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1657403713.0,['cardsCode'],1657437386,"Africa Cup of Nations, Women",africa-cup-of-nations-women,#dc88b8,#fcdd00,Africa,africa,Football,football,1.0,1466.0,africa,11894.0,9558.0,False,False,False,False,,TG,Togo,,,,3.0,,,,,,,,,,,,,,,
bxpcsVNBc,1,-1.0,True,False,10452460,1657731600,senegal-zambia,False,"Africa Cup of Nations, Women, Knockout stage",africa-cup-of-nations-women-knockout-stage,Africa,africa,Football,football,1,1466,africa,0,56585,120,AP,finished,Zambia,zambia,Zambia,F,Football,football,1,8938,ZAM,False,True,0,288601,ZM,Zambia,[],#088754,#ff6000,#ff6000,Senegal,senegal,Senegal,F,Football,football,1,2354,SEN,True,0,316945,[],#ffffff,#047151,#047151,5.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,,,1657741440.0,"['status.code', 'status.description', 'status.type', 'time.currentPeriodStart', 'homeScore.current', 'homeScore.penalties']",1657741500,"Africa Cup of Nations, Women",africa-cup-of-nations-women,#dc88b8,#fcdd00,Africa,africa,Football,football,1.0,1466.0,africa,11894.0,9558.0,False,False,False,False,False,SN,Senegal,,1.0,1.0,4.0,Quarterfinal,quarterfinal,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,,,,
