customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,roundInfo.name,roundInfo.slug,homeRedCards,roundInfo.cupRoundType,aggregatedWinnerCode,previousLegEventId,homeScore.aggregated,awayScore.aggregated
bobsfob,1,True,True,True,6.0,False,10981482,1.0,1678564800,gimnasia-y-esgrima-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,7,100,Ended,finished,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,M,Football,football,1,10844,GLP,False,False,0,3205,AR,Argentina,[],#ffffff,#000033,#000033,4.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1678571706.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678571709,,,,,,,,
bobsvnB,1,True,,,6.0,False,11086760,,1678924800,sarmiento-de-resistencia-san-lorenzo,False,Copa Argentina,copa-argentina,Argentina,argentina,Football,football,1,48,argentina,AR,Copa Argentina,copa-argentina,#187ec0,#44a4d8,Argentina,argentina,Football,football,1,48,argentina,AR,17272,False,False,1024,False,False,0,273,32,100,Ended,finished,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,Sarmiento de Resistencia,sarmiento-de-resistencia,Sarmiento de Resistencia,M,Football,football,1,1152,SDR,,False,0,65670,AR,Argentina,[],#7d2204,#c09f13,#c09f13,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1678931599.0,['cardsCode'],1678951322,Round of 64,round-of-64,,,,,,
bobsmob,0,False,,,,False,10981506,,1679259600,newells-old-boys-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,8,60,Postponed,postponed,Newell's Old Boys,newells-old-boys,Newell's,M,Football,football,1,14796,NOB,False,False,0,3212,AR,Argentina,[],#ff0000,#000000,#000000,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,,,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1677252275,,,,,,,,
bobsmob,1,True,True,True,6.0,False,11083842,,1679347800,newells-old-boys-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,8,100,Ended,finished,Newell's Old Boys,newells-old-boys,Newell's,M,Football,football,1,14796,NOB,False,False,0,3212,AR,Argentina,[],#ff0000,#000000,#000000,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1679354885.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679354889,,,,,,,,
bobsjob,3,True,True,True,6.0,False,10981440,1.0,1680386400,independiente-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,9,100,Ended,finished,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1680393521.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680393523,,,,,,,,
bobsVed,2,True,True,True,1.0,False,11174258,1.0,1680652800,estudiantes-de-merida-san-lorenzo,False,"CONMEBOL Sudamericana, Group H",conmebol-sudamericana-group-h,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,399,91443,1,100,Ended,finished,Estudiantes de Mérida,estudiantes-de-merida,Estudiantes de Mérida,M,Football,football,1,3431,EDM,,False,0,7745,VE,Venezuela,[],#000077,#ff0000,#ff0000,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,6.0,1680659848.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680659851,,,,,,,,
bobsILo,2,True,True,True,6.0,False,10981421,1.0,1680996600,atletico-tucuman-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,10,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,1.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0,10.0,3.0,1681003849.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1681003852,,,2.0,,,,,
bobscob,1,True,True,True,6.0,False,10981409,1.0,1681331400,boca-juniors-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,11,100,Ended,finished,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,Boca Juniors,boca-juniors,Boca Juniors,M,Football,football,1,94847,BOC,False,False,0,3202,AR,Argentina,[],#003399,#ffcc66,#ffcc66,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1681338780.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681338781,,,,,,,,
bobskob,3,True,True,True,6.0,False,10981456,,1681691400,talleres-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,12,100,Ended,finished,Talleres,talleres,Talleres,M,Football,football,1,17651,CAT,False,False,0,3210,AR,Argentina,[],#050040,#ffffff,#ffffff,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1681698475.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681698478,,,,,,,,
vPsbob,2,True,True,True,1.0,False,11174259,,1682028000,san-lorenzo-fortaleza,False,"CONMEBOL Sudamericana, Group H",conmebol-sudamericana-group-h,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,399,91443,2,100,Ended,finished,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,BR,Brazil,[],#0000ff,#ff0000,#ff0000,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,3.0,5.0,1682034924.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1682035074,,,,,,,,
