customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,awayTeam.disabled,roundInfo.name,roundInfo.slug,homeRedCards,awayRedCards,aggregatedWinnerCode
dobseob,2,False,False,10997905,1674088200,union-belgrano,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,1,100,Ended,finished,Unión,union,Unión,M,Football,football,1,9287,UNI,False,False,0,3204,AR,Argentina,[],#ffffff,#cc0000,#cc0000,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,False,0,3203,AR,Argentina,[],#3399ff,#3399ff,#3399ff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,4.0,1674094925.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1674094929,,,,,,,,,,,
dobskob,1,False,False,11006499,1674342000,talleres-belgrano,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,1,100,Ended,finished,Talleres,talleres,Talleres,M,Football,football,1,17651,CAT,False,False,0,3210,AR,Argentina,[],#050040,#ffffff,#ffffff,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,False,0,3203,AR,Argentina,[],#3399ff,#3399ff,#3399ff,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime']",1674351418,,,,,,,,,,,
dobspob,3,True,False,10910854,1675030500,racing-club-belgrano,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,1,100,Ended,finished,Racing Club,racing-club,Racing,M,Football,football,1,31458,RAC,False,False,0,3215,AR,Argentina,[],#00ccff,#ffffff,#ffffff,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,False,0,3203,AR,Argentina,[],#3399ff,#3399ff,#3399ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1675037667.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675037670,True,True,6.0,AR,AR,,,,,,
dobslob,1,True,False,10981550,1675548900,river-plate-belgrano,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,2,100,Ended,finished,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,,False,0,3203,AR,Argentina,[],#3399ff,#3399ff,#3399ff,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1675555876.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675555878,True,True,6.0,AR,AR,False,,,,,
dobsBnB,2,True,False,10981552,1676075400,central-cordoba-belgrano,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,3,100,Ended,finished,Central Córdoba,central-cordoba,Central Córdoba,M,Football,football,1,7712,CC,False,False,0,65676,AR,Argentina,[],#ffffff,#000000,#000000,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,False,0,3203,AR,Argentina,[],#3399ff,#3399ff,#3399ff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,1676082413.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676082416,True,True,6.0,AR,AR,,,,,,
dobsRLo,0,False,False,10986096,1676494800,independiente-rivadavia-belgrano,False,Copa Argentina,copa-argentina,Argentina,argentina,Football,football,1,48,argentina,Copa Argentina,copa-argentina,#187ec0,#44a4d8,Argentina,argentina,Football,football,1,48,argentina,17272,1024,False,False,False,False,0,273,32,60,Postponed,postponed,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,,False,0,3203,AR,Argentina,[],#3399ff,#3399ff,#3399ff,Independiente Rivadavia,independiente-rivadavia,Ind. Rivadavia,M,Football,football,1,3414,IRM,False,0,36842,AR,Argentina,[],#ffffff,#000040,#000040,,,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1676346151,False,False,6.0,AR,AR,,Round of 64,round-of-64,,,
dobsqob,1,True,False,10981515,1676758500,argentinos-juniors-belgrano,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,4,100,Ended,finished,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,AR,Argentina,[],#cc0000,#ffffff,#ffffff,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,False,0,3203,AR,Argentina,[],#3399ff,#3399ff,#3399ff,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1676765454.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676765457,True,True,6.0,AR,AR,,,,1.0,1.0,
dobsDcd,2,True,False,10981522,1677283200,tigre-belgrano,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,5,100,Ended,finished,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,,False,0,3203,AR,Argentina,[],#3399ff,#3399ff,#3399ff,Tigre,tigre,Tigre,M,Football,football,1,14402,TIG,False,0,7628,AR,Argentina,[],#000099,#ff0000,#ff0000,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,5.0,4.0,1677290152.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677290153,True,True,6.0,AR,AR,False,,,1.0,,
dobswob,2,True,False,10981364,1678132800,arsenal-de-sarandi-belgrano,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,6,100,Ended,finished,Arsenal de Sarandí,arsenal-de-sarandi,Arsenal,M,Football,football,1,8638,ARS,False,False,0,3221,AR,Argentina,[],#00ccff,#ff0000,#ff0000,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,False,0,3203,AR,Argentina,[],#3399ff,#3399ff,#3399ff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,6.0,1678139886.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678139888,True,True,6.0,AR,AR,,,,,,
dobstob,3,True,False,10981489,1678581000,lanus-belgrano,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,7,100,Ended,finished,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,,False,0,3203,AR,Argentina,[],#3399ff,#3399ff,#3399ff,Lanús,lanus,Lanús,M,Football,football,1,14017,LAN,False,0,3218,AR,Argentina,[],#660033,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1678587852.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678587855,True,True,6.0,AR,AR,False,,,,,
