customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,homeRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,aggregatedWinnerCode,previousLegEventId,homeScore.aggregated,awayScore.aggregated
eobsgob,1,True,True,True,6,False,10981365,1677884400,estudiantes-de-la-plata-union,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,6,100,Ended,finished,Unión,union,Unión,M,Football,football,1,9287,UNI,False,False,0,3204,AR,Argentina,[],#ffffff,#cc0000,#cc0000,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,2,2,0,2,2,0,0,0,0,0,3.0,4.0,1677891328,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677891329,,,,,,,,,
gobsEcd,1,True,True,True,6,False,10981491,1678659300,huracan-estudiantes-de-la-plata,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,7,100,Ended,finished,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,2,2,1,1,2,1,1,0,1,1,3.0,7.0,1678666271,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678666275,1.0,,,,,,,,
fobsgob,1,True,True,True,6,False,10981524,1679254200,estudiantes-de-la-plata-gimnasia-y-esgrima,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,8,100,Ended,finished,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,M,Football,football,1,10844,GLP,False,False,0,3205,AR,Argentina,[],#ffffff,#000033,#000033,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,2,2,0,2,2,1,1,1,0,1,3.0,10.0,1679262118,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679262120,,,,,,,,,
gobsmob,1,True,True,True,6,False,10981439,1680300000,newells-old-boys-estudiantes-de-la-plata,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,9,100,Ended,finished,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,Newell's Old Boys,newells-old-boys,Newell's,M,Football,football,1,14796,NOB,False,False,0,3212,AR,Argentina,[],#ff0000,#000000,#000000,3,3,2,1,3,0,0,0,0,0,3.0,5.0,1680306988,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680306991,,,,,,,,,
gobsvBn,2,True,True,True,1,False,11174262,1680732000,oriente-petrolero-estudiantes-de-la-plata,False,"CONMEBOL Sudamericana, Group C",conmebol-sudamericana-group-c,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,404,91438,1,100,Ended,finished,Oriente Petrolero,oriente-petrolero,Oriente,M,Football,football,1,5921,ORP,False,False,0,33820,BO,Bolivia,[],#009900,#ffffff,#ffffff,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,0,0,0,0,0,1,1,0,1,1,4.0,7.0,1680739069,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680739073,2.0,1.0,,,,,,,
gobsjob,2,True,True,True,6,False,10981423,1681059600,independiente-estudiantes-de-la-plata,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,10,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,1,1,0,1,1,2,2,0,2,2,1.0,6.0,1681066547,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681066549,,,,,,,,,
gobsILo,3,True,True,True,6,False,10981471,1681345800,atletico-tucuman-estudiantes-de-la-plata,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,11,100,Ended,finished,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,0,0,0,0,0,0,0,0,0,0,1.0,4.0,1681353863,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681353864,,,,,,,,,
cobsgob,2,True,True,True,6,False,10981484,1681596000,estudiantes-de-la-plata-boca-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,12,100,Ended,finished,Boca Juniors,boca-juniors,Boca Juniors,M,Football,football,1,94847,BOC,False,False,0,3202,AR,Argentina,[],#003399,#ffcc66,#ffcc66,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,0,0,0,0,0,1,1,0,1,1,2.0,5.0,1681603058,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1681603061,,,,,,,,,
gobsZuc,1,True,True,True,1,False,11174243,1681862400,tacuary-estudiantes-de-la-plata,False,"CONMEBOL Sudamericana, Group C",conmebol-sudamericana-group-c,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,404,91438,2,100,Ended,finished,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,Tacuary,tacuary,Tacuary,M,Football,football,1,4480,TAC,False,False,0,5999,PY,Paraguay,[],#ffffff,#000000,#000000,4,4,0,4,4,0,0,0,0,0,4.0,4.0,1681869272,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681869393,,1.0,,,,,,,
gobskob,1,True,True,True,6,False,10981375,1682283600,talleres-estudiantes-de-la-plata,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,13,100,Ended,finished,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,Talleres,talleres,Talleres,M,Football,football,1,17651,CAT,False,False,0,3210,AR,Argentina,[],#050040,#ffffff,#ffffff,1,1,0,1,1,0,0,0,0,0,3.0,6.0,1682290639,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682290642,,,,,,,,,
gobsMLo,2,True,True,True,6,False,10981449,1682636400,platense-estudiantes-de-la-plata,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,14,100,Ended,finished,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,1,1,1,0,1,2,2,2,0,2,2.0,5.0,1682643474,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682643478,,,,,,,,,
ZOsgob,3,True,True,True,1,False,11174280,1683072000,estudiantes-de-la-plata-red-bull-bragantino,False,"CONMEBOL Sudamericana, Group C",conmebol-sudamericana-group-c,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,404,91438,3,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,0,0,0,0,0,0,0,0,0,0,2.0,4.0,1683078748,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683078751,,,,,,,,,
gobsiob,1,True,True,True,6,False,10981390,1683504000,velez-sarsfield-estudiantes-de-la-plata,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,15,100,Ended,finished,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,Football,football,1,17605,VEL,False,False,0,3208,AR,Argentina,[],#ffffff,#003366,#003366,2,2,0,2,2,0,0,0,0,0,5.0,6.0,1683511206,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683511207,,,,,,,,,
gobsOLo,3,True,True,True,6,False,10981710,1684083600,defensa-y-justicia-estudiantes-de-la-plata,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,16,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,1,1,1,0,1,1,1,1,0,1,3.0,4.0,1684090537,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1684090541,,1.0,,,,,,,
gobsuob,1,True,True,True,6,False,10981680,1684534800,banfield-estudiantes-de-la-plata,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,17,100,Ended,finished,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,Banfield,banfield,Banfield,M,Football,football,1,10153,BAN,False,False,0,3219,AR,Argentina,[],#009900,#ffffff,#ffffff,1,1,0,1,1,0,0,0,0,0,1.0,4.0,1684541904,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1684541909,2.0,,,,,,,,
gobsZuc,2,True,True,True,1,False,11174306,1685052000,tacuary-estudiantes-de-la-plata,False,"CONMEBOL Sudamericana, Group C",conmebol-sudamericana-group-c,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,404,91438,4,100,Ended,finished,Tacuary,tacuary,Tacuary,M,Football,football,1,4480,TAC,False,False,0,5999,PY,Paraguay,[],#ffffff,#000000,#000000,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,0,0,0,0,0,4,4,0,4,4,3.0,2.0,1685058763,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1685058766,,,,,,,,,
