customId,winnerCode,hasGlobalHighlights,detailId,crowdsourcingDataDisplayEnabled,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,changes.changes,changes.changeTimestamp,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,homeRedCards,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,roundInfo.name,roundInfo.slug,hasXg
cobsjob,3,True,1.0,False,10975041,1.0,1673137800,independiente-boca-juniors,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,1,100,Ended,finished,Boca Juniors,boca-juniors,Boca Juniors,M,Football,football,1,94847,BOC,False,False,0,3202,AR,Argentina,[],#003399,#ffcc66,#ffcc66,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['cardsCode'],1673163185,,,,,,,,,,,
jobsHac,1,False,,False,10983280,1.0,1673483400,everton-de-vina-del-mar-independiente,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,1,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,Everton de Viña del Mar,everton-de-vina-del-mar,Everton,M,Football,football,1,5395,EVT,,False,0,5032,CL,Chile,[],#000088,#ffff00,#ffff00,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1673490334,1.0,4.0,1673490330.0,,,,,,,,
jobskob,2,True,6.0,False,10910863,1.0,1674944100,talleres-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,1,100,Ended,finished,Talleres,talleres,Talleres,M,Football,football,1,17651,CAT,False,False,0,3210,AR,Argentina,[],#050040,#ffffff,#ffffff,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1674951405,2.0,8.0,1674951379.0,True,True,1.0,AR,AR,,,
jobsMLo,2,True,6.0,False,10981537,,1675627200,platense-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,2,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675634391,6.0,5.0,1675634387.0,True,True,1.0,AR,AR,,,
iobsjob,3,True,6.0,False,10981530,,1676161800,independiente-velez-sarsfield,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,3,100,Ended,finished,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,Football,football,1,17605,VEL,False,False,0,3208,AR,Argentina,[],#ffffff,#003366,#003366,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1676168777,4.0,5.0,1676168771.0,True,True,,AR,AR,,,
jobsHiLc,0,False,6.0,False,10986083,,1676494800,ciudad-de-bolivar-independiente,False,Copa Argentina,copa-argentina,Argentina,argentina,Football,football,1,48,argentina,Copa Argentina,copa-argentina,#187ec0,#44a4d8,Argentina,argentina,Football,football,1,48,argentina,17272,1024,False,False,False,False,0,273,32,60,Postponed,postponed,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,Ciudad de Bolivar,ciudad-de-bolivar,Ciudad de Bolivar,M,Football,football,1,822,CIU,,False,0,340432,AR,Argentina,[],#52b030,#52b030,#ffffff,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1676346143,,,,False,False,,AR,AR,Round of 64,round-of-64,
jobsOLo,2,True,6.0,False,10981514,,1676853000,defensa-y-justicia-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,4,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676859831,2.0,5.0,1676859829.0,True,True,,AR,AR,,,
jobsuob,3,True,6.0,False,10981488,1.0,1677457800,banfield-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,5,100,Ended,finished,Banfield,banfield,Banfield,M,Football,football,1,10153,BAN,False,False,0,3219,AR,Argentina,[],#009900,#ffffff,#ffffff,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1677464691,5.0,5.0,1677464688.0,True,True,1.0,AR,AR,,,
jobsMYb,3,True,6.0,False,10981503,,1678046400,instituto-cordoba-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,6,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,Instituto Córdoba,instituto-cordoba,Instituto,M,Football,football,1,7054,IAC,,False,0,4937,AR,Argentina,[],#e72328,#222226,#222226,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678053605,6.0,6.0,1678053603.0,True,True,,AR,AR,,,
jobstnB,3,True,6.0,False,10981444,1.0,1678478400,barracas-central-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,7,100,Ended,finished,Barracas Central,barracas-central,Barracas,M,Football,football,1,7154,BAR,,False,0,65668,AR,Argentina,[],#ffffff,#ff0000,#ff0000,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678485471,3.0,5.0,1678485469.0,True,True,,AR,AR,,,
