customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,awayTeam.disabled,awayRedCards,hasXg,homeRedCards
lobszwc,1,True,True,True,6.0,False,10981479,1678659300,godoy-cruz-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,7,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,Godoy Cruz,godoy-cruz,Godoy Cruz,M,Football,football,1,11974,GOD,False,0,6074,AR,Argentina,[],#002593,#ffffff,#ffffff,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1678666013.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678666017,,,,,,,
cobslob,0,False,,,,False,11080777,1678924800,river-plate-boca-juniors,False,Trofeo de Campeones de la Liga Profesional,trofeo-de-campeones-de-la-liga-profesional,Argentina,argentina,Football,football,1,48,argentina,AR,Trofeo de Campeones de la Liga Profesional,trofeo-de-campeones-de-la-liga-profesional,,,Argentina,argentina,Football,football,1,48,argentina,AR,2063,False,False,18436,True,False,0,97312,29,60,Postponed,postponed,Boca Juniors,boca-juniors,Boca Juniors,M,Football,football,1,94847,BOC,False,False,0,3202,AR,Argentina,[],#003399,#ffcc66,#ffcc66,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,,,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1678656809,Final,final,1.0,False,,,
lobsNWq,2,True,True,True,6.0,False,10981469,1679272200,sarmiento-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,8,100,Ended,finished,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,False,0,42338,AR,Argentina,[],#006600,#006600,#006600,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1679279062.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679279064,,,,False,,,
lnbslob,1,True,,,1.0,False,11158427,1679785200,river-plate-universidad-de-chile,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,Universidad de Chile,universidad-de-chile,Universidad de Chile,M,Football,football,1,11109,UCH,False,0,3161,CL,Chile,[],#000099,#000099,#000099,4.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,,,,['cardsCode'],1679818956,,,,False,,,
eobslob,1,True,True,True,6.0,False,10981438,1680309000,river-plate-union,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,9,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,Unión,union,Unión,M,Football,football,1,9287,UNI,False,0,3204,AR,Argentina,[],#ffffff,#cc0000,#cc0000,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1680316089.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680316092,,,,False,1.0,,
lobsEan,1,True,True,True,1.0,False,11173676,1680645600,the-strongest-river-plate,False,"CONMEBOL Libertadores, Group D",conmebol-libertadores-group-d,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,False,False,384,True,False,536,2931,1,100,Ended,finished,The Strongest,the-strongest,The Strongest,M,Football,football,1,22369,STR,False,False,0,32529,BO,Bolivia,[],#ffcc00,#000000,#000000,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,3.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,1680652606.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680652609,,,,False,,True,
lobsEcd,2,True,True,True,6.0,False,10981426,1681077600,huracan-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,10,100,Ended,finished,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0,3.0,6.0,1681084608.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681084612,,,,False,,,1.0
fobslob,1,True,True,True,6.0,False,10981404,1681425000,river-plate-gimnasia-y-esgrima,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,11,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,M,Football,football,1,10844,GLP,False,0,3205,AR,Argentina,[],#ffffff,#000033,#000033,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1681431671.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681431722,,,,False,,,
lobsmob,2,True,True,True,6.0,False,10981450,1681682400,newells-old-boys-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,12,100,Ended,finished,Newell's Old Boys,newells-old-boys,Newell's,M,Football,football,1,14796,NOB,False,False,0,3212,AR,Argentina,[],#ff0000,#000000,#000000,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,1681689424.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681689427,,,,False,,,
cWslob,1,True,True,True,1.0,False,11173672,1681948800,river-plate-club-sporting-cristal,False,"CONMEBOL Libertadores, Group D",conmebol-libertadores-group-d,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,False,False,384,True,False,536,2931,2,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,Club Sporting Cristal,club-sporting-cristal,Sporting Cristal,M,Football,football,1,23002,CRI,False,0,2302,PE,Peru,[],#33ccff,#ffffff,#ffffff,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,1681955719.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681955722,,,,False,,True,1.0
