customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,awayRedCards,roundInfo.name,roundInfo.slug,hasXg,roundInfo.cupRoundType
qobsBnB,1,True,True,True,6,False,10981516,1677544200,central-cordoba-argentinos-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,5,100,Ended,finished,Central Córdoba,central-cordoba,Central Córdoba,M,Football,football,1,7712,CC,False,False,0,65676,AR,Argentina,[],#ffffff,#000000,#000000,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,AR,Argentina,[],#cc0000,#ffffff,#ffffff,1,1,1,0,1,0,0,0,0,0,4,10.0,1677551624,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677551627,,,,,,
qobsDcd,2,True,True,True,6,False,10981474,1678062600,tigre-argentinos-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,6,100,Ended,finished,Tigre,tigre,Tigre,M,Football,football,1,14402,TIG,False,False,0,7628,AR,Argentina,[],#000099,#ff0000,#ff0000,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,AR,Argentina,[],#cc0000,#ffffff,#ffffff,0,0,0,0,0,1,1,1,0,1,2,5.0,1678069539,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1678069545,1.0,,,,,
qobswob,3,True,True,True,6,False,10981476,1678492800,arsenal-de-sarandi-argentinos-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,7,100,Ended,finished,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,AR,Argentina,[],#cc0000,#ffffff,#ffffff,Arsenal de Sarandí,arsenal-de-sarandi,Arsenal,M,Football,football,1,8638,ARS,False,False,0,3221,AR,Argentina,[],#00ccff,#ff0000,#ff0000,1,1,0,1,1,1,1,0,1,1,1,8.0,1678499915,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678499918,,,,,,
qobsfmM,1,True,,,6,False,11086758,1678916700,deportivo-armenio-argentinos-juniors,False,Copa Argentina,copa-argentina,Argentina,argentina,Football,football,1,48,argentina,AR,Copa Argentina,copa-argentina,#187ec0,#44a4d8,Argentina,argentina,Football,football,1,48,argentina,AR,17272,False,False,1024,False,False,0,273,32,100,Ended,finished,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,AR,Argentina,[],#cc0000,#ffffff,#ffffff,Deportivo Armenio,deportivo-armenio,Dep. Armenio,M,Football,football,1,1376,ARM,,False,0,93105,AR,Argentina,[],#ff0000,#ffffff,#ffffff,3,3,1,2,3,0,0,0,0,0,2,,1678923414,['cardsCode'],1678923551,,1.0,Round of 64,round-of-64,,
qobstob,3,True,True,True,6,False,10981493,1679356800,lanus-argentinos-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,8,100,Ended,finished,Lanús,lanus,Lanús,M,Football,football,1,14017,LAN,False,False,0,3218,AR,Argentina,[],#660033,#ffffff,#ffffff,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,AR,Argentina,[],#cc0000,#ffffff,#ffffff,0,0,0,0,0,0,0,0,0,0,1,4.0,1679363526,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679363529,,,,,,
qobszwc,1,True,True,True,6,False,10981436,1680222600,godoy-cruz-argentinos-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,9,100,Ended,finished,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,AR,Argentina,[],#cc0000,#ffffff,#ffffff,Godoy Cruz,godoy-cruz,Godoy Cruz,M,Football,football,1,11974,GOD,,False,0,6074,AR,Argentina,[],#002593,#ffffff,#ffffff,3,3,0,3,3,0,0,0,0,0,4,5.0,1680229618,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680229621,,,,,,
qobsyUp,1,True,True,True,1,False,11173666,1680645600,independiente-del-valle-argentinos-juniors,False,"CONMEBOL Libertadores, Group E",conmebol-libertadores-group-e,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,False,False,384,True,False,535,2932,1,100,Ended,finished,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,AR,Argentina,[],#cc0000,#ffffff,#ffffff,Independiente del Valle,independiente-del-valle,Independiente del Valle,M,Football,football,1,25314,IND,False,False,0,39723,EC,Ecuador,[],#002945,#e8ac35,#e8ac35,1,1,0,1,1,0,0,0,0,0,4,5.0,1680652493,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680652495,,,,,True,
qobsNWq,1,True,True,True,6,False,10981428,1680978600,sarmiento-argentinos-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,10,100,Ended,finished,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,False,0,42338,AR,Argentina,[],#006600,#006600,#006600,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,AR,Argentina,[],#cc0000,#ffffff,#ffffff,2,2,0,2,2,0,0,0,0,0,1,7.0,1680985613,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680985651,,,,,,
eobsqob,1,True,True,True,6,False,10981464,1681250400,argentinos-juniors-union,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,11,100,Ended,finished,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,AR,Argentina,[],#cc0000,#ffffff,#ffffff,Unión,union,Unión,M,Football,football,1,9287,UNI,False,False,0,3204,AR,Argentina,[],#ffffff,#cc0000,#cc0000,5,5,3,2,5,1,1,0,1,1,2,3.0,1681257140,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681257142,,,,,,
qobsEcd,3,True,True,True,6,False,10981458,1681605000,huracan-argentinos-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,12,100,Ended,finished,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,AR,Argentina,[],#cc0000,#ffffff,#ffffff,0,0,0,0,0,0,0,0,0,0,2,8.0,1681612120,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681612123,,2.0,,,,
