customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,time.injuryTime1,time.injuryTime2,homeTeam.disabled,awayRedCards,detailId,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.overtime,awayScore.overtime,time.injuryTime3,time.injuryTime4,hasEventPlayerStatistics,hasEventPlayerHeatMap
zPisJZm,2,-1.0,False,False,9786799,1632249900,netherlands-iceland,False,"World Championship Qualification, Women, UEFA Group C",world-championship-qualification-women-uefa-group-c,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12680,1,100,Ended,finished,Iceland,iceland,Iceland,F,Football,football,1,2367,ISL,True,0,22024,IS,Iceland,[],#0033ff,#ffffff,#ffffff,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,False,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1632253680.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1632256624,,,,,,,,,,,,,,
JZmsxOhb,2,-1.0,False,False,9786605,1634928300,netherlands-cyprus,False,"World Championship Qualification, Women, UEFA Group C",world-championship-qualification-women-uefa-group-c,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12680,1,100,Ended,finished,Cyprus,cyprus,Cyprus,F,Football,football,1,595,CYP,True,0,144472,CY,Cyprus,[],#285c9f,#ffffff,#ffffff,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,False,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.0,5.0,8.0,1634931955.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime2']",1634934849,,,,,,,,,,,,,,
JZmsMEq,2,-1.0,False,False,9786598,1635271200,belarus-netherlands,False,"World Championship Qualification, Women, UEFA Group C",world-championship-qualification-women-uefa-group-c,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12680,1,100,Ended,finished,Belarus,belarus,Belarus,F,Football,football,1,588,BLR,True,0,41487,BY,Belarus,[],#ffffff,#fe0503,#fe0503,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,False,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,,2.0,1635277834.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1635277980,2.0,3.0,,,,,,,,,,,,
cfdsJZm,3,-1.0,False,False,9786639,1638010800,czech-republic-netherlands,False,"World Championship Qualification, Women, UEFA Group C",world-championship-qualification-women-uefa-group-c,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12680,1,100,Ended,finished,Czech Republic,czech-republic,Czech Republic,F,Football,football,1,1922,CZE,True,0,7752,CZ,Czech Republic,[],#cc0000,#025095,#025095,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,False,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,2.0,2.0,1.0,,2.0,2.0,2.0,0.0,,2.0,1638017705.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1638017813,2.0,6.0,,,,,,,,,,,,
tYcsJZm,3,-1.0,False,False,9972674,1638211200,japan-netherlands,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1,100,Ended,finished,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1638217930.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1638217936,1.0,3.0,False,,,,,,,,,,,
lYcsJZm,3,-1.0,True,False,10082247,1645034400,brazil-netherlands,False,"Tournoi de France, Women",tournoi-de-france-women,World,world,Football,football,1,1468,international,"Tournoi de France, Women",tournoi-de-france-women,#0261b3,#e30918,World,world,Football,football,1,1468,international,1381,14661,False,False,False,False,0,78095,1,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,False,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1645041120.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1645041167,,,False,1.0,,,,,,,,,,
cLisJZm,2,-1.0,False,False,10082203,1645290000,netherlands-finland,False,"Tournoi de France, Women",tournoi-de-france-women,World,world,Football,football,1,1468,international,"Tournoi de France, Women",tournoi-de-france-women,#0261b3,#e30918,World,world,Football,football,1,1468,international,1381,14661,False,False,False,False,0,78095,2,100,Ended,finished,Finland,finland,Finland,F,Football,football,1,2018,FIN,True,0,21802,FI,Finland,[],#ffffff,#0066b3,#0066b3,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,False,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0,1645293780.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1645296725,,,False,,,,,,,,,,,
JZmsKZm,1,-1.0,False,False,10082206,1645560600,france-netherlands,False,"Tournoi de France, Women",tournoi-de-france-women,World,world,Football,football,1,1468,international,"Tournoi de France, Women",tournoi-de-france-women,#0261b3,#e30918,World,world,Football,football,1,1468,international,1381,14661,False,False,False,False,0,78095,3,100,Ended,finished,France,france,France,F,Football,football,1,21076,FRA,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,False,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1645564380.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1645567389,,,False,,,,,,,,,,,
JZmsxOhb,1,-1.0,False,False,9786703,1649443500,netherlands-cyprus,False,"World Championship Qualification, Women, UEFA Group C",world-championship-qualification-women-uefa-group-c,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12680,1,100,Ended,finished,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,Cyprus,cyprus,Cyprus,F,Football,football,1,595,CYP,,True,0,144472,CY,Cyprus,[],#285c9f,#ffffff,#ffffff,12.0,12.0,5.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,1649447280.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1649450207,,,False,,,,,,,,,,,
JZmsLgB,1,-1.0,False,False,10233878,1649781900,south-africa-netherlands,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1,100,Ended,finished,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,South Africa,south-africa,South Africa,F,Football,football,1,5968,RSA,False,True,0,65336,ZA,South Africa,[],#ffd800,#008040,#008040,5.0,5.0,3.0,2.0,5.0,1.0,1.0,1.0,,1.0,1649788528.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1649789696,,,False,,,,,,,,,,,
