customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeTeam.disabled,time.injuryTime1,time.injuryTime2,awayRedCards,detailId,homeRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.overtime,awayScore.overtime,time.injuryTime3,time.injuryTime4,hasEventPlayerStatistics,hasEventPlayerHeatMap
KZmsyXo,2,-1.0,False,False,9786815,1632250800,slovenia-france,False,"World Championship Qualification, Women, UEFA Group I",world-championship-qualification-women-uefa-group-i,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,95124,1,100,Ended,finished,Slovenia,slovenia,Slovenia,F,Football,football,1,911,SLO,True,0,37373,SI,Slovenia,[],#ffffff,#153d96,#153d96,France,france,France,F,Football,football,1,21076,FRA,False,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,2,2,1,1.0,2,3,3,1,2.0,3,1632254460,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1632257636,,,,,,,,,,,,,,,
KZmsKlp,1,-1.0,False,False,9786574,1634929800,estonia-france,False,"World Championship Qualification, Women, UEFA Group I",world-championship-qualification-women-uefa-group-i,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,95124,1,100,Ended,finished,France,france,France,F,Football,football,1,21076,FRA,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,Estonia,estonia,Estonia,F,Football,football,1,802,EST,,True,0,38085,EE,Estonia,[],#0066cc,#ffffff,#ffffff,11,11,5,6.0,11,0,0,0,0.0,0,1634933592,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1634936555,False,,,,,,,,,,,,,,
KZmsUlp,2,-1.0,False,False,9786577,1635260400,kazakhstan-france,False,"World Championship Qualification, Women, UEFA Group I",world-championship-qualification-women-uefa-group-i,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,95124,1,100,Ended,finished,Kazakhstan,kazakhstan,Kazakhstan,F,Football,football,1,307,KAZ,True,0,38094,KZ,Kazakhstan,[],#fec50c,#4578d7,#4578d7,France,france,France,F,Football,football,1,21076,FRA,False,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,0,0,0,0.0,0,5,5,4,1.0,5,1635264129,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1635267051,,,,,,,,,,,,,,,
KZmsUlp,1,-1.0,False,False,9786652,1637957400,kazakhstan-france,False,"World Championship Qualification, Women, UEFA Group I",world-championship-qualification-women-uefa-group-i,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,95124,1,100,Ended,finished,France,france,France,F,Football,football,1,21076,FRA,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,Kazakhstan,kazakhstan,Kazakhstan,F,Football,football,1,307,KAZ,,True,0,38094,KZ,Kazakhstan,[],#fec50c,#4578d7,#4578d7,6,6,4,,6,0,0,0,,0,1637964083,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1637964178,False,1.0,2.0,,,,,,,,,,,,
KZmspFn,1,-1.0,False,False,9786625,1638303000,wales-france,False,"World Championship Qualification, Women, UEFA Group I",world-championship-qualification-women-uefa-group-i,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,95124,1,100,Ended,finished,France,france,France,F,Football,football,1,21076,FRA,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,Wales,wales,Wales,F,Football,football,1,1365,WAL,,True,0,34015,WA,Wales,[],#ff0000,#00813c,#00813c,2,2,1,,2,0,0,0,,0,1638309840,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1638309951,False,3.0,4.0,1.0,,,,,,,,,,,
cLisKZm,1,-1.0,False,False,10082220,1645042200,france-finland,False,"Tournoi de France, Women",tournoi-de-france-women,World,world,Football,football,1,1468,international,"Tournoi de France, Women",tournoi-de-france-women,#0261b3,#e30918,World,world,Football,football,1,1468,international,1381,14661,False,False,False,False,0,78095,1,100,Ended,finished,France,france,France,F,Football,football,1,21076,FRA,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,Finland,finland,Finland,F,Football,football,1,2018,FIN,False,True,0,21802,FI,Finland,[],#ffffff,#0066b3,#0066b3,5,5,3,2.0,5,0,0,0,0.0,0,1645048920,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'time.currentPeriodStart']",1645048933,False,,,,,,,,,,,,,,
lYcsKZm,1,-1.0,False,False,10082202,1645301400,brazil-france,False,"Tournoi de France, Women",tournoi-de-france-women,World,world,Football,football,1,1468,international,"Tournoi de France, Women",tournoi-de-france-women,#0261b3,#e30918,World,world,Football,football,1,1468,international,1381,14661,False,False,False,False,0,78095,2,100,Ended,finished,France,france,France,F,Football,football,1,21076,FRA,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,2,2,1,1.0,2,1,1,1,0.0,1,1645305000,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1645307989,False,,,,,,,,,,,,,,
JZmsKZm,1,-1.0,False,False,10082206,1645560600,france-netherlands,False,"Tournoi de France, Women",tournoi-de-france-women,World,world,Football,football,1,1468,international,"Tournoi de France, Women",tournoi-de-france-women,#0261b3,#e30918,World,world,Football,football,1,1468,international,1381,14661,False,False,False,False,0,78095,3,100,Ended,finished,France,france,France,F,Football,football,1,21076,FRA,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,False,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,3,3,2,1.0,3,1,1,0,1.0,1,1645564380,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1645567389,False,,,,,,,,,,,,,,
KZmspFn,2,-1.0,False,False,9786707,1649443500,wales-france,False,"World Championship Qualification, Women, UEFA Group I",world-championship-qualification-women-uefa-group-i,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,95124,1,100,Ended,finished,Wales,wales,Wales,F,Football,football,1,1365,WAL,True,0,34015,WA,Wales,[],#ff0000,#00813c,#00813c,France,france,France,F,Football,football,1,21076,FRA,False,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,1,1,0,,1,2,2,1,,2,1649450367,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1649450386,,2.0,3.0,,,,,,,,,,,,
KZmsyXo,1,-1.0,False,False,9786669,1649790600,slovenia-france,False,"World Championship Qualification, Women, UEFA Group I",world-championship-qualification-women-uefa-group-i,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,95124,1,100,Ended,finished,France,france,France,F,Football,football,1,21076,FRA,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,Slovenia,slovenia,Slovenia,F,Football,football,1,911,SLO,,True,0,37373,SI,Slovenia,[],#ffffff,#153d96,#153d96,1,1,0,,1,0,0,0,,0,1649797262,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1649797414,False,,4.0,,,,,,,,,,,,
