customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,homeRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayTeam.disabled,homeTeam.disabled,awayRedCards,coverage,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,aggregatedWinnerCode,previousLegEventId,homeScore.aggregated,awayScore.aggregated,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,hasEventPlayerStatistics,detailId
brbsgrb,3,True,False,10164703,1.0,1668250800,neman-grodno-vitebsk,False,Vysshaya League,vysshaya-league,Belarus,belarus,Football,football,1,91,belarus,BY,Vysshaya Liga,vysshaya-liga,#113d43,#268795,Belarus,belarus,Football,football,1,91,belarus,BY,5872,False,True,169,False,False,0,616,30.0,100,Ended,finished,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,Vitebsk,vitebsk,Vitebsk,M,Football,football,1,1336,VIT,False,0,3351,BY,Belarus,[],#0078f5,#ffffff,#ffffff,1,1,1,0,1,1,1,0,1,1,1.0,4.0,1668257447,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1668257452,,,,,,,,,,,,,,,,,,,,,
grbseWc,2,False,False,11023423,,1674909000,fc-minsk-neman-grodno,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,FC Minsk,fc-minsk,Minsk,M,Football,football,1,1808,MIN,False,0,7304,BY,Belarus,[],#026ce2,#026ce2,#026ce2,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,0,0,0,0,0,2,2,0,2,2,,,1674915209,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1674915214,,,,,,,,,,,,,,,,,,,,,
drbsgrb,1,False,False,11027597,,1675076400,neman-grodno-dynamo-brest,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,Dynamo Brest,dynamo-brest,Dynamo Brest,M,Football,football,1,3580,BRE,False,0,3353,BY,Belarus,[],#7de0ff,#003165,#003165,3,3,3,0,3,1,1,0,1,1,,,1675083131,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1675083136,False,,,,,,,,,,,,,,,,,,,,
grbsjrb,2,False,False,11037114,,1675413000,torpedo-belaz-zhodino-neman-grodno,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,Torpedo-BelAZ Zhodino,torpedo-belaz-zhodino,Torpedo Zhodino,M,Football,football,1,2914,TOR,False,0,3359,BY,Belarus,[],#ffffff,#000000,#000000,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,3,3,1,2,3,4,4,4,0,4,,,1675420080,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'time.currentPeriodStart']",1675420121,,,,,,,,,,,,,,,,,,,,,
grbsJec,1,False,False,11052631,,1676029500,naftan-novopolotsk-neman-grodno,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,Naftan Novopolotsk,naftan-novopolotsk,Naftan Novopolotsk,M,Football,football,1,1005,NAF,False,0,5234,BY,Belarus,[],#00003e,#ffe517,#ffe517,4,4,1,3,4,0,0,0,0,0,,,1676032920,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1676035862,False,,,,,,,,,,,,,,,,,,,,
grbsGMo,2,False,False,11054695,,1676201400,sfk-slutsk-neman-grodno,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,SFK Slutsk,sfk-slutsk,SFK Slutsk,M,Football,football,1,1440,SLU,False,0,36881,BY,Belarus,[],#004a95,#0b1851,#0b1851,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,0,0,0,0,0,3,3,2,1,3,,,1676207681,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676207685,,False,,,,,,,,,,,,,,,,,,,
drbsgrb,2,False,False,11061177,,1676374200,neman-grodno-dynamo-brest,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,Dynamo Brest,dynamo-brest,Dynamo Brest,M,Football,football,1,3580,BRE,False,0,3353,BY,Belarus,[],#7de0ff,#003165,#003165,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,1,1,1,0,1,3,3,2,1,3,,,1676380602,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1676380606,,False,1.0,,,,,,,,,,,,,,,,,,
grbsjrb,1,False,False,11067099,,1676620800,torpedo-belaz-zhodino-neman-grodno,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,Torpedo-BelAZ Zhodino,torpedo-belaz-zhodino,Torpedo Zhodino,M,Football,football,1,2914,TOR,False,0,3359,BY,Belarus,[],#ffffff,#000000,#000000,3,3,1,2,3,0,0,0,0,0,,,1676624460,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1676627336,,,,-1.0,,,,,,,,,,,,,,,,,
grbsGMo,1,False,False,11078438,,1677056400,sfk-slutsk-neman-grodno,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,SFK Slutsk,sfk-slutsk,SFK Slutsk,M,Football,football,1,1440,SLU,False,0,36881,BY,Belarus,[],#004a95,#0b1851,#0b1851,2,2,0,2,2,0,0,0,0,0,,,1677059940,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1677062721,False,,1.0,,,,,,,,,,,,,,,,,,
brbsgrb,3,True,False,10959032,,1678014000,neman-grodno-vitebsk,False,Cup,cup,Belarus,belarus,Football,football,1,91,belarus,BY,Belarus Cup,belarus-cup,,#f8c107,Belarus,belarus,Football,football,1,91,belarus,BY,1019,False,False,578,False,False,0,3112,27.0,100,Ended,finished,Vitebsk,vitebsk,Vitebsk,M,Football,football,1,1336,VIT,False,0,3351,BY,Belarus,[],#0078f5,#ffffff,#ffffff,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,0,0,0,0,0,0,0,0,0,0,,,1678021440,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678021446,,,,,Quarterfinal,quarterfinal,4.0,,,,,,,,,,,,,,
brbsgrb,1,True,False,10960242,,1678627800,neman-grodno-vitebsk,False,Cup,cup,Belarus,belarus,Football,football,1,91,belarus,BY,Belarus Cup,belarus-cup,,#f8c107,Belarus,belarus,Football,football,1,91,belarus,BY,1019,False,False,578,False,False,0,3112,27.0,100,Ended,finished,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,Vitebsk,vitebsk,Vitebsk,M,Football,football,1,1336,VIT,False,0,3351,BY,Belarus,[],#0078f5,#ffffff,#ffffff,2,2,0,2,2,1,1,0,1,1,,,1678634343,['time.injuryTime2'],1678634669,,,,,Quarterfinal,quarterfinal,4.0,1.0,10959032.0,2.0,1.0,,,,,,,,,,
grbshrb,2,True,False,11081065,,1680440400,shakhtyor-soligorsk-neman-grodno,False,Vysshaya League,vysshaya-league,Belarus,belarus,Football,football,1,91,belarus,BY,Vysshaya Liga,vysshaya-liga,#113d43,#268795,Belarus,belarus,Football,football,1,91,belarus,BY,5872,False,True,169,False,False,0,616,2.0,100,Ended,finished,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,Shakhtyor Soligorsk,shakhtyor-soligorsk,Shakhter,M,Football,football,1,10679,SHS,False,0,3357,BY,Belarus,[],#f1fc68,#000000,#000000,0,0,0,0,0,1,1,0,1,1,1.0,1.0,1680447178,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680447181,False,,,,,,,,,,,,,,,,,,,,
Zqbsgrb,3,True,False,11081061,,1681050600,neman-grodno-fk-gomel,False,Vysshaya League,vysshaya-league,Belarus,belarus,Football,football,1,91,belarus,BY,Vysshaya Liga,vysshaya-liga,#113d43,#268795,Belarus,belarus,Football,football,1,91,belarus,BY,5872,False,True,169,False,False,0,616,3.0,100,Ended,finished,FK Gomel,fk-gomel,Gomel,M,Football,football,1,2035,GOM,False,0,3349,BY,Belarus,[],#ffffff,#0f9251,#0f9251,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,3,3,1,2,3,3,3,2,1,3,,3.0,1681057189,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681057192,,,,,,,,,,,,,,,,,,,,,
Yqbsgrb,1,True,False,11081049,,1681578000,neman-grodno-energetik-bgu-minsk,False,Vysshaya League,vysshaya-league,Belarus,belarus,Football,football,1,91,belarus,BY,Vysshaya Liga,vysshaya-liga,#113d43,#268795,Belarus,belarus,Football,football,1,91,belarus,BY,5872,False,True,169,False,False,0,616,4.0,100,Ended,finished,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,Energetik-BGU Minsk,energetik-bgu-minsk,Energetik-BGU,M,Football,football,1,3576,BGU,False,0,3348,BY,Belarus,[],#0051c8,#ffffff,#ffffff,2,2,0,2,2,0,0,0,0,0,,4.0,1681584565,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681584569,,,,,,,,,,,,,,,,,,,,,
arbsgrb,3,True,False,11150476,,1681916400,neman-grodno-bate-borisov,False,Cup,cup,Belarus,belarus,Football,football,1,91,belarus,BY,Belarus Cup,belarus-cup,,#f8c107,Belarus,belarus,Football,football,1,91,belarus,BY,1019,False,False,578,False,False,0,3112,28.0,100,Ended,finished,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,BATE Borisov,bate-borisov,BATE Borisov,M,Football,football,1,16367,BAT,False,0,3350,BY,Belarus,[],#0000cc,#ffcc00,#ffcc00,1,1,0,1,1,1,1,0,1,1,,,1681920060,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681923199,False,,,,Semifinal,semifinal,2.0,,,,,,,,,,,,,,
grbseWc,2,True,False,11081045,,1682247600,fc-minsk-neman-grodno,False,Vysshaya League,vysshaya-league,Belarus,belarus,Football,football,1,91,belarus,BY,Vysshaya Liga,vysshaya-liga,#113d43,#268795,Belarus,belarus,Football,football,1,91,belarus,BY,5872,False,True,169,False,False,0,616,5.0,100,Ended,finished,FC Minsk,fc-minsk,Minsk,M,Football,football,1,1808,MIN,False,0,7304,BY,Belarus,[],#026ce2,#026ce2,#026ce2,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,0,0,0,0,0,1,1,0,1,1,,4.0,1682254218,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682254220,,,,,,,,,,,,,,,,,,,,,
grbslrb,1,True,False,11081038,,1682766000,dinamo-minsk-neman-grodno,False,Vysshaya League,vysshaya-league,Belarus,belarus,Football,football,1,91,belarus,BY,Vysshaya Liga,vysshaya-liga,#113d43,#268795,Belarus,belarus,Football,football,1,91,belarus,BY,5872,False,True,169,False,False,0,616,6.0,100,Ended,finished,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,Dinamo Minsk,dinamo-minsk,Dinamo Minsk,M,Football,football,1,9485,DMI,False,0,3361,BY,Belarus,[],#ffffff,#000000,#000000,1,1,0,1,1,0,0,0,0,0,3.0,4.0,1682772837,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682772842,,,1.0,,,,,,,,,,,,,,,,,,
drbsgrb,2,True,False,11081030,,1683370800,neman-grodno-dynamo-brest,False,Vysshaya League,vysshaya-league,Belarus,belarus,Football,football,1,91,belarus,BY,Vysshaya Liga,vysshaya-liga,#113d43,#268795,Belarus,belarus,Football,football,1,91,belarus,BY,5872,False,True,169,False,False,0,616,7.0,100,Ended,finished,Dynamo Brest,dynamo-brest,Dynamo Brest,M,Football,football,1,3580,BRE,False,0,3353,BY,Belarus,[],#7de0ff,#003165,#003165,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,BY,Belarus,[],#fff24b,#099d66,#099d66,1,1,1,0,1,3,3,3,0,3,,,1683374580,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1683377646,,False,,,,,,,,,,,,,,,,,,,
