customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,changes.changes,changes.changeTimestamp,time.currentPeriodStartTimestamp,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,time.injuryTime1,time.injuryTime2,roundInfo.round,roundInfo.name,roundInfo.slug,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,time.injuryTime3,homeRedCards,roundInfo.cupRoundType,awayRedCards
gPisccKc,2,False,False,11030943,1676507400,inter-miami-cf-cf-montreal,False,MLS Pre Season,mls-pre-season,USA,usa,Football,football,1,26,usa,US,Carolina Challenge Cup,carolina-challenge-cup,#000000,#d5a70b,USA,usa,Football,football,1,26,usa,US,1129,18529,False,False,False,False,0,91851,100,Ended,finished,Inter Miami CF,inter-miami-cf,Inter Miami,M,Football,football,1,184977,MIA,False,False,0,337602,US,USA,[],#212322,#f6b5cc,#f6b5cc,CF Montreal,cf-montreal,Montréal,M,Football,football,1,9484,MON,False,False,0,22006,US,USA,[],#0033ff,#000000,#000000,1,1,0,1,1,2,2,2,0,2,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime']",1676536944,,,,,,,,,,,,,,,,,,,,,,
ccKcsyjbd,3,False,False,11066554,1676746800,austin-fc-inter-miami-cf,False,MLS Pre Season,mls-pre-season,USA,usa,Football,football,1,26,usa,US,Carolina Challenge Cup,carolina-challenge-cup,#000000,#d5a70b,USA,usa,Football,football,1,26,usa,US,1129,18529,False,False,False,False,0,91851,100,Ended,finished,Inter Miami CF,inter-miami-cf,Inter Miami,M,Football,football,1,184977,MIA,False,False,0,337602,US,USA,[],#212322,#f6b5cc,#f6b5cc,Austin FC,austin-fc,Austin,M,Football,football,1,10388,ATX,False,False,0,377973,US,USA,[],#1ca949,#000000,#000000,2,2,0,2,2,2,2,0,2,2,"['homeScore.period1', 'awayScore.period1', 'time.currentPeriodStart']",1676801797,1676801760.0,,,,,,,,,,,,,,,,,,,,,
gPisccKc,1,True,False,10952504,1677371400,inter-miami-cf-cf-montreal,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Inter Miami CF,inter-miami-cf,Inter Miami,M,Football,football,1,184977,MIA,False,False,0,337602,US,USA,[],#212322,#f6b5cc,#f6b5cc,CF Montreal,cf-montreal,Montréal,M,Football,football,1,9484,MON,False,False,0,22006,US,USA,[],#0033ff,#000000,#000000,2,2,1,1,2,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677378899,1677378898.0,True,True,True,1.0,2.0,6.0,,,,,,,,,,,,,,,
IWpsccKc,1,True,False,10952491,1677976200,philadelphia-union-inter-miami-cf,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Inter Miami CF,inter-miami-cf,Inter Miami,M,Football,football,1,184977,MIA,False,False,0,337602,US,USA,[],#212322,#f6b5cc,#f6b5cc,Philadelphia Union,philadelphia-union,Philadelphia,M,Football,football,1,15106,PHI,False,False,0,39833,US,USA,[],#000033,#999900,#999900,2,2,1,1,2,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1677983627,1677983624.0,True,True,True,1.0,1.0,8.0,,,,,,,,,,,,,,,
TcAbsccKc,1,True,False,10952476,1678581000,inter-miami-cf-new-york-city-fc,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,New York City FC,new-york-city-fc,NY City,M,Football,football,1,13720,NYC,False,False,0,187643,US,USA,[],#6eade0,#171d23,#171d23,Inter Miami CF,inter-miami-cf,Inter Miami,M,Football,football,1,184977,MIA,False,False,0,337602,US,USA,[],#212322,#f6b5cc,#f6b5cc,1,1,1,0,1,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678588515,1678588511.0,True,True,True,1.0,,6.0,,,,,,,,,,,,,,,
FQcsccKc,1,True,False,10952462,1679182200,toronto-fc-inter-miami-cf,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Toronto FC,toronto-fc,Toronto,M,Football,football,1,12525,TOR,False,False,0,7080,CA,Canada,[],#ff0000,#000000,#000000,Inter Miami CF,inter-miami-cf,Inter Miami,M,Football,football,1,184977,MIA,False,False,0,337602,US,USA,[],#212322,#f6b5cc,#f6b5cc,2,2,0,2,2,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679189477,1679189474.0,True,True,True,1.0,,4.0,,,,,,,,,,,,,,,
fabsccKc,2,True,False,10952446,1679787000,inter-miami-cf-chicago-fire,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Inter Miami CF,inter-miami-cf,Inter Miami,M,Football,football,1,184977,MIA,False,False,0,337602,US,USA,[],#212322,#f6b5cc,#f6b5cc,Chicago Fire,chicago-fire,Chicago Fire,M,Football,football,1,7036,CHI,,False,0,2505,US,USA,[],#ff0000,#000066,#000066,2,2,1,1,2,3,3,2,1,3,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679794483,1679794481.0,True,True,True,1.0,2.0,6.0,,,,,,,,,,,,,,,
rdLbsccKc,1,True,False,10952440,1680391800,inter-miami-cf-fc-cincinnati,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,FC Cincinnati,fc-cincinnati,Cincinnati,M,Football,football,1,10381,CIN,,False,0,215167,US,USA,[],#0433ff,#ff7309,#ff7309,Inter Miami CF,inter-miami-cf,Inter Miami,M,Football,football,1,184977,MIA,False,False,0,337602,US,USA,[],#212322,#f6b5cc,#f6b5cc,1,1,1,0,1,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1680399582,1680399581.0,True,True,True,1.0,9.0,4.0,,,,,,,,,,,,,,,
mabsccKc,2,True,False,10952420,1680996600,inter-miami-cf-fc-dallas,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Inter Miami CF,inter-miami-cf,Inter Miami,M,Football,football,1,184977,MIA,False,False,0,337602,US,USA,[],#212322,#f6b5cc,#f6b5cc,FC Dallas,fc-dallas,Dallas,M,Football,football,1,7652,DAL,False,False,0,2512,US,USA,[],#ff0000,#cc0000,#cc0000,0,0,0,0,0,1,1,1,0,1,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681004602,1681004600.0,True,True,True,1.0,6.0,8.0,,,,,,,,,,,,,,,
iabsccKc,1,True,False,10952390,1682209800,inter-miami-cf-houston-dynamo,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Houston Dynamo,houston-dynamo,Houston,M,Football,football,1,5825,HOU,False,False,0,2508,US,USA,[],#ff6600,#ffffff,#ffffff,Inter Miami CF,inter-miami-cf,Inter Miami,M,Football,football,1,184977,MIA,False,False,0,337602,US,USA,[],#212322,#f6b5cc,#f6b5cc,1,1,0,1,1,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1682217107,1682217093.0,True,True,True,1.0,,6.0,,,,,,,,,,,,,,,
