customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeScore.extra1,homeScore.overtime,awayScore.extra1,awayScore.overtime,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,awayTeam.disabled,time.injuryTime1,time.injuryTime2,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,awayRedCards,homeRedCards
IWpsmcKc,1,False,False,10985780,1676401200,philadelphia-union-nashville-sc,False,MLS Pre Season,mls-pre-season,USA,usa,Football,football,1,26,usa,US,Carolina Challenge Cup,carolina-challenge-cup,#000000,#d5a70b,USA,usa,Football,football,1,26,usa,US,1129,18529,False,False,False,False,0,91851,100,Ended,finished,Philadelphia Union,philadelphia-union,Philadelphia,M,Football,football,1,15106,PHI,False,False,0,39833,US,USA,[],#000033,#999900,#999900,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,False,0,337612,US,USA,[],#0f1545,#ece83a,#ece83a,2,2,0,2,2,0,0,0,0,0,1676410080.0,"['status.code', 'status.description', 'status.type', 'awayScore.period2', 'time.currentPeriodStart']",1676410098,,,,,,,,,,,,,,,,,
rdLbsmcKc,2,False,False,10985775,1676653200,nashville-sc-fc-cincinnati,False,MLS Pre Season,mls-pre-season,USA,usa,Football,football,1,26,usa,US,Carolina Challenge Cup,carolina-challenge-cup,#000000,#d5a70b,USA,usa,Football,football,1,26,usa,US,1129,18529,False,False,False,False,0,91851,100,Ended,finished,FC Cincinnati,fc-cincinnati,Cincinnati,M,Football,football,1,10381,CIN,,False,0,215167,US,USA,[],#0433ff,#ff7309,#ff7309,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,False,0,337612,US,USA,[],#0f1545,#ece83a,#ece83a,3,3,0,3,3,6,6,0,6,6,,"['status.code', 'status.description', 'awayScore.period2', 'awayScore.normaltime']",1676675356,0.0,0.0,3.0,3.0,,,,,,,,,,,,,
TcAbsmcKc,1,True,False,10952508,1677360600,nashville-sc-new-york-city-fc,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,,False,0,337612,US,USA,[],#0f1545,#ece83a,#ece83a,New York City FC,new-york-city-fc,NY City,M,Football,football,1,13720,NYC,False,0,187643,US,USA,[],#6eade0,#171d23,#171d23,2,2,1,1,2,0,0,0,0,0,1677369024.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1677369028,,,,,True,True,True,1.0,False,2.0,7.0,,,,,,
gabsmcKc,3,True,False,10952490,1677976200,nashville-sc-new-york-red-bulls,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,New York Red Bulls,new-york-red-bulls,NY Red Bulls,M,Football,football,1,10693,NY,,False,0,2506,US,USA,[],#ffffff,#cc0000,#cc0000,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,False,0,337612,US,USA,[],#0f1545,#ece83a,#ece83a,0,0,0,0,0,0,0,0,0,0,1677983624.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677983627,,,,,True,True,True,1.0,,3.0,6.0,,,,,,
gPismcKc,1,True,False,10952470,1678584600,nashville-sc-cf-montreal,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,,False,0,337612,US,USA,[],#0f1545,#ece83a,#ece83a,CF Montreal,cf-montreal,Montréal,M,Football,football,1,9484,MON,False,0,22006,US,USA,[],#0033ff,#000000,#000000,2,2,1,1,2,0,0,0,0,0,1678591998.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678592001,,,,,True,True,True,1.0,False,2.0,5.0,,,,,,
labsmcKc,1,True,False,10952464,1679182200,nashville-sc-new-england-revolution,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,New England Revolution,new-england-revolution,New England,M,Football,football,1,11253,NE,,False,0,2511,US,USA,[],#000066,#ff0000,#ff0000,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,False,0,337612,US,USA,[],#0f1545,#ece83a,#ece83a,1,1,0,1,1,0,0,0,0,0,1679189317.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679189319,,,,,True,True,True,1.0,,,3.0,,,,,,
rdLbsmcKc,2,True,False,10952443,1679790600,nashville-sc-fc-cincinnati,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,,False,0,337612,US,USA,[],#0f1545,#ece83a,#ece83a,FC Cincinnati,fc-cincinnati,Cincinnati,M,Football,football,1,10381,CIN,False,0,215167,US,USA,[],#0433ff,#ff7309,#ff7309,0,0,0,0,0,1,1,0,1,1,1679798047.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679798049,,,,,True,True,True,1.0,,1.0,8.0,,,,,,
MUvsmcKc,2,True,False,10952433,1680391800,orlando-city-sc-nashville-sc,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Orlando City SC,orlando-city-sc,Orlando,M,Football,football,1,10358,ORL,,False,0,52237,US,USA,[],#660099,#ffffff,#ffffff,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,False,0,337612,US,USA,[],#0f1545,#ece83a,#ece83a,0,0,0,0,0,2,2,1,1,2,1680399082.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680399085,,,,,True,True,True,1.0,,1.0,4.0,,,,,,
FQcsmcKc,3,True,False,10952414,1681000200,toronto-fc-nashville-sc,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,,False,0,337612,US,USA,[],#0f1545,#ece83a,#ece83a,Toronto FC,toronto-fc,Toronto,M,Football,football,1,12525,TOR,False,0,7080,CA,Canada,[],#ff0000,#000000,#000000,0,0,0,0,0,0,0,0,0,0,1681007615.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681007617,,,,,True,True,True,1.0,False,6.0,2.0,,,,,,
TcAbsmcKc,1,True,False,10952407,1681601400,nashville-sc-new-york-city-fc,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,#e2231a,#062f69,USA,usa,Football,football,1,26,usa,US,56068,242,True,False,False,False,326,18,100,Ended,finished,New York City FC,new-york-city-fc,NY City,M,Football,football,1,13720,NYC,False,False,0,187643,US,USA,[],#6eade0,#171d23,#171d23,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,False,0,337612,US,USA,[],#0f1545,#ece83a,#ece83a,2,2,2,0,2,1,1,0,1,1,1681608880.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681608884,,,,,True,True,True,1.0,,3.0,5.0,,,,,,
