customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,homeRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,coverage,aggregatedWinnerCode,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,time.injuryTime1,time.injuryTime2,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId
BeostDr,3,True,False,10543608,1.0,1668861000,nk-dugopolje-nk-rudes,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,15.0,100,Ended,finished,NK Dugopolje,nk-dugopolje,Dugopolje,M,Football,football,1,1421,DUG,False,False,0,43918,HR,Croatia,[],#ffffff,#1c39bb,#1c39bb,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668864720.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1668867697,,,,,,,,,,
BeosxfMb,1,True,False,10543555,,1669465800,nk-rudes-nk-croatia-zmijavci,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,16.0,100,Ended,finished,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,NK Croatia Zmijavci,nk-croatia-zmijavci,Croatia (Z),M,Football,football,1,1304,CZM,False,False,0,217772,HR,Croatia,[],#f5485b,#f2f0f3,#f2f0f3,3.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1669469460.0,['homeScore.period2'],1669473345,,,,,,,,,,
BeosqvX,2,True,False,10543598,,1669982400,nk-rudes-nk-kustosija,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,17.0,100,Ended,finished,NK Kustošija,nk-kustosija,Kustošija,M,Football,football,1,1849,KUS,False,False,0,118516,HR,Croatia,[],#bd2d22,#000000,#000000,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1669986120.0,['cardsCode'],1669991554,,,,,,,,,,
BeosNeo,1,False,False,11005001,,1674298800,nk-mladost-zdralovi-nk-rudes,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,NK Mladost Ždralovi,nk-mladost-zdralovi,Mladost (Ž),M,Football,football,1,615,ZDR,False,False,0,35238,HR,Croatia,[],#52b030,#52b030,#ffffff,4.0,4.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,1674305147.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1674305151,,,,,,,,,,
BeosXKw,1,False,False,11014003,,1674640800,nk-sesvete-nk-rudes,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,NK Sesvete,nk-sesvete,Sesvete,M,Football,football,1,1278,SES,False,False,0,54297,HR,Croatia,[],#c80815,#222226,#222226,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,3.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1674646980.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1674647005,-1.0,,,,,,,,,
BeosMep,3,False,False,11023029,,1674910800,kalcer-radomlje-nk-rudes,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,Kalcer Radomlje,kalcer-radomlje,Kalcer Radomlje,M,Football,football,1,3069,RAD,,False,0,37737,SI,Slovenia,[],#ffff00,#000000,#000000,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,3.0,1674910914.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1674929550,,,,,,,,,,
qYsBeo,0,False,False,11029552,,1675254600,nk-rudes-nk-olimpija-ljubljana,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,70,Canceled,canceled,NK Olimpija Ljubljana,nk-olimpija-ljubljana,Olimpija,M,Football,football,1,16170,OLI,False,False,0,2416,SI,Slovenia,[],#66ff00,#66ff00,#66ff00,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1675230251,,,,,,,,,,
DPsBeo,1,True,False,10543616,,1676727000,nk-rudes-nk-hrvatski-dragovoljac,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,18.0,100,Ended,finished,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,NK Hrvatski Dragovoljac,nk-hrvatski-dragovoljac,Dragovoljac,M,Football,football,1,3178,DRA,False,False,0,2028,HR,Croatia,[],#000000,#ffffff,#ffffff,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1676730600.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1676733428,,,,,,,,,,
BeosHAo,1,True,False,10543585,,1677330000,nk-solin-nk-rudes,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,19.0,100,Ended,finished,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,NK Solin,nk-solin,Solin,M,Football,football,1,1523,SOL,,False,0,36282,HR,Croatia,[],#0000ff,#ffff00,#ffff00,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1677333600.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1677336855,,,,,,,,,,
RPsBeo,1,True,False,10888702,,1677600000,nk-rudes-nk-slaven-belupo,False,Croatia Cup,croatia-cup,Croatia,croatia,Football,football,1,14,croatia,HR,Croatian Cup,croatian-cup,#d9251d,#4087c7,Croatia,croatia,Football,football,1,14,croatia,HR,7602,False,False,307,False,False,0,170,27.0,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1677606737.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677606740,,1.0,Quarterfinal,quarterfinal,4.0,1.0,4.0,,,
