customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,coverage,homeRedCards,awayRedCards,aggregatedWinnerCode,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayTeam.disabled,hasEventPlayerStatistics,detailId,time.injuryTime1,time.injuryTime2,previousLegEventId,homeScore.aggregated,awayScore.aggregated,lastPeriod,homeTeam.disabled,time.initial,time.max,time.extra,statusTime.prefix,statusTime.initial,statusTime.max,statusTime.timestamp,statusTime.extra
lfcsbzo,3.0,False,False,10448457,1665925200,racing-fc-union-luxembourg-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,9.0,100,Ended,finished,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,Racing FC Union Luxembourg,racing-fc-union-luxembourg,Racing,M,Football,football,1,1029,UNI,False,0,5261,LU,Luxembourg,[],#8ad0ff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665928980.0,['cardsCode'],1665987375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bzosdCt,2.0,False,False,10448432,1666530000,una-strassen-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,10.0,100,Ended,finished,Una Strassen,una-strassen,Strassen,M,Football,football,1,484,UNA,False,0,46353,LU,Luxembourg,[],#ff0000,#0000ff,#0000ff,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1666534020.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1666537166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhcsbzo,1.0,False,False,10767607,1667140200,un-kaerjeng-97-progres-niederkorn,False,Coupe de Luxembourg,coupe-de-luxembourg,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Coupe de Luxembourg,coupe-de-luxembourg,#101177,#ff0d0a,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,463,False,False,765,False,False,0,11819,6.0,100,Ended,finished,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,Un Kaerjeng 97,un-kaerjeng-97,Kaerjeng,M,Football,football,1,503,K97,False,0,5384,LU,Luxembourg,[],#000066,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1667144220.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1667147216,Round of 32,round-of-32,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhcsbzo,2.0,False,False,10448409,1667745000,union-titus-petange-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,11.0,100,Ended,finished,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,Union Titus Petange,union-titus-petange,Petange,M,Football,football,1,740,UTP,False,0,5378,LU,Luxembourg,[],#ffffff,#0000ff,#0000ff,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1667752020.0,"['status.code', 'status.description', 'status.type', 'time.currentPeriodStart']",1667752058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ehcsbzo,2.0,False,False,10448872,1668348000,etzella-ettelbruck-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,12.0,100,Ended,finished,Etzella Ettelbruck,etzella-ettelbruck,Etzella,M,Football,football,1,413,ETZ,False,0,5379,LU,Luxembourg,[],#ffffff,#0050e0,#0050e0,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1668351840.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1668355073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etksbzo,1.0,False,False,10448970,1669557600,progres-niederkorn-cs-fola-esch,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,13.0,100,Ended,finished,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,CS Fola Esch,cs-fola-esch,Fola,M,Football,football,1,2458,FES,False,0,25929,LU,Luxembourg,[],#ff0000,#0000ff,#0000ff,3.0,3.0,2.0,1.0,3.0,2.0,2.0,0.0,2.0,2.0,1669561440.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1669564576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcdsbzo,2.0,False,False,10448726,1670162400,differdange-fc-03-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,14.0,100,Ended,finished,Differdange FC 03,differdange-fc-03,Differdange 03,M,Football,football,1,1292,DIF,False,0,7605,LU,Luxembourg,[],#ff0000,#000000,#000000,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,2.0,2.0,2.0,0.0,2.0,3.0,3.0,1.0,2.0,3.0,1670166180.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1670169350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bzosXEp,1.0,False,False,10448463,1670770800,us-mondorf-les-bains-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,15.0,100,Ended,finished,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,US Mondorf-Les-Bains,us-mondorf-les-bains,Mondorf,M,Football,football,1,448,MLB,False,0,38997,LU,Luxembourg,[],#34b34c,#8cca85,#8cca85,4.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,1670777580.0,"['status.code', 'status.description', 'status.type', 'time.currentPeriodStart']",1670777593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bzosXEp,,False,False,11006179,1674309600,us-mondorf-les-bains-progres-niederkorn,True,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,60,Postponed,postponed,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,US Mondorf-Les-Bains,us-mondorf-les-bains,Mondorf,M,Football,football,1,448,MLB,False,0,38997,LU,Luxembourg,[],#34b34c,#8cca85,#8cca85,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1674315435,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hecsbzo,2.0,False,False,10448705,1676208600,f91-dudelange-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,16.0,100,Ended,finished,F91 Dudelange,f91-dudelange,Dudelange,M,Football,football,1,8273,F91,False,0,5207,LU,Luxembourg,[],#ffff00,#ffff00,#ffff00,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,1.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,1676212620.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1676215537,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhcsbzo,1.0,False,False,10448617,1676815200,un-kaerjeng-97-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,17.0,100,Ended,finished,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,Un Kaerjeng 97,un-kaerjeng-97,Kaerjeng,M,Football,football,1,503,K97,False,0,5384,LU,Luxembourg,[],#000066,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1676819100.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1676822187,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mhcsbzo,2.0,False,False,10448930,1677423600,victoria-rosport-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,18.0,100,Ended,finished,Victoria Rosport,victoria-rosport,Victoria Rosport,M,Football,football,1,642,VIC,False,0,5387,LU,Luxembourg,[],#ff0000,#ffffff,#ffffff,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,2.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,3.0,3.0,1677427560.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1677430857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phcsbzo,1.0,False,False,10448614,1678028400,fc-wiltz-71-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,19.0,100,Ended,finished,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,FC Wiltz 71,fc-wiltz-71,Wiltz,M,Football,football,1,495,W71,False,0,5390,LU,Luxembourg,[],#ff0000,#ffffff,#ffffff,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1678032420.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1678035460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ihcsbzo,2.0,False,False,10448448,1678633200,jeunesse-esch-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,20.0,100,Ended,finished,Jeunesse Esch,jeunesse-esch,Jeunesse,M,Football,football,1,659,ESA,False,0,5383,LU,Luxembourg,[],#ffffff,#000000,#000000,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1678637220.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1678640079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khcsbzo,3.0,False,False,10448806,1679238000,mondercange-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,21.0,100,Ended,finished,Mondercange,mondercange,Mondercange,M,Football,football,1,399,MON,False,0,5385,LU,Luxembourg,[],#ff0000,#000000,#000000,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1679241720.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1679245011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bzosnVo,1.0,False,False,10448524,1680112800,us-hostert-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,22.0,100,Ended,finished,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,US Hostert,us-hostert,Hostert,M,Football,football,1,434,HOS,False,0,37263,LU,Luxembourg,[],#009a00,#ffffff,#ffffff,6.0,6.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1680116880.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1680119832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lfcsbzo,2.0,False,False,10448515,1680444000,racing-fc-union-luxembourg-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,23.0,100,Ended,finished,Racing FC Union Luxembourg,racing-fc-union-luxembourg,Racing,M,Football,football,1,1029,UNI,False,0,5261,LU,Luxembourg,[],#8ad0ff,#ffffff,#ffffff,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1680447600.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680451116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bzosdCt,1.0,False,False,10448470,1680969600,una-strassen-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,24.0,100,Ended,finished,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,Una Strassen,una-strassen,Strassen,M,Football,football,1,484,UNA,False,0,46353,LU,Luxembourg,[],#ff0000,#0000ff,#0000ff,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1680973560.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1680976654,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Nhcsbzo,2.0,False,False,10902121,1681322400,rumelange-progres-niederkorn,False,Coupe de Luxembourg,coupe-de-luxembourg,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Coupe de Luxembourg,coupe-de-luxembourg,#101177,#ff0d0a,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,463,False,False,765,False,False,0,11819,5.0,110,AET,finished,Rumelange,rumelange,Rumelange,M,Football,football,1,164,RUM,False,0,5388,LU,Luxembourg,[],#000066,#ff0000,#ff0000,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,1681330680.0,"['status.code', 'status.description', 'status.type', 'homeScore.extra2', 'awayScore.extra2', 'awayScore.overtime']",1681331777,Round of 16,round-of-16,8.0,,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,
Dhcsbzo,2.0,False,False,10448467,1681653600,union-titus-petange-progres-niederkorn,False,Division Nationale,division-nationale,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,Division Nationale,division-nationale,#bfbfbd,#1b9972,Luxembourg,luxembourg,Football,football,1,197,luxembourg,LU,2147,False,True,690,False,False,0,1935,25.0,100,Ended,finished,Union Titus Petange,union-titus-petange,Petange,M,Football,football,1,740,UTP,False,0,5378,LU,Luxembourg,[],#ffffff,#0000ff,#0000ff,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,LU,Luxembourg,[],#eeee00,#eeee00,#eeee00,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1681657500.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1681661092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
