customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,homeRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,aggregatedWinnerCode,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,coverage
HPsWzo,1,True,True,True,1.0,False,10396353,1.0,1674922200,nk-lokomotiva-zagreb-gnk-dinamo-zagreb,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,19.0,100,Ended,finished,GNK Dinamo Zagreb,gnk-dinamo-zagreb,Dinamo,M,Football,football,1,122203,DIN,False,False,0,2032,HR,Croatia,[],#0b59a1,#ffffff,#ffffff,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1674929105.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1674929110,,,,,,,,,,,
PPsWzo,1,True,True,True,1.0,False,10396438,,1675519200,nk-lokomotiva-zagreb-nk-osijek,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,20.0,100,Ended,finished,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1675526041.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675526043,,,,,,,,,,,
EPsWzo,2,True,True,True,1.0,False,10396346,,1676210400,nk-lokomotiva-zagreb-hnk-sibenik,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,21.0,100,Ended,finished,HNK Šibenik,hnk-sibenik,Šibenik,M,Football,football,1,7650,SIB,False,False,0,2029,HR,Croatia,[],#fd6d19,#000080,#000080,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,1676217134.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676217138,,,,,,,,,,,
OPsWzo,2,True,True,True,1.0,False,10396373,,1676736600,nk-lokomotiva-zagreb-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,22.0,100,Ended,finished,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1676743492.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1676743496,,,,,,,,,,,
WzosrDr,1,True,True,True,1.0,False,10396434,,1677337200,hnk-gorica-nk-lokomotiva-zagreb,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,23.0,100,Ended,finished,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,HR,Croatia,[],#ff0000,#ffffff,#ffffff,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1677344578.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677344580,,,,,,,,,,,
HPsWzo,1,True,,,,False,11062481,,1677679200,nk-lokomotiva-zagreb-gnk-dinamo-zagreb,False,Croatia Cup,croatia-cup,Croatia,croatia,Football,football,1,14,croatia,HR,Croatian Cup,croatian-cup,#d9251d,#4087c7,Croatia,croatia,Football,football,1,14,croatia,HR,7602,False,False,307,False,False,0,170,27.0,110,AET,finished,GNK Dinamo Zagreb,gnk-dinamo-zagreb,Dinamo,M,Football,football,1,122203,DIN,False,False,0,2032,HR,Croatia,[],#0b59a1,#ffffff,#ffffff,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,1677687360.0,"['status.code', 'status.description', 'status.type', 'homeScore.extra2', 'homeScore.overtime', 'awayScore.extra2']",1677688323,1.0,Quarterfinal,quarterfinal,4.0,1.0,1.0,2.0,0.0,0.0,0.0,
LPsWzo,2,True,True,True,1.0,False,10396372,,1678024800,nk-lokomotiva-zagreb-hnk-hajduk-split,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,24.0,100,Ended,finished,HNK Hajduk Split,hnk-hajduk-split,Hajduk,M,Football,football,1,62457,HAJ,False,False,0,2036,HR,Croatia,[],#ffffff,#ffffff,#ffffff,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,3.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,5.0,3.0,1678031940.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678031943,,,,,,,,,,,
RPsWzo,1,True,True,True,1.0,False,10396408,,1678546800,nk-lokomotiva-zagreb-nk-slaven-belupo,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,25.0,100,Ended,finished,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,1678553592.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678553595,,,,,,,,,,,
EkksWzo,3,True,True,True,1.0,False,10396410,,1679234400,nk-lokomotiva-zagreb-nk-istra-1961,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,26.0,100,Ended,finished,NK Istra 1961,nk-istra-1961,Istra,M,Football,football,1,9068,IST,False,False,0,25529,HR,Croatia,[],#eee447,#222226,#222226,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1679241326.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1679241339,,,,,,,,,,,
vYsWzo,1,False,,,,False,11151178,,1679742000,nk-lokomotiva-zagreb-nk-maribor,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,NK Maribor,nk-maribor,Maribor,M,Football,football,1,19564,MAR,,False,0,2420,SI,Slovenia,[],#000099,#ffff00,#ffff00,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,5.0,5.0,0.0,5.0,5.0,2.0,2.0,2.0,0.0,2.0,,,1679748616.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679748619,,,,,,,,,,,
