customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,roundInfo.name,roundInfo.slug,awayRedCards,hasXg
cobsILo,1,True,True,True,6,False,10910842,1675038600,atletico-tucuman-boca-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,1,100,Ended,finished,Boca Juniors,boca-juniors,Boca Juniors,M,Football,football,1,94847,BOC,False,False,0,3202,AR,Argentina,[],#003399,#ffcc66,#ffcc66,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1675045756.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1675045759,,,,,
kobsILo,2,True,True,True,6,False,10981534,1675643400,atletico-tucuman-talleres,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,2,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,Talleres,talleres,Talleres,M,Football,football,1,17651,CAT,False,False,0,3210,AR,Argentina,[],#050040,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,7.0,1675650360.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675650363,,,,,
ILosMLo,3,True,True,True,6,False,10981531,1676153700,platense-atletico-tucuman,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,3,100,Ended,finished,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,1676160499.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676160501,1.0,,,,
ILosUIgc,0,False,False,False,6,False,10986097,1676494800,atletico-tucuman-estudiantes-de-rio-cuarto,False,Copa Argentina,copa-argentina,Argentina,argentina,Football,football,1,48,argentina,AR,Copa Argentina,copa-argentina,#187ec0,#44a4d8,Argentina,argentina,Football,football,1,48,argentina,AR,17272,False,False,1024,False,False,0,273,32,60,Postponed,postponed,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,Estudiantes de Río Cuarto,estudiantes-de-rio-cuarto,Estudiantes R.C.,M,Football,football,1,2707,RCU,False,False,0,266694,AR,Argentina,[],#00ccff,#00aeff,#00aeff,,,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1676346144,,Round of 64,round-of-64,,
iobsILo,3,True,True,True,6,False,10981536,1676939400,atletico-tucuman-velez-sarsfield,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,4,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,Football,football,1,17605,VEL,False,False,0,3208,AR,Argentina,[],#ffffff,#003366,#003366,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,1676946514.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676946516,1.0,,,,
ILosOLo,1,True,True,True,6,False,10981492,1677441600,defensa-y-justicia-atletico-tucuman,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,5,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1677448459.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677448460,,,,,
uobsILo,1,True,True,True,6,False,10981502,1677976200,atletico-tucuman-banfield,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,6,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,Banfield,banfield,Banfield,M,Football,football,1,10153,BAN,False,False,0,3219,AR,Argentina,[],#009900,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1677983451.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677983453,,,,,
MYbsILo,3,True,True,True,6,False,10981448,1678492800,instituto-cordoba-atletico-tucuman,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,7,100,Ended,finished,Instituto Córdoba,instituto-cordoba,Instituto,M,Football,football,1,7054,IAC,,False,0,4937,AR,Argentina,[],#e72328,#222226,#222226,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,1678499724.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678499726,1.0,,,,
ILostnB,3,True,True,True,6,False,10981523,1679185800,barracas-central-atletico-tucuman,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,8,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,Barracas Central,barracas-central,Barracas,M,Football,football,1,7154,BAR,,False,0,65668,AR,Argentina,[],#ffffff,#ff0000,#ff0000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1679192662.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1679192664,,,,,
hobsILo,3,True,True,True,6,False,10981442,1680472800,atletico-tucuman-colon,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,9,100,Ended,finished,Colón,colon,Colón,M,Football,football,1,10465,COL,False,False,0,3207,AR,Argentina,[],#000000,#cc0000,#cc0000,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1680479896.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680479900,,,,,
