customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,changes.changes,changes.changeTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,awayTeam.disabled,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,homeRedCards,roundInfo.name,roundInfo.slug,awayRedCards
iobsMLo,1,False,False,10957518,1672315200,platense-velez-sarsfield,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,1,100,Ended,finished,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,Football,football,1,17605,VEL,False,False,0,3208,AR,Argentina,[],#ffffff,#003366,#003366,Platense,platense,Platense,M,Football,football,1,9145,PLA,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime']",1672320710,,,,,,,,,,,,,
mobsMLo,3,True,False,10910840,1675022400,platense-newells-old-boys,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,1,100,Ended,finished,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,Newell's Old Boys,newells-old-boys,Newell's,M,Football,football,1,14796,NOB,False,0,3212,AR,Argentina,[],#ff0000,#000000,#000000,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675029531,True,True,6.0,AR,AR,False,4.0,5.0,1675029529.0,,,,
jobsMLo,2,True,False,10981537,1675627200,platense-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,2,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,Platense,platense,Platense,M,Football,football,1,9145,PLA,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675634391,True,True,6.0,AR,AR,,6.0,5.0,1675634387.0,1.0,,,
ILosMLo,3,True,False,10981531,1676153700,platense-atletico-tucuman,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,3,100,Ended,finished,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676160501,True,True,6.0,AR,AR,False,3.0,4.0,1676160499.0,1.0,,,
MLospUv,0,False,False,10986101,1676494800,defensores-de-belgrano-platense,False,Copa Argentina,copa-argentina,Argentina,argentina,Football,football,1,48,argentina,Copa Argentina,copa-argentina,#187ec0,#44a4d8,Argentina,argentina,Football,football,1,48,argentina,17272,1024,False,False,False,False,0,273,32,60,Postponed,postponed,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,Defensores de Belgrano,defensores-de-belgrano,Defensores,M,Football,football,1,3362,DDB,False,0,52215,AR,Argentina,[],#fa0001,#000000,#000000,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1676346146,False,False,6.0,AR,AR,,,,,,Round of 64,round-of-64,
cobsMLo,1,True,False,10981533,1676844900,platense-boca-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,4,100,Ended,finished,Boca Juniors,boca-juniors,Boca Juniors,M,Football,football,1,94847,BOC,False,False,0,3202,AR,Argentina,[],#003399,#ffcc66,#ffcc66,Platense,platense,Platense,M,Football,football,1,9145,PLA,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676851851,True,True,6.0,AR,AR,,3.0,3.0,1676851847.0,,,,
kobsMLo,2,True,False,10981495,1677363300,platense-talleres,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,5,100,Ended,finished,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,Talleres,talleres,Talleres,M,Football,football,1,17651,CAT,False,0,3210,AR,Argentina,[],#050040,#ffffff,#ffffff,2.0,2.0,0.0,2.0,2.0,4.0,4.0,3.0,1.0,4.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677370235,True,True,6.0,AR,AR,False,3.0,6.0,1677370233.0,,,,
MLosBnB,3,True,False,10981497,1677960000,central-cordoba-platense,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,6,100,Ended,finished,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,Central Córdoba,central-cordoba,Central Córdoba,M,Football,football,1,7712,CC,False,0,65676,AR,Argentina,[],#ffffff,#000000,#000000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1677966888,True,True,6.0,AR,AR,False,2.0,6.0,1677966885.0,,,,
iobsMLo,3,True,False,10981454,1678752000,platense-velez-sarsfield,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,7,100,Ended,finished,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,Football,football,1,17605,VEL,False,False,0,3208,AR,Argentina,[],#ffffff,#003366,#003366,Platense,platense,Platense,M,Football,football,1,9145,PLA,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678759031,True,True,6.0,AR,AR,,3.0,5.0,1678759030.0,,,,
MLosOLo,1,True,False,10981512,1679176800,defensa-y-justicia-platense,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,8,100,Ended,finished,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679183892,True,True,6.0,AR,AR,,3.0,8.0,1679183888.0,,,,
