customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayTeam.disabled,awayRedCards,homeRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType
jobsOLo,2,True,True,True,6,False,10981514,1676853000,defensa-y-justicia-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,4,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,AR,Argentina,[],#cc0000,#cc0000,#cc0000,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,0,0,0,0,0,2,2,2,0,2,2.0,5.0,1676859829,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676859831,,,,,,
ILosOLo,1,True,True,True,6,False,10981492,1677441600,defensa-y-justicia-atletico-tucuman,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,5,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,0,36833,AR,Argentina,[],#ffffff,#33ccff,#33ccff,3,3,3,0,3,0,0,0,0,0,5.0,3.0,1677448459,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677448460,False,,,,,
cobsOLo,3,True,True,True,6,False,10981500,1678147200,defensa-y-justicia-boca-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,6,100,Ended,finished,Boca Juniors,boca-juniors,Boca Juniors,M,Football,football,1,94847,BOC,False,False,0,3202,AR,Argentina,[],#003399,#ffcc66,#ffcc66,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,0,0,0,0,0,0,0,0,0,0,1.0,5.0,1678154184,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678154186,,,,,,
kobsOLo,3,True,True,True,6,False,10981453,1678572900,defensa-y-justicia-talleres,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,7,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Talleres,talleres,Talleres,M,Football,football,1,17651,CAT,False,0,3210,AR,Argentina,[],#050040,#ffffff,#ffffff,1,1,1,0,1,1,1,1,0,1,4.0,5.0,1678580076,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678580078,False,,,,,
MLosOLo,1,True,True,True,6,False,10981512,1679176800,defensa-y-justicia-platense,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,8,100,Ended,finished,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,AR,Argentina,[],#442b0b,#f2f2f2,#f2f2f2,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,1,1,1,0,1,0,0,0,0,0,3.0,8.0,1679183888,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679183892,,,,,,
iobsOLo,3,True,True,True,6,False,10981478,1680217200,defensa-y-justicia-velez-sarsfield,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,9,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,Football,football,1,17605,VEL,False,0,3208,AR,Argentina,[],#ffffff,#003366,#003366,0,0,0,0,0,0,0,0,0,0,1.0,4.0,1680223927,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680223929,False,1.0,,,,
rxcsOLo,1,True,True,True,1,False,11174271,1680660000,millonarios-defensa-y-justicia,False,"CONMEBOL Sudamericana, Group F",conmebol-sudamericana-group-f,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,401,91441,1,100,Ended,finished,Millonarios,millonarios,Millonarios,M,Football,football,1,27890,MIL,False,False,0,6117,CO,Colombia,[],#0000cc,#0000cc,#0000cc,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,3,3,0,3,3,0,0,0,0,0,3.0,5.0,1680666890,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680666892,,,,,,
OLosBnB,2,True,True,True,6,False,10981418,1680996600,central-cordoba-defensa-y-justicia,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,10,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Central Córdoba,central-cordoba,Central Córdoba,M,Football,football,1,7712,CC,False,0,65676,AR,Argentina,[],#ffffff,#000000,#000000,1,1,0,1,1,2,2,1,1,2,6.0,6.0,1681003965,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681003969,False,,1.0,,,
uobsOLo,2,True,True,True,6,False,10981415,1681259400,defensa-y-justicia-banfield,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,11,100,Ended,finished,Banfield,banfield,Banfield,M,Football,football,1,10153,BAN,False,False,0,3219,AR,Argentina,[],#009900,#ffffff,#ffffff,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,0,0,0,0,0,3,3,1,2,3,1.0,2.0,1681266078,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681266083,,,,,,
MYbsOLo,1,True,True,True,6,False,10981413,1681587000,instituto-cordoba-defensa-y-justicia,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,12,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Instituto Córdoba,instituto-cordoba,Instituto,M,Football,football,1,7054,IAC,False,0,4937,AR,Argentina,[],#e72328,#222226,#222226,1,1,0,1,1,0,0,0,0,0,3.0,9.0,1681594135,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681594138,,,,,,
yOsOLo,1,True,True,True,1,False,11174245,1681948800,defensa-y-justicia-america-mineiro,False,"CONMEBOL Sudamericana, Group F",conmebol-sudamericana-group-f,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,401,91441,2,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,2,2,0,2,2,1,1,0,1,1,2.0,7.0,1681955791,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681955795,False,,,,,
OLostnB,2,True,True,True,6,False,10981435,1682361000,barracas-central-defensa-y-justicia,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,13,100,Ended,finished,Barracas Central,barracas-central,Barracas,M,Football,football,1,7154,BAR,,False,0,65668,AR,Argentina,[],#ffffff,#ff0000,#ff0000,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,0,0,0,0,0,2,2,0,2,2,1.0,2.0,1682367741,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682367743,,,,,,
hobsOLo,1,True,True,True,6,False,10981379,1682879400,defensa-y-justicia-colon,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,14,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Colón,colon,Colón,M,Football,football,1,10465,COL,False,0,3207,AR,Argentina,[],#000000,#cc0000,#cc0000,2,2,1,1,2,0,0,0,0,0,2.0,5.0,1682886237,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1682886239,False,,,,,
CobsOLo,1,True,True,True,1,False,11174275,1683244800,defensa-y-justicia-penarol,False,"CONMEBOL Sudamericana, Group F",conmebol-sudamericana-group-f,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,401,91441,3,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Peñarol,penarol,Peñarol,M,Football,football,1,18999,PEN,False,0,3227,UY,Uruguay,[],#000000,#ffc400,#ffc400,4,4,2,2,4,1,1,0,1,1,3.0,2.0,1683251503,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683251506,False,,,,,
bobsOLo,3,True,True,True,6,False,10981707,1683576000,defensa-y-justicia-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,15,100,Ended,finished,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,0,0,0,0,0,0,0,0,0,0,1.0,3.0,1683582735,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683582736,,1.0,,,,
gobsOLo,3,True,True,True,6,False,10981710,1684083600,defensa-y-justicia-estudiantes-de-la-plata,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,16,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,1,1,1,0,1,1,1,1,0,1,3.0,4.0,1684090537,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1684090541,False,,1.0,,,
robsOLo,1,True,True,True,6,False,10981704,1684533600,defensa-y-justicia-rosario-central,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,17,100,Ended,finished,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,AR,Argentina,[],#000066,#ffcc00,#ffcc00,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,2,2,1,1,2,1,1,1,0,1,1.0,5.0,1684541053,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1684541056,,,,,,
yOsOLo,2,True,True,True,1,False,11174288,1684886400,defensa-y-justicia-america-mineiro,False,"CONMEBOL Sudamericana, Group F",conmebol-sudamericana-group-f,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,401,91441,4,100,Ended,finished,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,2,2,2,0,2,3,3,1,2,3,2.0,5.0,1684893199,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1684893204,,,,,,
pobsOLo,3,True,True,True,6,False,10981686,1685302200,defensa-y-justicia-racing-club,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,18,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Racing Club,racing-club,Racing,M,Football,football,1,31458,RAC,False,0,3215,AR,Argentina,[],#00ccff,#ffffff,#ffffff,1,1,1,0,1,1,1,0,1,1,2.0,5.0,1685309136,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1685309142,False,,1.0,,,
lobsOLo,1,True,True,False,1,False,10981676,1685820600,defensa-y-justicia-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,19,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,1,1,0,1,1,0,0,0,0,0,,,1687051702,"['status.code', 'status.description', 'status.type', 'homeScore.display', 'homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.display', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime']",1687052252,,,,,,
CobsOLo,2,True,True,True,1,False,11174302,1686088800,defensa-y-justicia-penarol,False,"CONMEBOL Sudamericana, Group F",conmebol-sudamericana-group-f,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,401,91441,5,100,Ended,finished,Peñarol,penarol,Peñarol,M,Football,football,1,18999,PEN,False,False,0,3227,UY,Uruguay,[],#000000,#ffc400,#ffc400,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,0,0,0,0,0,3,3,1,2,3,1.0,3.0,1686095757,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1686095760,,,,,,
dobsOLo,1,True,True,True,6,False,10981655,1686690000,defensa-y-justicia-belgrano,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,20,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,False,0,3203,AR,Argentina,[],#3399ff,#3399ff,#3399ff,2,2,1,1,2,0,0,0,0,0,1.0,4.0,1686696830,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1686696922,,,,,,
qobsOLo,1,True,True,True,6,False,10981633,1687566600,defensa-y-justicia-argentinos-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,62413,False,True,155,True,False,351,68,21,100,Ended,finished,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,AR,Argentina,[],#cc0000,#ffffff,#ffffff,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,3,3,1,2,3,1,1,0,1,1,1.0,4.0,1687573730,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1687573826,,,,,,
rxcsOLo,1,True,True,True,1,False,11174346,1688083200,millonarios-defensa-y-justicia,False,"CONMEBOL Sudamericana, Group F",conmebol-sudamericana-group-f,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,401,91441,6,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,Millonarios,millonarios,Millonarios,M,Football,football,1,27890,MIL,False,0,6117,CO,Colombia,[],#0000cc,#0000cc,#0000cc,3,3,2,1,3,1,1,1,0,1,2.0,5.0,1688089974,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688089976,False,,,,,
