customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.period2,awayScore.period2,homeScore.overtime,homeScore.penalties,awayScore.overtime,awayScore.penalties,time.injuryTime1,time.injuryTime3,time.injuryTime4,awayRedCards,homeRedCards,detailId,homeScore.extra1,homeScore.extra2,awayScore.extra1,awayScore.extra2,hasEventPlayerHeatMap,hasEventPlayerStatistics
KZmsdmp,1,-1.0,False,False,9338337,1614111000,switzerland-france,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,France,france,France,F,Football,football,1,21076,FRA,False,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,Switzerland,switzerland,Switzerland,F,Football,football,1,6194,SUI,False,True,0,38103,CH,Switzerland,[],#ff0000,#ffffff,#ffffff,2,2,0,2.0,0,0,0,0.0,3.0,1614117662,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1614117665,,,,,,,,,,,,,,,,,,,,,
cfdsdmp,3,-1.0,False,False,9437752,1617976800,czech-republic-switzerland,False,"Women's Euro, Qualification Playoff",womens-euro-qualification-playoff,Europe,europe,Football,football,1,1465,europe,"Women's Euro, Qualification",womens-euro-qualification,#432966,#00c7e8,Europe,europe,Football,football,1,1465,europe,4269,878,False,False,False,False,0,22804,1.0,100,Ended,finished,Czech Republic,czech-republic,Czech Republic,F,Football,football,1,1922,CZE,,True,0,7752,CZ,Czech Republic,[],#cc0000,#025095,#025095,Switzerland,switzerland,Switzerland,F,Football,football,1,6194,SUI,False,True,0,38103,CH,Switzerland,[],#ff0000,#ffffff,#ffffff,1,1,0,1.0,1,1,0,1.0,,1617980579,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1617983566,Final,final,1.0,1.0,1.0,,,,,,,,,,,,,,,,
cfdsdmp,1,-1.0,False,False,9450409,1618336800,czech-republic-switzerland,False,"Women's Euro, Qualification Playoff",womens-euro-qualification-playoff,Europe,europe,Football,football,1,1465,europe,"Women's Euro, Qualification",womens-euro-qualification,#432966,#00c7e8,Europe,europe,Football,football,1,1465,europe,4269,878,False,False,False,False,0,22804,1.0,120,AP,finished,Switzerland,switzerland,Switzerland,F,Football,football,1,6194,SUI,False,True,0,38103,CH,Switzerland,[],#ff0000,#ffffff,#ffffff,Czech Republic,czech-republic,Czech Republic,F,Football,football,1,1922,CZE,,True,0,7752,CZ,Czech Republic,[],#cc0000,#025095,#025095,4,1,0,1.0,3,1,0,1.0,3.0,1618346236,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.penalties', 'awayScore.display', 'awayScore.penalties']",1618346256,Final,final,1.0,,,0.0,3.0,0.0,2.0,1.0,1.0,1.0,,,,,,,,,
Wlpsdmp,1,-1.0,False,False,9786777,1631898000,switzerland-lithuania,False,"World Championship Qualification, Women, UEFA Group G",world-championship-qualification-women-uefa-group-g,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12685,1.0,100,Ended,finished,Switzerland,switzerland,Switzerland,F,Football,football,1,6194,SUI,False,True,0,38103,CH,Switzerland,[],#ff0000,#ffffff,#ffffff,Lithuania,lithuania,Lithuania,F,Football,football,1,375,LIT,,True,0,38096,LT,Lithuania,[],#fcd91e,#316b3e,#316b3e,4,4,2,4.0,1,1,0,1.0,,1631901720,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1631904685,,,,2.0,1.0,,,,,,,,,,,,,,,,
dmpsDqBb,2,-1.0,False,False,9786785,1632243600,switzerland-moldova,False,"World Championship Qualification, Women, UEFA Group G",world-championship-qualification-women-uefa-group-g,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12685,1.0,100,Ended,finished,Moldova,moldova,Moldova,F,Football,football,1,606,MDA,,True,0,190828,MD,Moldova,[],#000099,#ffbc00,#ffbc00,Switzerland,switzerland,Switzerland,F,Football,football,1,6194,SUI,False,True,0,38103,CH,Switzerland,[],#ff0000,#ffffff,#ffffff,0,0,0,0.0,6,6,4,6.0,6.0,1632250525,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1632250541,,,,,,,,,,2.0,,,,,,,,,,,
lcdsdmp,1,-1.0,False,False,9786622,1634922000,romania-switzerland,False,"World Championship Qualification, Women, UEFA Group G",world-championship-qualification-women-uefa-group-g,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12685,1.0,100,Ended,finished,Switzerland,switzerland,Switzerland,F,Football,football,1,6194,SUI,False,True,0,38103,CH,Switzerland,[],#ff0000,#ffffff,#ffffff,Romania,romania,Romania,F,Football,football,1,1580,ROU,,True,0,7611,RO,Romania,[],#f7bd00,#ff0000,#ff0000,2,2,0,2.0,0,0,0,0.0,,1634925635,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime2']",1634928566,,,,2.0,0.0,,,,,,,,,,,,,,,,
Jlpsdmp,1,-1.0,False,False,9786569,1635267600,switzerland-croatia,False,"World Championship Qualification, Women, UEFA Group G",world-championship-qualification-women-uefa-group-g,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12685,1.0,100,Ended,finished,Switzerland,switzerland,Switzerland,F,Football,football,1,6194,SUI,False,True,0,38103,CH,Switzerland,[],#ff0000,#ffffff,#ffffff,Croatia,croatia,Croatia,F,Football,football,1,1558,CRO,,True,0,38084,HR,Croatia,[],#ff0000,#ffffff,#ffffff,5,5,2,5.0,0,0,0,0.0,,1635271493,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1635274706,,,,3.0,0.0,,,,,,,,1.0,,,,,,,,
APisdmp,2,-1.0,False,False,9786646,1637944200,switzerland-italy,False,"World Championship Qualification, Women, UEFA Group G",world-championship-qualification-women-uefa-group-g,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12685,1.0,100,Ended,finished,Italy,italy,Italy,F,Football,football,1,17409,ITA,False,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,Switzerland,switzerland,Switzerland,F,Football,football,1,6194,SUI,False,True,0,38103,CH,Switzerland,[],#ff0000,#ffffff,#ffffff,1,1,0,1.0,2,2,2,2.0,,1637947920,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1637951036,,,,1.0,0.0,,,,,,,,,,,,,,,,
Wlpsdmp,2,-1.0,False,False,9786651,1638289800,switzerland-lithuania,False,"World Championship Qualification, Women, UEFA Group G",world-championship-qualification-women-uefa-group-g,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12685,1.0,100,Ended,finished,Lithuania,lithuania,Lithuania,F,Football,football,1,375,LIT,,True,0,38096,LT,Lithuania,[],#fcd91e,#316b3e,#316b3e,Switzerland,switzerland,Switzerland,F,Football,football,1,6194,SUI,False,True,0,38103,CH,Switzerland,[],#ff0000,#ffffff,#ffffff,0,0,0,0.0,7,7,6,7.0,,1638296251,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime2']",1638297249,,,,0.0,1.0,,,,,,,,,,,,,,,,
Zlpsdmp,3,-1.0,False,False,10122960,1645354800,switzerland-northern-ireland,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Switzerland,switzerland,Switzerland,F,Football,football,1,6194,SUI,False,True,0,38103,CH,Switzerland,[],#ff0000,#ffffff,#ffffff,Northern Ireland,northern-ireland,Northern Ireland,F,Football,football,1,1272,NIR,,True,0,38099,NX,Northern Ireland,[],#1c9239,#ffffff,#ffffff,2,2,0,2.0,2,2,1,2.0,,1645358460,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1645361989,,,,2.0,1.0,,,,,,,,,,,,,,,,
