customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayTeam.disabled,awayRedCards,homeTeam.disabled,roundInfo.name,roundInfo.slug,aggregatedWinnerCode,homeRedCards,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,coverage,hasEventPlayerStatistics,detailId,previousLegEventId,homeScore.aggregated,awayScore.aggregated
eedseqp,2,False,False,10611199,1662913800,marsaxlokk-fc-balzanc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,4.0,100,Ended,finished,Marsaxlokk FC,marsaxlokk-fc,Marsaxlokk,M,Football,football,1,758,MAR,False,0,7704,MT,Malta,[],#52b030,#52b030,#ffffff,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,5.0,1662920844.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1662920846,,,,,,,,,,,,,,,,,,,,,
Ggcseqp,2,False,False,10611210,1664723700,hibernians-balzanc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,5.0,100,Ended,finished,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,Hibernians,hibernians,Hibernians,M,Football,football,1,4184,HIB,False,0,5331,MT,Malta,[],#ffffff,#000000,#000000,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,5.0,1664730652.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1664730656,,,,,,,,,,,,,,,,,,,,,
Cwnseqp,2,False,False,10611208,1665328500,balzanc-pieta-hotspurs-fc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,6.0,100,Ended,finished,Pietà Hotspurs FC,pieta-hotspurs-fc,Pietà H,M,Football,football,1,999,PIE,False,0,33577,MT,Malta,[],#003399,#ffffff,#ffffff,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,2.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,5.0,1665335262.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1665335266,,,,,,,,,,,,,,,,,,,,,
eqpslqH,3,False,False,10611152,1665933300,sirens-fc-balzanc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,7.0,100,Ended,finished,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,Sirens FC,sirens-fc,Sirens,M,Football,football,1,1070,SIR,False,0,80811,MT,Malta,[],#0000ff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1665940101.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1665940102,,,,,,,,,,,,,,,,,,,,,
Jwnseqp,3,False,False,10611159,1666530000,balzanc-floriana-fc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,8.0,100,Ended,finished,Floriana FC,floriana-fc,Floriana,M,Football,football,1,2315,FLO,False,0,33584,MT,Malta,[],#009040,#ffffff,#ffffff,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1666536870.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1666536878,,,,,,,,,,,,,,,,,,,,,
Hgcseqp,2,False,False,10611182,1667048400,valletta-fc-balzanc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,9.0,100,Ended,finished,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,Valletta FC,valletta-fc,Valletta,M,Football,football,1,2338,VAL,False,0,5332,MT,Malta,[],#b81101,#222226,#222226,1.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,1667055086.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1667055089,False,,,,,,,,,,,,,,,,,,,,
Iwnseqp,1,False,False,10611166,1667748600,balzanc-hamrun-spartans-fc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,10.0,100,Ended,finished,Ħamrun Spartans FC,hamrun-spartans-fc,Ħamrun S.,M,Football,football,1,7324,SPA,False,0,33583,MT,Malta,[],#ff0000,#000000,#000000,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1667752500.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1667755457,,1.0,False,,,,,,,,,,,,,,,,,,
xwnseqp,2,False,False,10611193,1668344400,balzanc-mosta-fc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,11.0,100,Ended,finished,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,Mosta FC,mosta-fc,Mosta,M,Football,football,1,1171,MOS,False,0,33572,MT,Malta,[],#3760ba,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1668351033.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1668351037,,,,,,,,,,,,,,,,,,,,,
eqpsCqy,2,False,False,10877536,1670065200,gzira-united-fc-balzanc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,12.0,100,Ended,finished,Gżira United FC,gzira-united-fc,Gżira Utd,M,Football,football,1,4611,GZI,False,0,58327,MT,Malta,[],#b9172c,#255cda,#255cda,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,1670069040.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1670072188,,,False,,,,,,,,,,,,,,,,,,
Fgcseqp,1,False,False,10877542,1670673600,birkirkara-fc-balzanc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,13.0,100,Ended,finished,Birkirkara FC,birkirkara-fc,Birkirkara,M,Football,football,1,3284,BIR,False,0,5330,MT,Malta,[],#ff0000,#ffdd00,#ffdd00,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1670680406.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1670680408,,1.0,,,,,,,,,,,,,,,,,,,
