customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,homeTeam.disabled,awayRedCards,time.injuryTime1,time.injuryTime2,aggregatedWinnerCode,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,time.injuryTime4,hasEventPlayerStatistics,detailId,previousLegEventId,homeScore.aggregated,awayScore.aggregated
pYbswYb,2,False,False,10421273,1667050200,the-new-saints-haverfordwest-county-afc,False,Cymru Premier,cymru-premier,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,904,13,100,Ended,finished,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,The New Saints,the-new-saints,TNS,M,Football,football,1,24543,TNS,False,False,0,4921,WA,Wales,[],#ffffff,#41a317,#41a317,1.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,1667056854.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1667056860,,,,,,,,,,,,,,,,,,,,,,,
pYbsPQo,2,True,False,10421374,1667658600,haverfordwest-county-afc-flint-town-united,False,Cymru Premier,cymru-premier,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,904,14,100,Ended,finished,Flint Town United,flint-town-united,Flint Town Utd,M,Football,football,1,1531,FTU,False,0,37090,WA,Wales,[],#000000,#ffffff,#ffffff,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1667662320.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1667665328,1.0,False,,,,,,,,,,,,,,,,,,,,,
hYbspYb,2,True,False,10421290,1668868200,haverfordwest-county-afc-airbus-uk-broughton,False,Cymru Premier,cymru-premier,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,904,15,100,Ended,finished,Airbus UK Broughton,airbus-uk-broughton,Airbus UK,M,Football,football,1,2087,AUK,False,0,4907,WA,Wales,[],#0000ff,#ffffff,#ffffff,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,1668871980.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1668875125,,,,,,,,,,,,,,,,,,,,,,,
pYbsKdW,1,False,False,10421330,1670010300,haverfordwest-county-afc-penybont,False,Cymru Premier,cymru-premier,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,904,16,100,Ended,finished,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,Penybont,penybont,Penybont,M,Football,football,1,3178,PEN,,False,0,115185,WA,Wales,[],#00bfff,#1d2951,#1d2951,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1670014302.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1670017548,,,1.0,,,,,,,,,,,,,,,,,,,,
pYbstYb,1,False,False,10421320,1670769000,newtown-afc-haverfordwest-county-afc,False,Cymru Premier,cymru-premier,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,904,17,100,Ended,finished,Newtown AFC,newtown-afc,Newtown,M,Football,football,1,3197,NEW,False,0,4918,WA,Wales,[],#ff0000,#000000,#000000,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1670775883.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1670775886,,,,2.0,6.0,,,,,,,,,,,,,,,,,,
pYbsgRqb,1,True,False,10421285,1671219900,haverfordwest-county-afc-cardiff-met-fc,False,Cymru Premier,cymru-premier,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,904,18,100,Ended,finished,Cardiff Met FC,cardiff-met-fc,Cardiff Met,M,Football,football,1,1817,CMU,False,0,167106,WA,Wales,[],#8b0000,#ffffff,#ffffff,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1671227007.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1671227010,,,,2.0,3.0,,,,,,,,,,,,,,,,,,
fYbspYb,1,True,False,10421277,1671824700,haverfordwest-county-afc-aberystwyth-town,False,Cymru Premier,cymru-premier,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,904,19,100,Ended,finished,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,Aberystwyth Town,aberystwyth-town,Aberystwyth,M,Football,football,1,1736,ABE,,False,0,4905,WA,Wales,[],#ffffff,#008000,#008000,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1671828540.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1671831540,,,,,,,,,,,,,,,,,,,,,,,
pYbsMip,1,True,False,10421313,1672065000,haverfordwest-county-afc-pontypridd-united,False,Cymru Premier,cymru-premier,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,904,20,100,Ended,finished,Pontypridd United,pontypridd-united,Pontypridd United,M,Football,football,1,894,PPT,False,0,37937,WA,Wales,[],#ffffff,#000000,#000000,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1672069006.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1672072076,,False,,,,,,,,,,,,,,,,,,,,,
pYbsMip,3,True,False,10421332,1672497000,haverfordwest-county-afc-pontypridd-united,False,Cymru Premier,cymru-premier,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,904,21,100,Ended,finished,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,Pontypridd United,pontypridd-united,Pontypridd United,M,Football,football,1,894,PPT,False,False,0,37937,WA,Wales,[],#ffffff,#000000,#000000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1672500840.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1672503813,,,,,,,,,,,,,,,,,,,,,,,
mYbspYb,0,False,False,10421360,1673101800,haverfordwest-county-afc-connahs-quay-nomads,False,Cymru Premier,cymru-premier,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,904,22,60,Postponed,postponed,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,Connah's Quay Nomads,connahs-quay-nomads,Connah's Quay,M,Football,football,1,8339,CQN,False,False,0,4912,WA,Wales,[],#ff0000,#ffffff,#ffffff,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1672693364,,,,,,,,,,,,,,,,,,,,,,,
