customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,changes.changes,changes.changeTimestamp,aggregatedWinnerCode,detailId,awayRedCards,roundInfo.name,roundInfo.slug,homeTeam.disabled,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,roundInfo.cupRoundType,homeRedCards,previousLegEventId,homeScore.aggregated,awayScore.aggregated,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap
cJustGJc,2,False,False,10917792,1676588400,cuiaba-nova-mutum,False,Mato-Grossense,mato-grossense,Brazil,brazil,Football,football,1,13,brazil,BR,Mato-Grossense,mato-grossense,#0b4c7a,#eea722,Brazil,brazil,Football,football,1,13,brazil,BR,1455,11670,False,False,False,False,0,58900,7,100,Ended,finished,Nova Mutum,nova-mutum,Nova Mutum,M,Football,football,1,751,NOV,False,0,336568,BR,Brazil,[],#000066,#ffffff,#ffffff,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,['cardsCode'],1676621624,,,,,,,,,,,,,,,,,
cJusDfL,1,False,False,11056143,1677103200,sao-raimundo-rr-cuiaba,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,1,100,Ended,finished,São Raimundo-RR,sao-raimundo-rr,São Raimundo-RR,M,Football,football,1,1526,SAO,False,0,90278,BR,Brazil,[],#0000ff,#ffffff,#ffffff,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,4.0,4.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,3.0,['cardsCode'],1677112867,1.0,6.0,1.0,Round 1,round-1,False,3.0,6.0,1677110273.0,,,,,,,,
ldqscJu,1,False,False,10917803,1677445200,cuiaba-luverdense,False,Mato-Grossense,mato-grossense,Brazil,brazil,Football,football,1,13,brazil,BR,Mato-Grossense,mato-grossense,#0b4c7a,#eea722,Brazil,brazil,Football,football,1,13,brazil,BR,1455,11670,False,False,False,False,0,58900,8,100,Ended,finished,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,Luverdense,luverdense,Luverdense,M,Football,football,1,948,LUV,,False,0,40161,BR,Brazil,[],#ffffff,#024c29,#024c29,5.0,5.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,['cardsCode'],1677487716,,,,,,False,,,,,,,,,,,
EfoscJu,1,False,False,11074773,1677711600,cuiaba-ceilandia,False,Copa Verde,copa-verde,Brazil,brazil,Football,football,1,13,brazil,BR,Copa Verde,copa-verde,#259844,#004b22,Brazil,brazil,Football,football,1,13,brazil,BR,3369,10158,False,False,False,False,0,42474,2,100,Ended,finished,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,Ceilândia,ceilandia,Ceilândia,M,Football,football,1,1675,CEC,False,False,0,35279,BR,Brazil,[],#ffffff,#020202,#020202,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1677718294,1.0,,,Round 2,round-2,False,,,1677715440.0,,,,,,,,
cJusyAId,2,False,False,10917817,1677958200,cuiaba-cacerense,False,Mato-Grossense,mato-grossense,Brazil,brazil,Football,football,1,13,brazil,BR,Mato-Grossense,mato-grossense,#0b4c7a,#eea722,Brazil,brazil,Football,football,1,13,brazil,BR,1455,11670,False,False,False,False,0,58900,9,100,Ended,finished,Cacerense,cacerense,Cacerense,M,Football,football,1,140,CAC,False,0,458773,BR,Brazil,[],#52b030,#52b030,#ffffff,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,['cardsCode'],1677967479,,,,,,False,,,1677962280.0,,,,,,,,
wPscJu,2,False,False,11106620,1678919400,cuiaba-vila-nova,False,Copa Verde,copa-verde,Brazil,brazil,Football,football,1,13,brazil,BR,Copa Verde,copa-verde,#259844,#004b22,Brazil,brazil,Football,football,1,13,brazil,BR,3369,10158,False,False,False,False,0,42474,27,100,Ended,finished,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1678926417,,,,Quarterfinal,quarterfinal,False,,,1678923300.0,4.0,,,,,,,
ldqscJu,3,False,False,11135729,1679167800,cuiaba-luverdense,False,"Mato-Grossense, Playoffs",mato-grossense-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Mato-Grossense,mato-grossense,#0b4c7a,#eea722,Brazil,brazil,Football,football,1,13,brazil,BR,1455,11670,False,False,False,False,0,71903,28,100,Ended,finished,Luverdense,luverdense,Luverdense,M,Football,football,1,948,LUV,False,0,40161,BR,Brazil,[],#ffffff,#024c29,#024c29,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1679175077,,,1.0,Semifinal,semifinal,,,,1679171700.0,2.0,,,,,,,
wPscJu,3,False,False,11108542,1679526000,cuiaba-vila-nova,False,Copa Verde,copa-verde,Brazil,brazil,Football,football,1,13,brazil,BR,Copa Verde,copa-verde,#259844,#004b22,Brazil,brazil,Football,football,1,13,brazil,BR,3369,10158,False,False,False,False,0,42474,27,100,Ended,finished,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1679533373,1.0,,1.0,Quarterfinal,quarterfinal,False,,,1679530140.0,4.0,1.0,11106620.0,3.0,1.0,,,
kOscJu,1,False,False,11156196,1679868000,cuiaba-goias,False,Copa Verde,copa-verde,Brazil,brazil,Football,football,1,13,brazil,BR,Copa Verde,copa-verde,#259844,#004b22,Brazil,brazil,Football,football,1,13,brazil,BR,3369,10158,False,False,False,False,0,42474,28,100,Ended,finished,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,['cardsCode'],1679898914,,,,Semifinal,semifinal,False,,,,2.0,,,,,,,
kOscJu,1,False,False,11156223,1680127200,cuiaba-goias,False,Copa Verde,copa-verde,Brazil,brazil,Football,football,1,13,brazil,BR,Copa Verde,copa-verde,#259844,#004b22,Brazil,brazil,Football,football,1,13,brazil,BR,3369,10158,False,False,False,False,0,42474,28,100,Ended,finished,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,"['cardsCode', 'cardsCode']",1680160437,1.0,,1.0,Semifinal,semifinal,False,,,,2.0,,11156196.0,2.0,1.0,,,
