customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeTeam.disabled,time.injuryTime1,time.injuryTime2,homeRedCards,coverage,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,aggregatedWinnerCode,previousLegEventId,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,homeScore.aggregated,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,awayScore.aggregated,awayRedCards
fhcsJgL,3,False,False,10163218,1662818400,maktaaral-fk-aktobe,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,19.0,100,Ended,finished,Maktaaral,maktaaral,Maktaaral,M,Football,football,1,1275,MAK,False,0,90334,KZ,Kazakhstan,[],#e60026,#091f92,#091f92,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1662822420.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1662825531,,,,,,,,,,,,,,,,,,,,,
fhcslhc,1,True,False,10163224,1663167600,taraz-fk-aktobe,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,20.0,100,Ended,finished,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,Taraz,taraz,Taraz,M,Football,football,1,1551,TAR,,False,0,5361,KZ,Kazakhstan,[],#ffffff,#0076c1,#0076c1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1663171444.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1663174550,False,,,,,,,,,,,,,,,,,,,,
fhcsFIo,1,True,False,10163237,1664708400,fk-aktobe-akzhayik-uralsk,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,21.0,100,Ended,finished,Akzhayik Uralsk,akzhayik-uralsk,Akzhayik,M,Football,football,1,2609,AKU,False,0,36680,KZ,Kazakhstan,[],#ba4260,#ffffff,#ffffff,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,3.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1664715487.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1664715490,,4.0,,,,,,,,,,,,,,,,,,,
fhcsNIo,1,False,False,10163239,1665223200,fk-aktobe-caspiy-aktau,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,22.0,100,Ended,finished,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,Caspiy Aktau,caspiy-aktau,Caspiy,M,Football,football,1,1725,KAS,False,False,0,36688,KZ,Kazakhstan,[],#fff83b,#0087d1,#0087d1,4.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1665230197.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1665230199,False,3.0,5.0,,,,,,,,,,,,,,,,,,
fhcsmhc,1,True,False,10163250,1665824400,fc-tobol-fk-aktobe,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,23.0,100,Ended,finished,FC Tobol,fc-tobol,Tobol,M,Football,football,1,6219,TOB,False,0,5362,KZ,Kazakhstan,[],#ffff00,#000000,#000000,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1665831286.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1665831289,False,,,,,,,,,,,,,,,,,,,,
fhcsIyBc,1,False,False,10163257,1666616400,fk-aktobe-fc-turan,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,24.0,100,Ended,finished,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,FC Turan,fc-turan,Turan,M,Football,football,1,2997,TUR,False,False,0,316183,KZ,Kazakhstan,[],#ffffff,#4675a0,#4675a0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1666623229.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1666623232,False,4.0,3.0,1.0,,,,,,,,,,,,,,,,,
fhcsqhc,3,False,False,10163259,1667048400,fc-ordabasy-fk-aktobe,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,25.0,100,Ended,finished,FC Ordabasy,fc-ordabasy,Ordabasy,M,Football,football,1,5171,ORD,False,0,5366,KZ,Kazakhstan,[],#ffffff,#2049b7,#2049b7,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1667055090.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1667055095,False,2.0,5.0,,,,,,,,,,,,,,,,,,
xdcsfhc,1,False,False,10163270,1667725200,fk-aktobe-kairat-almaty,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,26.0,100,Ended,finished,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,Kairat Almaty,kairat-almaty,Kairat,M,Football,football,1,6932,ALM,,False,0,5172,KZ,Kazakhstan,[],#000000,#ffeb3b,#ffeb3b,4.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1667732401.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1667732404,False,7.0,4.0,,,,,,,,,,,,,,,,,,
fhcszdd,3,False,False,11015835,1674736200,fk-napredak-krusevac-fk-aktobe,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,FK Napredak Kruševac,fk-napredak-krusevac,Napredak,M,Football,football,1,2952,NAP,False,False,0,7674,RS,Serbia,[],#be1e2d,#d3b653,#d3b653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674740040.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1674742782,False,,,,,,,,,,,,,,,,,,,,
PWsfhc,2,False,False,11064943,1676536200,fk-aktobe-ska-khabarovsk,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,SKA-Khabarovsk,ska-khabarovsk,SKA,M,Football,football,1,1545,SKA,,False,0,2340,RU,Russia,[],#cc0000,#c0c0c0,#c0c0c0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1676539980.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1676542865,False,,,,-1.0,,,,,,,,,,,,,,,,
