customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,homeRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,isAwarded,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeTeam.disabled,time.injuryTime1,coverage,awayTeam.disabled,aggregatedWinnerCode,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,hasEventPlayerStatistics,detailId,previousLegEventId,homeScore.aggregated,awayScore.aggregated
nicstMPb,3,False,False,10515647,1.0,1667736000,kf-shkendija-akademija-pandev,False,1. MFL,1-mfl,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,1. MFL,1-mfl,#fab92e,#d85252,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,1592,False,False,199,False,False,0,1950,14.0,100,Ended,finished,KF Shkëndija,kf-shkendija,Shkëndija,M,Football,football,1,4503,SHK,False,0,5413,MK,North Macedonia,[],#ff0000,#000000,#000000,Akademija Pandev,akademija-pandev,Akademija Pandev,M,Football,football,1,1350,AKP,False,0,226868,MK,North Macedonia,[],#ffffff,#1c39bb,#1c39bb,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1667742902.0,['cardsCode'],1667749452,,,,,,,,,,,,,,,,,,,,,,
nicsYFeb,2,False,False,10842387,,1667995200,kf-shkendija-kf-shkupi,False,North Macedonia Cup,north-macedonia-cup,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,North Macedonia Cup,north-macedonia-cup,#f8b727,#d33b2a,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,426,False,False,348,False,False,0,1238,27.0,90,Abandoned,canceled,KF Shkupi,kf-shkupi,Shkupi,M,Football,football,1,5101,SHK,False,0,136548,MK,North Macedonia,[],#0247fe,#ffffff,#ffffff,KF Shkëndija,kf-shkendija,Shkëndija,M,Football,football,1,4503,SHK,False,0,5413,MK,North Macedonia,[],#ff0000,#000000,#000000,0.0,0.0,,,,1.0,3.0,,,,,1667997480.0,['awayScore.current'],1671538648,True,Quarterfinal,quarterfinal,4.0,,,,,,,,,,,,,,,,,,
nicswHdc,1,False,False,10515653,,1668254400,kf-shkendija-fc-struga-trim-and-lum,False,1. MFL,1-mfl,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,1. MFL,1-mfl,#fab92e,#d85252,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,1592,False,False,199,False,False,0,1950,15.0,100,Ended,finished,FC Struga Trim & Lum,fc-struga-trim-and-lum,Struga T&L,M,Football,football,1,3347,STL,False,0,259121,MK,North Macedonia,[],#ff0000,#282146,#282146,KF Shkëndija,kf-shkendija,Shkëndija,M,Football,football,1,4503,SHK,False,0,5413,MK,North Macedonia,[],#ff0000,#000000,#000000,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1668261553.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1668261557,,,,,False,3.0,,,,,,,,,,,,,,,,
nicsBwr,3,False,False,10515659,,1669550400,kf-shkendija-tikves-kavadarci,False,1. MFL,1-mfl,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,1. MFL,1-mfl,#fab92e,#d85252,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,1592,False,False,199,False,False,0,1950,16.0,100,Ended,finished,KF Shkëndija,kf-shkendija,Shkëndija,M,Football,football,1,4503,SHK,False,0,5413,MK,North Macedonia,[],#ff0000,#000000,#000000,Tikveš Kavadarci,tikves-kavadarci,Tikveš,M,Football,football,1,488,GFK,False,0,43576,MK,North Macedonia,[],#ffffff,#ff0000,#ff0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1669557334.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1669557337,,,,,,1.0,,,,,,,,,,,,,,,,
nicsQBw,2,False,False,10515661,,1670155200,kf-shkendija-makedonija-gjorce-petrov,False,1. MFL,1-mfl,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,1. MFL,1-mfl,#fab92e,#d85252,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,1592,False,False,199,False,False,0,1950,17.0,100,Ended,finished,Makedonija Gjorce Petrov,makedonija-gjorce-petrov,G. Petrov,M,Football,football,1,1265,MGP,False,0,53841,MK,North Macedonia,[],#ff0000,#ffff00,#ffff00,KF Shkëndija,kf-shkendija,Shkëndija,M,Football,football,1,4503,SHK,False,0,5413,MK,North Macedonia,[],#ff0000,#000000,#000000,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,,1670158920.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1670161965,,,,,,,,,,,,,,,,,,,,,,
micsnic,0,False,False,10515671,,1670760000,kf-shkendija-fk-renova,False,1. MFL,1-mfl,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,1. MFL,1-mfl,#fab92e,#d85252,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,1592,False,False,199,False,False,0,1950,18.0,70,Canceled,canceled,KF Shkëndija,kf-shkendija,Shkëndija,M,Football,football,1,4503,SHK,False,0,5413,MK,North Macedonia,[],#ff0000,#000000,#000000,FK Renova,fk-renova,Renova,M,Football,football,1,272,REN,False,0,5412,MK,North Macedonia,[],#ff0000,#094ca1,#094ca1,,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1661256299,,,,,,,,,,,,,,,,,,,,,,
nicsaEfd,3,False,False,11003090,,1674133200,kf-shkendija-voska-sport,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,Voska Sport,voska-sport,Voska Sport,M,Football,football,1,749,VOS,False,0,388950,MK,North Macedonia,[],#52b030,#52b030,#ffffff,KF Shkëndija,kf-shkendija,Shkëndija,M,Football,football,1,4503,SHK,False,0,5413,MK,North Macedonia,[],#ff0000,#000000,#000000,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,1674136680.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1674139466,,,,,,,-1.0,,,,,,,,,,,,,,,
nicsFQac,2,False,False,11030556,,1675166400,kf-shkendija-fc-cska-1948-sofia,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,KF Shkëndija,kf-shkendija,Shkëndija,M,Football,football,1,4503,SHK,False,0,5413,MK,North Macedonia,[],#ff0000,#000000,#000000,FC CSKA 1948 Sofia,fc-cska-1948-sofia,CSKA 1948 Sofia,M,Football,football,1,10828,CSK,False,0,252080,BG,Bulgaria,[],#ff0000,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,,1675170180.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1675172925,,,,,,,-1.0,False,,,,,,,,,,,,,,
fqbsnic,1,True,False,11043156,,1675692000,kf-shkendija-dynamo-kyiv,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,Dynamo Kyiv,dynamo-kyiv,Dynamo Kyiv,M,Football,football,1,43180,DYK,False,0,3305,UA,Ukraine,[],#ffffff,#0071bc,#0071bc,KF Shkëndija,kf-shkendija,Shkëndija,M,Football,football,1,4503,SHK,False,0,5413,MK,North Macedonia,[],#ff0000,#000000,#000000,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1675698744.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675698747,,,,,False,,,,,,,,,,,,,,,,,
nicsYFeb,1,False,False,10515677,,1676811600,kf-shkendija-kf-shkupi,False,1. MFL,1-mfl,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,1. MFL,1-mfl,#fab92e,#d85252,North Macedonia,north-macedonia,Football,football,1,159,macedonia,MK,1592,False,False,199,False,False,0,1950,19.0,100,Ended,finished,KF Shkupi,kf-shkupi,Shkupi,M,Football,football,1,5101,SHK,False,0,136548,MK,North Macedonia,[],#0247fe,#ffffff,#ffffff,KF Shkëndija,kf-shkendija,Shkëndija,M,Football,football,1,4503,SHK,False,0,5413,MK,North Macedonia,[],#ff0000,#000000,#000000,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1676818740.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676818743,,,,,,3.0,,,,,,,,,,,,,,,,
