customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeTeam.disabled,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,awayTeam.disabled,awayRedCards,aggregatedWinnerCode,homeScore.penalties,awayScore.penalties,hasEventPlayerStatistics,detailId,previousLegEventId,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.aggregated,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.aggregated
uicspMo,2,False,False,10125588,1668160800,fc-torpedo-kutaisi-fc-gagra,False,Erovnuli Liga,erovnuli-liga,Georgia,georgia,Football,football,1,270,georgia,GE,Erovnuli Liga,erovnuli-liga,#2b388e,#1a286b,Georgia,georgia,Football,football,1,270,georgia,GE,3012,False,False,704,False,False,0,3012,34.0,100,Ended,finished,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,False,0,5419,GE,Georgia,[],#ffffff,#000000,#000000,FC Gagra,fc-gagra,FC Gagra,M,Football,football,1,1803,GAG,False,0,36865,GE,Georgia,[],#000020,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,7.0,1668167862.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1668167865,,,,,,,,,,,,,,,,,,,,
uicsjuc,1,False,False,10125598,1669455000,sioni-bolnisi-fc-torpedo-kutaisi,False,Erovnuli Liga,erovnuli-liga,Georgia,georgia,Football,football,1,270,georgia,GE,Erovnuli Liga,erovnuli-liga,#2b388e,#1a286b,Georgia,georgia,Football,football,1,270,georgia,GE,3012,False,False,704,False,False,0,3012,35.0,100,Ended,finished,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,False,0,5419,GE,Georgia,[],#ffffff,#000000,#000000,Sioni Bolnisi,sioni-bolnisi,Sioni Bolnisi,M,Football,football,1,2231,BOL,False,0,5959,GE,Georgia,[],#0000ff,#ffffff,#ffffff,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1669461484.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1669461486,,,,,,,,,,,,,,,,,,,,
uicsXVo,3,False,False,10125601,1670059800,fc-torpedo-kutaisi-dinamo-batumi,False,Erovnuli Liga,erovnuli-liga,Georgia,georgia,Football,football,1,270,georgia,GE,Erovnuli Liga,erovnuli-liga,#2b388e,#1a286b,Georgia,georgia,Football,football,1,270,georgia,GE,3012,False,False,704,False,False,0,3012,36.0,100,Ended,finished,Dinamo Batumi,dinamo-batumi,Dinamo Batumi,M,Football,football,1,11192,BAT,False,0,37297,GE,Georgia,[],#0000ff,#ffffff,#ffffff,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,False,0,5419,GE,Georgia,[],#ffffff,#000000,#000000,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,1670066786.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1670066790,False,,,,,,,,,,,,,,,,,,,
uicsurtd,1,False,False,10857525,1670425200,fc-torpedo-kutaisi-lokomotivi-tbilisi-ii,False,Cup,cup,Georgia,georgia,Football,football,1,270,georgia,GE,Georgian Cup,georgian-cup,#27844d,#31a660,Georgia,georgia,Football,football,1,270,georgia,GE,395,False,False,729,False,False,0,6067,1.0,100,Ended,finished,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,False,0,5419,GE,Georgia,[],#ffffff,#000000,#000000,Lokomotivi Tbilisi II,lokomotivi-tbilisi-ii,Lokomotivi II,M,Football,football,1,150,LOC,False,0,420869,GE,Georgia,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,1670428920.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1670432053,,Final,final,1.0,False,,,,,,,,,,,,,,,
oqbsuic,3,False,False,11037196,1675429200,fc-torpedo-kutaisi-fc-metalist-kharkiv,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,FC Metalist Kharkiv,fc-metalist-kharkiv,Metalist,M,Football,football,1,3187,MET,False,0,3314,UA,Ukraine,[],#ffcc00,#ffcc33,#ffcc33,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,False,0,5419,GE,Georgia,[],#ffffff,#000000,#000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1675433040.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1675435841,False,,,,,,,,,,,,,,,,,,,
uicstXob,1,False,False,11044864,1675692000,fc-torpedo-kutaisi-riga-fc,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,Riga FC,riga-fc,Riga,M,Football,football,1,17223,RFC,False,0,162368,LV,Latvia,[],#002b5b,#ffffff,#ffffff,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,False,0,5419,GE,Georgia,[],#ffffff,#000000,#000000,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,1675692360.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1675695317,,,,,,,,,,,,,,,,,,,,
uicsmBW,3,False,False,11035205,1677416400,fc-torpedo-kutaisi-saburtalo-tbilisi,False,Erovnuli Liga,erovnuli-liga,Georgia,georgia,Football,football,1,270,georgia,GE,Erovnuli Liga,erovnuli-liga,#2b388e,#1a286b,Georgia,georgia,Football,football,1,270,georgia,GE,3012,False,False,704,False,False,0,3012,1.0,100,Ended,finished,Saburtalo Tbilisi,saburtalo-tbilisi,Saburtalo,M,Football,football,1,3747,SAT,False,0,116312,GE,Georgia,[],#b61b21,#ffffff,#ffffff,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,False,0,5419,GE,Georgia,[],#ffffff,#000000,#000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1677423330.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677423332,,,,,,,,,,,,,,,,,,,,
uicsuBn,3,False,False,11035216,1677929400,fc-torpedo-kutaisi-fc-dila-gori,False,Erovnuli Liga,erovnuli-liga,Georgia,georgia,Football,football,1,270,georgia,GE,Erovnuli Liga,erovnuli-liga,#2b388e,#1a286b,Georgia,georgia,Football,football,1,270,georgia,GE,3012,False,False,704,False,False,0,3012,2.0,100,Ended,finished,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,False,0,5419,GE,Georgia,[],#ffffff,#000000,#000000,FC Dila Gori,fc-dila-gori,FC Dila,M,Football,football,1,2896,GOR,False,0,33819,GE,Georgia,[],#990000,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1677933360.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1677936354,,,,,False,,,,,,,,,,,,,,,
uicsqMo,2,False,False,11035241,1678275000,fc-torpedo-kutaisi-fc-samtredia,False,Erovnuli Liga,erovnuli-liga,Georgia,georgia,Football,football,1,270,georgia,GE,Erovnuli Liga,erovnuli-liga,#2b388e,#1a286b,Georgia,georgia,Football,football,1,270,georgia,GE,3012,False,False,704,False,False,0,3012,3.0,100,Ended,finished,FC Samtredia,fc-samtredia,Samtredia,M,Football,football,1,1128,SAM,False,0,36866,GE,Georgia,[],#0021af,#0021af,#0021af,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,False,0,5419,GE,Georgia,[],#ffffff,#000000,#000000,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1678281672.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678281674,,,,,,,,,,,,,,,,,,,,
uicspMo,1,False,False,11035259,1678620600,fc-torpedo-kutaisi-fc-gagra,False,Erovnuli Liga,erovnuli-liga,Georgia,georgia,Football,football,1,270,georgia,GE,Erovnuli Liga,erovnuli-liga,#2b388e,#1a286b,Georgia,georgia,Football,football,1,270,georgia,GE,3012,False,False,704,False,False,0,3012,4.0,100,Ended,finished,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,False,0,5419,GE,Georgia,[],#ffffff,#000000,#000000,FC Gagra,fc-gagra,FC Gagra,M,Football,football,1,1803,GAG,False,0,36865,GE,Georgia,[],#000020,#ffffff,#ffffff,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1678627459.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678627468,,,,,,,,,,,,,,,,,,,,
