customId,winnerCode,aggregatedWinnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,roundInfo.cupRoundType,previousLegEventId,homeScore.penalties,homeScore.aggregated,awayScore.penalties,awayScore.aggregated,homeRedCards,hasXg
BtcskFn,2,2.0,True,True,True,1,False,11055706,1677711600,gremio-campinense,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,1,Round 1,round-1,100,Ended,finished,Campinense,campinense,Campinense,M,Football,football,1,3079,CAM,False,False,0,34010,BR,Brazil,[],#ff3232,#222226,#222226,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1677718285.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677718286,,,,,,,,,
qOsBtc,1,,True,False,,4,False,10912647,1678057200,gremio-internacional,False,Gaúcho,gaucho,Brazil,brazil,Football,football,1,13,brazil,BR,Gaúcho,gaucho,#2c9248,#e5c438,Brazil,brazil,Football,football,1,13,brazil,BR,12415,377,False,False,False,False,0,57347,10,,,100,Ended,finished,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,1678064251.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678064252,,,,,,,,,
Btcsqfn,3,,False,False,,4,False,10912653,1678563000,gremio-ypiranga,False,Gaúcho,gaucho,Brazil,brazil,Football,football,1,13,brazil,BR,Gaúcho,gaucho,#2c9248,#e5c438,Brazil,brazil,Football,football,1,13,brazil,BR,12415,377,False,False,False,False,0,57347,11,,,100,Ended,finished,Ypiranga,ypiranga,Ypiranga,M,Football,football,1,6020,YRS,False,False,0,32766,BR,Brazil,[],#008827,#ffe000,#ffe000,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1678570348.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678570350,1.0,,,,,,,,
Btcsxdn,1,,True,True,True,1,False,11103583,1679007600,gremio-ferroviario,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,2,Round 2,round-2,100,Ended,finished,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,Ferroviário,ferroviario,Ferroviário,M,Football,football,1,5502,FER,False,False,0,32672,BR,Brazil,[],#ff0000,#ffffff,#ffffff,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,,1679014576.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1679014578,,,,,,,,,
Btcsqfn,1,,False,False,,4,False,11127580,1679252400,gremio-ypiranga,False,"Gaucho, Playoffs",gaucho-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Gaúcho,gaucho,#2c9248,#e5c438,Brazil,brazil,Football,football,1,13,brazil,BR,12415,377,False,False,False,False,0,58699,28,Semifinal,semifinal,100,Ended,finished,Ypiranga,ypiranga,Ypiranga,M,Football,football,1,6020,YRS,False,False,0,32766,BR,Brazil,[],#008827,#ffe000,#ffe000,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,9.0,8.0,1679260106.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679260110,1.0,2.0,,,,,,,
Btcsqfn,1,1.0,False,False,,4,False,11127581,1679772600,gremio-ypiranga,False,"Gaucho, Playoffs",gaucho-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Gaúcho,gaucho,#2c9248,#e5c438,Brazil,brazil,Football,football,1,13,brazil,BR,12415,377,False,False,False,False,0,58699,28,Semifinal,semifinal,120,AP,finished,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,Ypiranga,ypiranga,Ypiranga,M,Football,football,1,6020,YRS,False,False,0,32766,BR,Brazil,[],#008827,#ffe000,#ffe000,7.0,2.0,0.0,2.0,2.0,5.0,1.0,0.0,1.0,1.0,4.0,5.0,1679780950.0,"['homeScore.current', 'homeScore.penalties']",1679781017,,2.0,11127580.0,5.0,3.0,4.0,3.0,,
aPsBtc,3,,False,True,True,1,False,11161468,1680377400,gremio-caxias,False,"Gaucho, Playoffs",gaucho-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Gaúcho,gaucho,#2c9248,#e5c438,Brazil,brazil,Football,football,1,13,brazil,BR,12415,377,False,False,False,False,0,58699,29,Final,final,100,Ended,finished,Caxias,caxias,Caxias,M,Football,football,1,3612,CAX,,False,0,2000,BR,Brazil,[],#5d001e,#f2f2f2,#f2f2f2,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,7.0,1680384497.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680384499,,1.0,,,,,,1.0,
aPsBtc,1,1.0,False,True,True,1,False,11161469,1680982200,gremio-caxias,False,"Gaucho, Playoffs",gaucho-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Gaúcho,gaucho,#2c9248,#e5c438,Brazil,brazil,Football,football,1,13,brazil,BR,12415,377,False,False,False,False,0,58699,29,Final,final,100,Ended,finished,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,Caxias,caxias,Caxias,M,Football,football,1,3612,CAX,,False,0,2000,BR,Brazil,[],#5d001e,#f2f2f2,#f2f2f2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,1680989569.0,['cardsCode'],1680989668,1.0,1.0,11161468.0,,2.0,,1.0,1.0,
BtcsNLi,2,,True,True,True,1,False,11177665,1681432200,gremio-abc,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,Round 3,round-3,100,Ended,finished,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,False,0,21838,BR,Brazil,[],#f6f4fa,#f6f4fa,#f6f4fa,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,5.0,1681439511.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681439512,,,,,,,,,
tOsBtc,1,,True,True,True,1,False,11067271,1681680600,gremio-santos,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,1,,,100,Ended,finished,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1681687907.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681687909,1.0,,,,,,,,True
