customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,hasXg,aggregatedWinnerCode,previousLegEventId,homeScore.aggregated,awayScore.aggregated,homeRedCards
lOsGuc,1,True,True,True,1,False,11152460,1.0,1680391800,flamengo-fluminense,False,"Carioca, Serie A, Playoffs",carioca-serie-a-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Carioca,carioca,#140533,#6c31e3,Brazil,brazil,Football,football,1,13,brazil,BR,30059,92,False,False,False,False,0,57960,29,Final,final,1.0,100,Ended,finished,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,Fluminense,fluminense,Fluminense,M,Football,football,1,93910,FLU,False,False,0,1961,BR,Brazil,[],#660000,#006633,#006633,2,2,0,2,2,0,0,0,0,0,1.0,7.0,1680399105,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680399108,,,,,,
ZecsGuc,1,True,True,True,1,False,11173659,,1680732000,flamengo-aucas,False,"CONMEBOL Libertadores, Group A",conmebol-libertadores-group-a,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,384,True,False,False,False,539,2928,1,,,,100,Ended,finished,Aucas,aucas,Aucas,M,Football,football,1,8391,SDA,False,False,0,5249,EC,Ecuador,[],#d4252a,#ffdd00,#ffdd00,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,2,2,0,2,2,1,1,1,0,1,2.0,6.0,1680738831,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680738835,True,,,,,
lOsGuc,1,True,True,True,1,False,11145575,,1681074000,flamengo-fluminense,False,"Carioca, Serie A, Playoffs",carioca-serie-a-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Carioca,carioca,#140533,#6c31e3,Brazil,brazil,Football,football,1,13,brazil,BR,30059,92,False,False,False,False,0,57960,29,Final,final,1.0,100,Ended,finished,Fluminense,fluminense,Fluminense,M,Football,football,1,93910,FLU,False,False,0,1961,BR,Brazil,[],#660000,#006633,#006633,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,4,4,2,2,4,1,1,0,1,1,4.0,7.0,1681081385,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681081387,,1.0,11152460.0,4.0,3.0,
Gucszgeb,1,False,True,True,1,False,11177684,,1681426800,flamengo-maringa,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,Maringá,maringa,Maringá,M,Football,football,1,3407,MA,False,False,0,135324,BR,Brazil,[],#000000,#00802d,#00802d,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,2,2,1,1,2,0,0,0,0,0,,,1681433975,"['time.injuryTime1', 'time.injuryTime2']",1681470939,,,,,,
HOsGuc,1,True,True,True,1,False,11067264,,1681671600,flamengo-coritiba,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,1,,,,100,Ended,finished,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,Coritiba,coritiba,Coritiba,M,Football,football,1,32452,COR,False,False,0,1982,BR,Brazil,[],#ffffff,#009966,#009966,3,3,1,2,3,0,0,0,0,0,3.0,7.0,1681678615,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'status.code', 'status.description', 'status.type', 'time.currentPeriodStart']",1681678625,True,,,,,
GucsEPc,1,True,True,True,1,False,11173658,,1681950600,nublense-flamengo,False,"CONMEBOL Libertadores, Group A",conmebol-libertadores-group-a,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,384,True,False,False,False,539,2928,2,,,,100,Ended,finished,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,Ñublense,nublense,Ñublense,M,Football,football,1,11017,NUB,False,False,0,7029,CL,Chile,[],#ff0000,#000000,#000000,2,2,2,0,2,0,0,0,0,0,2.0,5.0,1681957389,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681957390,True,,,,,
qOsGuc,1,True,True,True,1,False,11067302,,1682258400,flamengo-internacional,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,2,,,,100,Ended,finished,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,2,2,0,2,2,1,1,0,1,1,4.0,9.0,1682265871,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682265875,True,,,,,
Gucszgeb,1,True,True,True,1,False,11177668,,1682555400,flamengo-maringa,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,Maringá,maringa,Maringá,M,Football,football,1,3407,MA,False,False,0,135324,BR,Brazil,[],#000000,#00802d,#00802d,8,8,4,4,8,2,2,1,1,2,5.0,4.0,1682562327,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682562328,,1.0,11177684.0,8.0,4.0,
iOsGuc,2,True,True,True,1,False,11067315,1.0,1682881200,flamengo-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,3,,,,100,Ended,finished,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,2,2,0,2,2,3,3,2,1,3,5.0,11.0,1682888638,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682888641,True,,,,,
pobsGuc,3,True,True,True,1,False,11173660,1.0,1683237600,flamengo-racing-club,False,"CONMEBOL Libertadores, Group A",conmebol-libertadores-group-a,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,384,True,False,False,False,539,2928,3,,,,100,Ended,finished,Racing Club,racing-club,Racing,M,Football,football,1,31458,RAC,False,False,0,3215,AR,Argentina,[],#00ccff,#ffffff,#ffffff,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,1,1,0,1,1,1,1,1,0,1,3.0,5.0,1683244562,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683244565,True,,,,,1.0
