customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayTeam.country.alpha2,awayTeam.country.name,homeScore.period2,awayScore.period2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,roundInfo.round,awayTeam.disabled,homeScore.penalties,awayScore.penalties,homeRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,detailId,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,hasEventPlayerStatistics,hasEventPlayerHeatMap
LgBsYuuc,1,-1.0,False,False,9166172,1.0,1605187800,south-africa-malawi,False,"COSAFA Cup, Women",cosafa-cup-women,Africa,africa,Football,football,1,1466,africa,0,68775,100,Ended,finished,South Africa,south-africa,South Africa,F,Football,football,1,5968,RSA,False,True,0,65336,ZA,South Africa,[],#ffd800,#008040,#008040,Malawi,malawi,Malawi,F,Football,football,1,279,MAL,True,0,298498,[],#ff0000,#5abb5f,#5abb5f,6,6,0.0,6,2,2,0.0,2,4.0,4.0,1605194701.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1605194714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LgBsXuuc,1,,False,False,9169896,,1605360600,south-africa-botswana,False,"COSAFA Cup, Women",cosafa-cup-women,Africa,africa,Football,football,1,1466,africa,0,68775,100,Ended,finished,South Africa,south-africa,South Africa,F,Football,football,1,5968,RSA,False,True,0,65336,ZA,South Africa,[],#ffd800,#008040,#008040,Botswana,botswana,Botswana,F,Football,football,1,649,BOT,True,0,298497,[],#00a2e8,#ffffff,#ffffff,2,2,1.0,2,1,1,0.0,1,,,1605364500.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1605367483,BW,Botswana,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LgBsXuuc,1,-1.0,False,False,9465054,,1618318800,south-africa-botswana,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,0,1039,100,Ended,finished,South Africa,south-africa,South Africa,F,Football,football,1,5968,RSA,False,True,0,65336,ZA,South Africa,[],#ffd800,#008040,#008040,Botswana,botswana,Botswana,F,Football,football,1,649,BOT,True,0,298497,[],#00a2e8,#ffffff,#ffffff,2,2,0.0,2,0,0,0.0,0,,,1618322940.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1618325756,BW,Botswana,2.0,0.0,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,1.0,,,,,,,,,,,,,,,,
rYcsLgB,1,-1.0,False,False,9806503,,1631890800,ghana-south-africa,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,0,1039,100,Ended,finished,South Africa,south-africa,South Africa,F,Football,football,1,5968,RSA,False,True,0,65336,ZA,South Africa,[],#ffd800,#008040,#008040,Ghana,ghana,Ghana,F,Football,football,1,1206,GHA,True,0,7417,[],#ff0000,#ffff00,#ffff00,3,3,1.0,3,0,0,0.0,0,,4.0,1631897686.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1631897696,GH,Ghana,,,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,1.0,,,,,,,,,,,,,,,,
vYcsLgB,2,-1.0,False,False,9812892,,1632236400,nigeria-south-africa,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,0,1039,100,Ended,finished,Nigeria,nigeria,Nigeria,F,Football,football,1,11308,NGR,False,True,0,7420,NG,Nigeria,[],#39b54a,#ffffff,#ffffff,South Africa,south-africa,South Africa,F,Football,football,1,5968,RSA,True,0,65336,[],#ffd800,#008040,#008040,2,2,0.0,2,4,4,3.0,4,,,1632243208.0,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1']",1632243461,ZA,South Africa,2.0,1.0,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,1.0,False,,,,,,,,,,,,,,,
LgBsYuuc,1,,False,False,9843706,,1632835800,south-africa-malawi,False,"COSAFA Cup, Women",cosafa-cup-women,Africa,africa,Football,football,1,1466,africa,0,68775,100,Ended,finished,South Africa,south-africa,South Africa,F,Football,football,1,5968,RSA,False,True,0,65336,ZA,South Africa,[],#ffd800,#008040,#008040,Malawi,malawi,Malawi,F,Football,football,1,279,MAL,True,0,298498,[],#ff0000,#5abb5f,#5abb5f,2,2,2.0,2,1,1,0.0,1,,,1632839580.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1632842478,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LgBsdYEc,3,-1.0,False,False,9846180,,1633095000,south-africa-angola,False,"COSAFA Cup, Women",cosafa-cup-women,Africa,africa,Football,football,1,1466,africa,0,68775,100,Ended,finished,South Africa,south-africa,South Africa,F,Football,football,1,5968,RSA,False,True,0,65336,ZA,South Africa,[],#ffd800,#008040,#008040,Angola,angola,Angola,,Football,football,1,126,ANG,True,0,324903,[],#ff0000,#ffff00,#ffff00,0,0,0.0,0,0,0,0.0,0,2.0,3.0,1633101584.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1633101759,AO,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LgBsWidb,1,-1.0,False,False,9850787,,1633354200,south-africa-mozambique,False,"COSAFA Cup, Women",cosafa-cup-women,Africa,africa,Football,football,1,1466,africa,0,68775,100,Ended,finished,South Africa,south-africa,South Africa,F,Football,football,1,5968,RSA,False,True,0,65336,ZA,South Africa,[],#ffd800,#008040,#008040,Mozambique,mozambique,Mozambique,F,Football,football,1,138,MOZ,True,0,132946,[],#ff0000,#ffff00,#ffff00,3,3,1.0,3,1,1,0.0,1,,,1633360823.0,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1', 'time.injuryTime2']",1633361165,MZ,Mozambique,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LgBsYuuc,2,-1.0,False,False,9866012,,1633613400,south-africa-malawi,False,"COSAFA Cup, Women",cosafa-cup-women,Africa,africa,Football,football,1,1466,africa,0,68775,100,Ended,finished,South Africa,south-africa,South Africa,F,Football,football,1,5968,RSA,False,True,0,65336,ZA,South Africa,[],#ffd800,#008040,#008040,Malawi,malawi,Malawi,F,Football,football,1,279,MAL,True,0,298498,[],#ff0000,#5abb5f,#5abb5f,2,2,1.0,2,3,3,1.0,3,,,1633617158.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1633620213,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LgBsbxpc,1,-1.0,False,False,9869801,,1633773600,south-africa-zambia,False,"COSAFA Cup, Women",cosafa-cup-women,Africa,africa,Football,football,1,1466,africa,0,68775,120,AP,finished,Zambia,zambia,Zambia,F,Football,football,1,8938,ZAM,False,True,0,288601,ZM,Zambia,[],#088754,#ff6000,#ff6000,South Africa,south-africa,South Africa,F,Football,football,1,5968,RSA,True,0,65336,[],#ffd800,#008040,#008040,5,1,1.0,1,4,1,0.0,1,,,1633780942.0,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1', 'time.injuryTime2']",1633781153,ZA,South Africa,0.0,1.0,,,,,,,,,,,,,,,,,,,False,4.0,3.0,,,,,,,,,,,,,
