customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,roundInfo.round,time.injuryTime1,time.injuryTime2,awayRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,detailId,homeScore.penalties,awayScore.penalties,hasEventPlayerStatistics,hasEventPlayerHeatMap
jYcsGHt,3.0,-1.0,True,False,8497808,1573565400,argentina-colombia,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,Colombia,colombia,Colombia,F,Football,football,1,9074,COL,False,True,0,46631,CO,Colombia,[],#ffd808,#000066,#000066,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1573570140.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1573573184,,,,,,,,,,,,
jYcslYc,1.0,-1.0,True,False,9314999,1613682000,brazil-argentina,False,"SheBelieves Cup, Women",shebelieves-cup-women,World,world,Football,football,1,1468,international,SheBelieves Cup,shebelieves-cup,#19213f,#c62437,World,world,Football,football,1,1468,international,1627,3076,True,False,False,False,0,51305,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,4.0,4.0,1.0,,4.0,1.0,1.0,0.0,,1.0,1613696167.0,['cardsCode'],1613723258,1.0,,,,,,,,,,,
jYcsmYc,2.0,-1.0,False,False,9314998,1613948400,canada-argentina,False,"SheBelieves Cup, Women",shebelieves-cup-women,World,world,Football,football,1,1468,international,SheBelieves Cup,shebelieves-cup,#19213f,#c62437,World,world,Football,football,1,1468,international,1627,3076,True,False,False,False,0,51305,100,Ended,finished,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,1.0,1613961067.0,['cardsCode'],1613980888,2.0,,,,,,,,,,,
jYcszYc,1.0,-1.0,True,False,9351144,1614211200,usa-argentina,False,"SheBelieves Cup, Women",shebelieves-cup-women,World,world,Football,football,1,1468,international,SheBelieves Cup,shebelieves-cup,#19213f,#c62437,World,world,Football,football,1,1468,international,1627,3076,True,False,False,False,0,51305,100,Ended,finished,USA,usa,USA,F,Football,football,1,15327,USA,False,True,0,7424,US,USA,[],#ffffff,#ff0000,#ff0000,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,6.0,6.0,4.0,,6.0,0.0,0.0,0.0,,0.0,1614217853.0,['cardsCode'],1614240420,3.0,,,,,,,,,,,
jYcslYc,1.0,-1.0,True,False,9796247,1631905200,brazil-argentina,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,3.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1631912057.0,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1', 'time.injuryTime2']",1631912624,1.0,,,,,,,,,,,
jYcslYc,1.0,-1.0,True,False,9798517,1632164400,brazil-argentina,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,4.0,4.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,1632171371.0,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1', 'time.injuryTime2']",1632171472,1.0,,,,,,,,,,,
jYcsrgo,1.0,-1.0,True,False,9896500,1635022800,argentina-mexico,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Mexico,mexico,Mexico,F,Football,football,1,3610,MEX,,True,0,35317,MX,Mexico,[],#1a4d3e,#960000,#960000,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,6.0,6.0,2.0,,6.0,1.0,1.0,1.0,,1.0,1635029673.0,['cardsCode'],1635030031,1.0,4.0,3.0,,,,,,,,,
jYcsBayb,3.0,-1.0,False,False,9976294,1638043200,argentina-ecuador,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Ecuador,ecuador,Ecuador,F,Football,football,1,1311,ECU,,True,0,182526,EC,Ecuador,[],#ffff00,#000063,#000063,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1638050040.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1638050061,1.0,,,,,,,,,,,
jYcsBayb,3.0,-1.0,True,False,9976293,1638302400,argentina-ecuador,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Ecuador,ecuador,Ecuador,F,Football,football,1,1311,ECU,,True,0,182526,EC,Ecuador,[],#ffff00,#000063,#000063,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1638306480.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1638309462,1.0,,,,,,,,,,,
jYcsGHt,3.0,-1.0,False,False,10140113,1645394400,argentina-colombia,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Colombia,colombia,Colombia,F,Football,football,1,9074,COL,False,True,0,46631,CO,Colombia,[],#ffd808,#000066,#000066,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,2.0,2.0,0.0,,2.0,2.0,2.0,1.0,,2.0,1645401370.0,['cardsCode'],1645402822,1.0,,4.0,,,,,,,,,
