customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,homeScore.period2,awayScore.period2,detailId,homeRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,hasEventPlayerStatistics,hasEventPlayerHeatMap,aggregatedWinnerCode,homeScore.penalties,awayScore.penalties
kYcslYc,3,-1.0,True,False,9896806,1635239100,brazil-australia,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Australia,australia,Australia,F,Football,football,1,5938,AUS,False,True,0,7410,AU,Australia,[],#ffcc00,#2d324b,#2d324b,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,2,2,1,2,2,2,0,2,1.0,5.0,1635245815.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1635245824,,,,,,,,,,,,,
lYcsNidb,1,-1.0,True,False,9976146,1637888400,brazil-india,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,India,india,India,F,Football,football,1,653,IND,,True,0,132938,IN,India,[],#00b8ff,#ff4500,#ff4500,6,6,2,6,1,1,1,1,2.0,4.0,1637895370.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1637895372,,,,,,,,,,,,,
lYcsEucc,1,-1.0,True,False,9974749,1638144000,brazil-venezuela,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Venezuela,venezuela,Venezuela,F,Football,football,1,2328,VEN,,True,0,255979,VE,Venezuela,[],#aa0f39,#ffffff,#ffffff,4,4,4,4,1,1,1,1,3.0,5.0,1638150834.0,['cardsCode'],1638151244,,,,,,,,,,,,,
lYcsGKu,1,-1.0,True,False,9976152,1638403200,brazil-chile,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Chile,chile,Chile,F,Football,football,1,3720,CHI,,True,0,49281,CL,Chile,[],#ff0000,#3300cc,#3300cc,2,2,0,2,0,0,0,0,2.0,5.0,1638409994.0,['cardsCode'],1638411606,,,,,,,,,,,,,
lYcsJZm,3,-1.0,True,False,10082247,1645034400,brazil-netherlands,False,"Tournoi de France, Women",tournoi-de-france-women,World,world,Football,football,1,1468,international,"Tournoi de France, Women",tournoi-de-france-women,#0261b3,#e30918,World,world,Football,football,1,1468,international,1381,14661,False,False,False,False,0,78095,1.0,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,False,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,1,1,0,1,1,1,0,1,,,1645041120.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1645041167,1.0,1.0,1.0,,,,,,,,,,
lYcsKZm,1,-1.0,False,False,10082202,1645301400,brazil-france,False,"Tournoi de France, Women",tournoi-de-france-women,World,world,Football,football,1,1468,international,"Tournoi de France, Women",tournoi-de-france-women,#0261b3,#e30918,World,world,Football,football,1,1468,international,1381,14661,False,False,False,False,0,78095,2.0,100,Ended,finished,France,france,France,F,Football,football,1,21076,FRA,False,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,2,2,1,2,1,1,1,1,,,1645305000.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1645307989,,1.0,0.0,,,,,,,,,,
lYcscLi,3,-1.0,False,False,10082234,1645551000,brazil-finland,False,"Tournoi de France, Women",tournoi-de-france-women,World,world,Football,football,1,1468,international,"Tournoi de France, Women",tournoi-de-france-women,#0261b3,#e30918,World,world,Football,football,1,1468,international,1381,14661,False,False,False,False,0,78095,3.0,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Finland,finland,Finland,F,Football,football,1,2018,FIN,False,True,0,21802,FI,Finland,[],#ffffff,#0066b3,#0066b3,0,0,0,0,0,0,0,0,,,1645554840.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1645557828,,0.0,0.0,,,,,,,,,,
lYcswXo,3,-1.0,False,False,10233020,1649354400,brazil-spain,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Spain,spain,Spain,F,Football,football,1,16409,ESP,False,True,0,37371,ES,Spain,[],#cc0000,#ffffff,#ffffff,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,1,1,1,1,1,1,1,1,,,1649361389.0,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1', 'time.injuryTime2']",1649361468,,0.0,0.0,,,,,,,,,,
lYcsPlp,1,-1.0,False,False,10233102,1649701800,brazil-hungary,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Hungary,hungary,Hungary,F,Football,football,1,1549,HUN,,True,0,38090,HU,Hungary,[],#c61e29,#ffffff,#ffffff,3,3,1,3,1,1,0,1,3.0,3.0,1649708471.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1649708481,,,,,,,,,,,,,
lYcsoYc,1,-1.0,True,False,10355742,1656090000,denmark-brazil,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,2,2,1,2,1,1,0,1,1.0,5.0,1656096863.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1656096870,,,,1.0,,,,,,,,,
