customId,winnerCode,coverage,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,time.injuryTime1,time.injuryTime2,time.injuryTime3,time.injuryTime4,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,homeRedCards
lYcsmYc,1,2.0,True,True,True,1.0,False,9678771,1627632000,canada-brazil,False,"Olympic Games Women, Final round",olympic-games-women-final-round,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,312,2383,3.0,Quarterfinals,quarterfinals,4.0,120,AP,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,4,0,0,0.0,0,0.0,0.0,0.0,4.0,3,0,0,0.0,0,0.0,0.0,0.0,3.0,5.0,4.0,2.0,3.0,1627640547.0,"['time.injuryTime1', 'time.injuryTime2', 'time.injuryTime3', 'time.injuryTime4']",1679570003,,
mYcszYc,2,2.0,True,True,True,1.0,False,9687935,1627891200,usa-canada,False,"Olympic Games Women, Final round",olympic-games-women-final-round,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,312,2383,2.0,Semifinals,semifinals,2.0,100,Ended,finished,USA,usa,USA,F,Football,football,1,15327,USA,False,True,0,7424,US,USA,[],#ffffff,#ff0000,#ff0000,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,0,0,0,0.0,0,,,,,1,1,0,1.0,1,,,,,6.0,4.0,,,1627895232.0,"['homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1679384250,,
mYcsyYc,2,2.0,True,True,True,1.0,False,9693967,1628251200,sweden-canada,False,"Olympic Games Women, Final round",olympic-games-women-final-round,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,312,2383,1.0,Final,final,1.0,120,AP,finished,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,3,1,1,0.0,1,0.0,0.0,0.0,2.0,4,1,0,1.0,1,0.0,0.0,0.0,3.0,,4.0,1.0,1.0,1628259255.0,"['homeScore.display', 'awayScore.display']",1679558751,,
mYcsuYc,1,-1.0,True,,,,False,9896790,1635016500,new-zealand-canada,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,5,5,2,3.0,5,,,,,1,1,0,1.0,1,,,,,,,,,1635020400.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1635023128,,
mYcsuYc,1,-1.0,True,,,,False,9896789,1635291000,new-zealand-canada,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,1,1,1,,1,,,,,0,0,0,,0,,,,,,,,,1635298963.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1635298973,,
mYcsrgo,1,-1.0,True,,,,False,9978076,1638032400,canada-mexico,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Mexico,mexico,Mexico,F,Football,football,1,3610,MEX,,True,0,35317,MX,Mexico,[],#1a4d3e,#960000,#960000,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,2,2,1,1.0,2,,,,,1,1,0,1.0,1,,,,,,,,,1638036420.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'awayScore.current', 'awayScore.display']",1638039640,,
mYcsrgo,3,-1.0,True,,,,False,9978077,1638311400,canada-mexico,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Mexico,mexico,Mexico,F,Football,football,1,3610,MEX,,True,0,35317,MX,Mexico,[],#1a4d3e,#960000,#960000,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,0,0,0,0.0,0,,,,,0,0,0,0.0,0,,,,,,,,,1638318351.0,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime2']",1638350133,,
mYcspYc,3,-1.0,False,,,,False,10083542,1645126200,england-canada,False,"Arnold Clark Cup, Women",arnold-clark-cup-women,World,world,Football,football,1,1468,international,"Arnold Clark Cup, Women",arnold-clark-cup-women,#2d3738,#b9b71a,World,world,Football,football,1,1468,international,1142,18502,False,False,False,False,0,98102,1.0,,,,100,Ended,finished,England,england,England,F,Football,football,1,21565,ENG,False,True,0,7415,EN,England,[],#ffffff,#cc0000,#cc0000,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,1,1,1,0.0,1,,,,,1,1,0,1.0,1,,,,,,,,,1645129860.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1645132919,,
mYcsREj,1,-1.0,False,,,,False,10083544,1645388100,canada-germany,False,"Arnold Clark Cup, Women",arnold-clark-cup-women,World,world,Football,football,1,1468,international,"Arnold Clark Cup, Women",arnold-clark-cup-women,#2d3738,#b9b71a,World,world,Football,football,1,1468,international,1142,18502,False,False,False,False,0,98102,2.0,,,,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Germany,germany,Germany,F,Football,football,1,19388,GER,False,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,1,1,1,0.0,1,,,,,0,0,0,0.0,0,,,,,,,,,1645394859.0,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1', 'time.injuryTime2', 'status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645394996,,
mYcswXo,1,-1.0,False,,,,False,10083545,1645626600,canada-spain,False,"Arnold Clark Cup, Women",arnold-clark-cup-women,World,world,Football,football,1,1468,international,"Arnold Clark Cup, Women",arnold-clark-cup-women,#2d3738,#b9b71a,World,world,Football,football,1,1468,international,1142,18502,False,False,False,False,0,98102,3.0,,,,100,Ended,finished,Spain,spain,Spain,F,Football,football,1,16409,ESP,False,True,0,37371,ES,Spain,[],#cc0000,#ffffff,#ffffff,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,1,1,1,,1,,,,,0,0,0,,0,,,,,,6.0,,,1645633399.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645633476,,
