customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeScore.penalties,awayScore.penalties,homeScore.period2,awayScore.period2,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,homeRedCards,time.injuryTime3,time.injuryTime4
nYcsuYc,1,-1.0,False,False,8488428,1573126500,new-zealand-china,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,0,1039,1.0,100,Ended,finished,China,china,China,F,Football,football,1,3122,CHN,False,True,0,7413,CN,China,[],#ff0000,#fff100,#fff100,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1573133450.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1573133457,,,,,,,,,,,,,,,,,,,
lYcsnYc,1,-1.0,False,False,8496255,1573385700,china-brazil,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,0,1039,,120,AP,finished,China,china,China,F,Football,football,1,3122,CHN,False,True,0,7413,CN,China,[],#ff0000,#fff100,#fff100,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,1573385700.0,"['status.code', 'status.description', 'homeScore.current', 'homeScore.penalties', 'awayScore.current', 'awayScore.penalties']",1573543965,4.0,2.0,,,,,,,,,,,,,,,,,
nYcsxNi,3,-1.0,True,False,8488276,1575962100,china-south-korea,False,"East Asian Championship, Women",east-asian-championship-women,Asia,asia,Football,football,1,1467,asia,"East Asian Championship, Women",east-asian-championship-women,#1e4559,#7bacc4,Asia,asia,Football,football,1.0,1467.0,asia,559.0,404.0,False,False,False,False,0,7581,1.0,100,Ended,finished,South Korea,south-korea,South Korea,F,Football,football,1,3594,KOR,False,True,0,21922,KR,South Korea,[],#ff0000,#0000ff,#0000ff,China,china,China,F,Football,football,1,3122,CHN,False,True,0,7413,CN,China,[],#ff0000,#fff100,#fff100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1575968841.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1575968849,,,,,,,,,,,,,,,,,,,
nYcstYc,2,-1.0,True,False,8488278,1576306500,japan-china,False,"East Asian Championship, Women",east-asian-championship-women,Asia,asia,Football,football,1,1467,asia,"East Asian Championship, Women",east-asian-championship-women,#1e4559,#7bacc4,Asia,asia,Football,football,1.0,1467.0,asia,559.0,404.0,False,False,False,False,0,7581,2.0,100,Ended,finished,China,china,China,F,Football,football,1,3122,CHN,False,True,0,7413,CN,China,[],#ff0000,#fff100,#fff100,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,1.0,3.0,1576313194.0,['cardsCode'],1576318891,,,,,,,,,,,,,,,,,,,
nYcsPZp,2,-1.0,True,False,8488281,1576566900,china-chinese-taipei,False,"East Asian Championship, Women",east-asian-championship-women,Asia,asia,Football,football,1,1467,asia,"East Asian Championship, Women",east-asian-championship-women,#1e4559,#7bacc4,Asia,asia,Football,football,1.0,1467.0,asia,559.0,404.0,False,False,False,False,0,7581,3.0,100,Ended,finished,Chinese Taipei,chinese-taipei,Chinese Taipei,F,Football,football,1,328,TPE,,True,0,39990,TW,Chinese Taipei,[],#0000ff,#ffffff,#ffffff,China,china,China,F,Football,football,1,3122,CHN,False,True,0,7413,CN,China,[],#ff0000,#fff100,#fff100,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1576573532.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1576573532,,,,,,,,,,,,,,,,,,,
nYcsEaF,1,-1.0,True,False,8571917,1581053400,thailand-china,False,"AFC Olympic Qualification, Women, Group B",afc-olympic-qualification-women-group-b,Asia,asia,Football,football,1,1467,asia,"AFC Olympic Qualification, Women",afc-olympic-qualification-women,,,Asia,asia,Football,football,1.0,1467.0,asia,526.0,3082.0,False,False,False,False,0,78181,,100,Ended,finished,China,china,China,F,Football,football,1,3122,CHN,False,True,0,7413,CN,China,[],#ff0000,#fff100,#fff100,Thailand,thailand,Thailand,F,Football,football,1,1700,THA,,True,0,75029,TH,Thailand,[],#241d4f,#ed1c24,#ed1c24,6.0,6.0,4.0,6.0,1.0,1.0,0.0,1.0,,,0.0,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime']",1581066551,,,2.0,1.0,,,,,,,,,,,,,,,
nYcsPZp,2,-1.0,True,False,8571919,1581312600,china-chinese-taipei,False,"AFC Olympic Qualification, Women, Group B",afc-olympic-qualification-women-group-b,Asia,asia,Football,football,1,1467,asia,"AFC Olympic Qualification, Women",afc-olympic-qualification-women,,,Asia,asia,Football,football,1.0,1467.0,asia,526.0,3082.0,False,False,False,False,0,78181,,100,Ended,finished,Chinese Taipei,chinese-taipei,Chinese Taipei,F,Football,football,1,328,TPE,,True,0,39990,TW,Chinese Taipei,[],#0000ff,#ffffff,#ffffff,China,china,China,F,Football,football,1,3122,CHN,False,True,0,7413,CN,China,[],#ff0000,#fff100,#fff100,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,,,1581316200.0,"['homeScore.current', 'awayScore.period1', 'awayScore.period2']",1581321862,,,0.0,0.0,,,,,,,,,,,,,,,
kYcsnYc,3,-1.0,True,False,8572587,1581582600,china-australia,False,"AFC Olympic Qualification, Women, Group B",afc-olympic-qualification-women-group-b,Asia,asia,Football,football,1,1467,asia,"AFC Olympic Qualification, Women",afc-olympic-qualification-women,,,Asia,asia,Football,football,1.0,1467.0,asia,526.0,3082.0,False,False,False,False,0,78181,4.0,100,Ended,finished,Australia,australia,Australia,F,Football,football,1,5938,AUS,False,True,0,7410,AU,Australia,[],#ffcc00,#2d324b,#2d324b,China,china,China,F,Football,football,1,3122,CHN,False,True,0,7413,CN,China,[],#ff0000,#fff100,#fff100,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,1581586320.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1581589283,,,1.0,1.0,,,,,,,,,,,,,,,
nYcsxNi,2,-1.0,False,False,8594545,1617865200,china-south-korea,False,"AFC Olympic Qualification, Women, Playoffs",afc-olympic-qualification-women-playoffs,Asia,asia,Football,football,1,1467,asia,"AFC Olympic Qualification, Women",afc-olympic-qualification-women,,,Asia,asia,Football,football,1.0,1467.0,asia,526.0,3082.0,False,False,False,False,0,78571,1.0,100,Ended,finished,South Korea,south-korea,South Korea,F,Football,football,1,3594,KOR,False,True,0,21922,KR,South Korea,[],#ff0000,#0000ff,#0000ff,China,china,China,F,Football,football,1,3122,CHN,False,True,0,7413,CN,China,[],#ff0000,#fff100,#fff100,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,1617868980.0,['cardsCode'],1617872035,,,0.0,1.0,Final,final,1.0,,,,,,,,,,,,
nYcsxNi,3,-1.0,False,False,8600716,1618300800,china-south-korea,False,"AFC Olympic Qualification, Women, Playoffs",afc-olympic-qualification-women-playoffs,Asia,asia,Football,football,1,1467,asia,"AFC Olympic Qualification, Women",afc-olympic-qualification-women,,,Asia,asia,Football,football,1.0,1467.0,asia,526.0,3082.0,False,False,False,False,0,78571,1.0,110,AET,finished,China,china,China,F,Football,football,1,3122,CHN,False,True,0,7413,CN,China,[],#ff0000,#fff100,#fff100,South Korea,south-korea,South Korea,F,Football,football,1,3594,KOR,False,True,0,21922,KR,South Korea,[],#ff0000,#0000ff,#0000ff,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,,,1618309200.0,"['status.code', 'status.description', 'status.type', 'homeScore.extra2', 'awayScore.extra2']",1618310525,,,1.0,0.0,Final,final,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,
