customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,time.injuryTime1,time.injuryTime2,isAwarded,detailId,awayRedCards,hasEventPlayerStatistics,hasEventPlayerHeatMap
kYcsoYc,1,-1.0,False,False,9540012,1623340800,denmark-australia,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1,100,Ended,finished,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,Australia,australia,Australia,F,Football,football,1,5938,AUS,False,True,0,7410,AU,Australia,[],#ffcc00,#2d324b,#2d324b,3.0,3.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0,2.0,1623347587.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime2']",1623414261,,,,,,,
oYcswXo,1,-1.0,True,False,9531461,1623778200,denmark-spain,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1,100,Ended,finished,Spain,spain,Spain,F,Football,football,1,16409,ESP,False,True,0,37371,ES,Spain,[],#cc0000,#ffffff,#ffffff,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,3.0,3.0,1.0,,3.0,0.0,0.0,0.0,,0.0,1623784963.0,['cardsCode'],1623785233,2.0,3.0,,,,,
oYcsNEq,1,-1.0,False,False,9786786,1631808000,denmark-malta,False,"World Championship Qualification, Women, UEFA Group E",world-championship-qualification-women-uefa-group-e,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12682,1,100,Ended,finished,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,Malta,malta,Malta,F,Football,football,1,488,MLT,,True,0,41488,MT,Malta,[],#ff0000,#ffffff,#ffffff,7.0,7.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1631811840.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1631814916,,,,,,,
oYcsFlp,2,-1.0,False,False,9786801,1632240000,denmark-azerbaijan,False,"World Championship Qualification, Women, UEFA Group E",world-championship-qualification-women-uefa-group-e,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12682,1,100,Ended,finished,Azerbaijan,azerbaijan,Azerbaijan,F,Football,football,1,420,AZE,,True,0,38080,AZ,Azerbaijan,[],#0071b8,#ffffff,#ffffff,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,0.0,0.0,0.0,,0.0,8.0,8.0,4.0,,8.0,1632246572.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1632246762,1.0,2.0,,,,,
oYcsHlp,1,-1.0,False,False,9786584,1634832000,denmark-bosnia-and-herzegovina,False,"World Championship Qualification, Women, UEFA Group E",world-championship-qualification-women-uefa-group-e,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12682,1,100,Ended,finished,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,Bosnia & Herzegovina,bosnia-and-herzegovina,Bosnia & Herzegovina,F,Football,football,1,915,BOH,False,True,0,38082,BA,Bosnia & Herzegovina,[],#2d4a99,#ffffff,#ffffff,8.0,8.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1634835889.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1634838924,,,,,,,
oYcsNjD,2,-1.0,False,False,9786615,1635264000,denmark-montenegro,False,"World Championship Qualification, Women, UEFA Group E",world-championship-qualification-women-uefa-group-e,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12682,1,100,Ended,finished,Montenegro,montenegro,Montenegro,F,Football,football,1,1280,MNE,False,True,0,70488,ME,Montenegro,[],#cc0000,#ffffff,#ffffff,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,5.0,5.0,3.0,2.0,5.0,1635267824.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1']",1635270766,,,,,,,
oYcsHlp,2,-1.0,True,False,9786649,1637841600,denmark-bosnia-and-herzegovina,False,"World Championship Qualification, Women, UEFA Group E",world-championship-qualification-women-uefa-group-e,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12682,1,100,Ended,finished,Bosnia & Herzegovina,bosnia-and-herzegovina,Bosnia & Herzegovina,F,Football,football,1,915,BOH,False,True,0,38082,BA,Bosnia & Herzegovina,[],#2d4a99,#ffffff,#ffffff,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,,3.0,1637848294.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1637848433,3.0,2.0,,,,,
oYcsLZm,1,-1.0,False,False,9786645,1638291600,denmark-russia,False,"World Championship Qualification, Women, UEFA Group E",world-championship-qualification-women-uefa-group-e,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12682,1,100,Ended,finished,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,Russia,russia,Russia,F,Football,football,1,1254,RUS,,True,0,32486,RU,Russia,[],#e20000,#ffffff,#ffffff,3.0,3.0,0.0,,3.0,1.0,1.0,0.0,,1.0,1638298296.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1638298434,,4.0,,,,,
oYcsAPi,2,-1.0,False,False,10114182,1645012800,denmark-italy,False,"Algarve Cup, Women",algarve-cup-women,World,world,Football,football,1,1468,international,Algarve Cup Women,algarve-cup-women,#fdb813,#e12e22,World,world,Football,football,1,1468,international,1271,411,False,False,False,False,0,98403,1,100,Ended,finished,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,Italy,italy,Italy,F,Football,football,1,17409,ITA,False,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,1.0,1645019569.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645019570,1.0,4.0,,,,,
oYcsyYc,1,-1.0,False,False,10114183,1645203600,sweden-denmark,False,"Algarve Cup, Women",algarve-cup-women,World,world,Football,football,1,1468,international,Algarve Cup Women,algarve-cup-women,#fdb813,#e12e22,World,world,Football,football,1,1468,international,1271,411,False,False,False,False,0,98403,1,100,Ended,finished,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,3.0,3.0,,,3.0,0.0,0.0,,,0.0,1645173772.0,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.normaltime']",1645434778,,,True,,,,
