customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,changes.changes,changes.changeTimestamp,awayTeam.disabled,time.injuryTime2,time.currentPeriodStartTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,time.injuryTime1,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.overtime,homeScore.penalties,awayScore.overtime,awayScore.penalties,time.injuryTime3,time.injuryTime4,homeRedCards
tYcsrgo,1,-1.0,True,False,9539985,1623560400,japan-mexico,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1,100,Ended,finished,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,Mexico,mexico,Mexico,F,Football,football,1,3610,MEX,True,0,35317,MX,Mexico,[],#1a4d3e,#960000,#960000,5,5,1,4.0,5,1,1,0,1.0,1,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime']",1623568443,,,,,,,,,,,,,,,,,
kYcstYc,1,-1.0,False,False,9624203,1626258000,japan-australia,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1,100,Ended,finished,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,Australia,australia,Australia,F,Football,football,1,5938,AUS,True,0,7410,AU,Australia,[],#ffcc00,#2d324b,#2d324b,1,1,0,,1,0,0,0,,0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1626264786,False,2.0,1626264775.0,,,,,,,,,,,,,,
mYcstYc,3,2.0,False,False,9615714,1626863400,japan-canada,False,"Olympic Games Women, Group E",olympic-games-women-group-e,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,311,2311,1,100,Ended,finished,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,Canada,canada,Canada,F,Football,football,1,6637,CAN,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,1,1,0,1.0,1,1,1,1,0.0,1,"['homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1679384011,False,8.0,1626867067.0,True,True,1.0,,,,,,,,,,,
tYcsvJC,2,2.0,True,False,9615715,1627122600,japan-great-britain,False,"Olympic Games Women, Group E",olympic-games-women-group-e,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,311,2311,2,100,Ended,finished,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,Great Britain,great-britain,Great Britain,F,Football,football,1,1066,GBR,True,0,69220,GB,United Kingdom,[],#000066,#cc0000,#cc0000,0,0,0,0.0,0,1,1,0,1.0,1,"['homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1679384033,,3.0,1627126248.0,True,True,1.0,,,,,,,,,,,
tYcsGKu,2,2.0,False,False,9570607,1627383600,japan-chile,False,"Olympic Games Women, Group E",olympic-games-women-group-e,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,311,2311,3,100,Ended,finished,Chile,chile,Chile,F,Football,football,1,3720,CHI,,True,0,49281,CL,Chile,[],#ff0000,#3300cc,#3300cc,Japan,japan,Japan,F,Football,football,1,5967,JPN,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,0,0,0,0.0,0,1,1,0,1.0,1,"['homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1679384044,False,4.0,1627387312.0,True,True,1.0,1.0,,,,,,,,,,
tYcsyYc,1,2.0,True,False,9678769,1627639200,sweden-japan,False,"Olympic Games Women, Final round",olympic-games-women-final-round,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,312,2383,3,100,Ended,finished,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,Japan,japan,Japan,F,Football,football,1,5967,JPN,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,3,3,1,2.0,3,1,1,1,0.0,1,"['homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1679384209,False,5.0,1627642974.0,True,True,1.0,1.0,Quarterfinals,quarterfinals,4.0,,,,,,,
tYcszPi,2,-1.0,False,False,9976133,1637865600,japan-iceland,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1,100,Ended,finished,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,Iceland,iceland,Iceland,F,Football,football,1,2367,ISL,True,0,22024,IS,Iceland,[],#0033ff,#ffffff,#ffffff,0,0,0,0.0,0,2,2,1,0.0,1,['cardsCode'],1637873162,,,1637869260.0,,,,,,,,,,,,,,
tYcsJZm,3,-1.0,False,False,9972674,1638211200,japan-netherlands,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1,100,Ended,finished,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,False,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,Japan,japan,Japan,F,Football,football,1,5967,JPN,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,0,0,0,,0,0,0,0,,0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1638217936,False,3.0,1638217930.0,,,,1.0,,,,,,,,,,
tYcsYidb,1,-1.0,True,False,9921399,1642752000,japan-myanmar,False,"AFC Asian Cup, Women, Group C",afc-asian-cup-women-group-c,Asia,asia,Football,football,1,1467,asia,"AFC Asian Cup, Women",afc-asian-cup-women,#f3a953,#19bc55,Asia,asia,Football,football,1,1467,asia,1930,1692,False,False,False,False,0,96253,1,100,Ended,finished,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,Myanmar,myanmar,Myanmar,F,Football,football,1,970,MYA,True,0,132948,MM,Myanmar,[],#ff0000,#fbed26,#fbed26,5,5,1,,5,0,0,0,,0,"['homeScore.normaltime', 'awayScore.normaltime']",1642758872,,4.0,1642758798.0,,,,3.0,,,,,,,,,,
tYcsijdb,2,-1.0,True,False,9921415,1643032800,japan-vietnam,False,"AFC Asian Cup, Women, Group C",afc-asian-cup-women-group-c,Asia,asia,Football,football,1,1467,asia,"AFC Asian Cup, Women",afc-asian-cup-women,#f3a953,#19bc55,Asia,asia,Football,football,1,1467,asia,1930,1692,False,False,False,False,0,96253,2,100,Ended,finished,Vietnam,vietnam,Vietnam,F,Football,football,1,4154,VIE,False,True,0,132958,VN,Vietnam,[],#ff0000,#ffff00,#ffff00,Japan,japan,Japan,F,Football,football,1,5967,JPN,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,0,0,0,,0,3,3,1,,3,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1643039486,False,3.0,1643039481.0,,,,2.0,,,,,,,,,,
tYcsxNi,3,-1.0,True,False,9921405,1643270400,japan-south-korea,False,"AFC Asian Cup, Women, Group C",afc-asian-cup-women-group-c,Asia,asia,Football,football,1,1467,asia,"AFC Asian Cup, Women",afc-asian-cup-women,#f3a953,#19bc55,Asia,asia,Football,football,1,1467,asia,1930,1692,False,False,False,False,0,96253,3,100,Ended,finished,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,South Korea,south-korea,South Korea,F,Football,football,1,3594,KOR,True,0,21922,KR,South Korea,[],#ff0000,#0000ff,#0000ff,1,1,1,,1,1,1,0,,1,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1643277131,False,4.0,1643277128.0,,,,2.0,,,,,,,,,,
tYcsEaF,1,-1.0,True,False,10018321,1643529600,thailand-japan,False,"AFC Asian Cup, Women, Knockout stage",afc-asian-cup-women-knockout-stage,Asia,asia,Football,football,1,1467,asia,"AFC Asian Cup, Women",afc-asian-cup-women,#f3a953,#19bc55,Asia,asia,Football,football,1,1467,asia,1930,1692,False,False,False,False,0,34883,3,100,Ended,finished,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,Thailand,thailand,Thailand,F,Football,football,1,1700,THA,True,0,75029,TH,Thailand,[],#241d4f,#ed1c24,#ed1c24,7,7,2,,7,0,0,0,,0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1643536433,,3.0,1643536422.0,,,,4.0,Quarterfinals,quarterfinals,4.0,,,,,,,
nYcstYc,1,-1.0,True,False,10018325,1643896800,japan-china,False,"AFC Asian Cup, Women, Knockout stage",afc-asian-cup-women-knockout-stage,Asia,asia,Football,football,1,1467,asia,"AFC Asian Cup, Women",afc-asian-cup-women,#f3a953,#19bc55,Asia,asia,Football,football,1,1467,asia,1930,1692,False,False,False,False,0,34883,2,120,AP,finished,China,china,China,F,Football,football,1,3122,CHN,False,True,0,7413,CN,China,[],#ff0000,#fff100,#fff100,Japan,japan,Japan,F,Football,football,1,5967,JPN,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,6,2,0,,1,5,2,1,,1,"['status.code', 'status.description', 'status.type', 'homeScore.display', 'homeScore.penalties', 'awayScore.display', 'awayScore.penalties', 'time.currentPeriodStart']",1643906785,False,4.0,1643906774.0,,,,1.0,Semifinals,semifinals,2.0,1.0,4.0,1.0,3.0,2.0,2.0,
tYcsamp,2,-1.0,False,False,10379702,1656092700,japan-serbia,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1,100,Ended,finished,Serbia,serbia,Serbia,F,Football,football,1,1806,SRB,,True,0,38100,RS,Serbia,[],#ff0033,#ffffff,#ffffff,Japan,japan,Japan,F,Football,football,1,5967,JPN,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,0,0,0,,0,5,5,1,,5,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1656099267,False,3.0,1656099263.0,,,1.0,,,,,,,,,,,
