customId,winnerCode,coverage,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,time.injuryTime1
kYcsuYc,1,2.0,False,True,True,1.0,False,9615729,1626867000,new-zealand-australia,False,"Olympic Games Women, Group G",olympic-games-women-group-g,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,309,2313,1.0,100,Ended,finished,Australia,australia,Australia,F,Football,football,1,5938,AUS,False,True,0,7410,AU,Australia,[],#ffcc00,#2d324b,#2d324b,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,2,2,2.0,0.0,2,1,1,0.0,1.0,1,3.0,1626870654.0,"['homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1679384138,
uYcszYc,2,2.0,False,True,True,1.0,False,9615731,1627126200,usa-new-zealand,False,"Olympic Games Women, Group G",olympic-games-women-group-g,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,309,2313,2.0,100,Ended,finished,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,USA,usa,USA,F,Football,football,1,15327,USA,False,True,0,7424,US,USA,[],#ffffff,#ff0000,#ff0000,1,1,0.0,1.0,1,6,6,2.0,4.0,6,3.0,1627129935.0,"['cardsCode', 'homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1679384166,1.0
uYcsyYc,2,2.0,False,True,True,1.0,False,9615733,1627372800,sweden-new-zealand,False,"Olympic Games Women, Group G",olympic-games-women-group-g,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,309,2313,3.0,100,Ended,finished,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,0,0,0.0,0.0,0,2,2,2.0,0.0,2,3.0,1627376550.0,"['homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1679384168,1.0
mYcsuYc,1,-1.0,True,,,,False,9896790,1635016500,new-zealand-canada,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,5,5,2.0,3.0,5,1,1,0.0,1.0,1,,1635020400.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1635023128,
mYcsuYc,1,-1.0,True,,,,False,9896789,1635291000,new-zealand-canada,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,1,1,1.0,,1,0,0,0.0,,0,,1635298963.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1635298973,
uYcsxNi,1,-1.0,False,,,,False,9973833,1637989200,new-zealand-south-korea,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,South Korea,south-korea,South Korea,F,Football,football,1,3594,KOR,False,True,0,21922,KR,South Korea,[],#ff0000,#0000ff,#0000ff,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,2,2,0.0,,2,1,1,1.0,,1,3.0,1637995847.0,['cardsCode'],1637996443,1.0
uYcsxNi,2,-1.0,False,,,,False,9977388,1638266400,new-zealand-south-korea,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,,100,Ended,finished,South Korea,south-korea,South Korea,F,Football,football,1,3594,KOR,False,True,0,21922,KR,South Korea,[],#ff0000,#0000ff,#0000ff,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,0,0,0.0,,0,2,2,0.0,,2,3.0,1638273087.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1638273089,1.0
uYcszPi,1,-1.0,False,,,,False,10083558,1645146000,new-zealand-iceland,False,"SheBelieves Cup, Women",shebelieves-cup-women,World,world,Football,football,1,1468,international,SheBelieves Cup,shebelieves-cup,#19213f,#c62437,World,world,Football,football,1,1468,international,1627,3076,True,False,False,False,0,51305,1.0,100,Ended,finished,Iceland,iceland,Iceland,F,Football,football,1,2367,ISL,,True,0,22024,IS,Iceland,[],#0033ff,#ffffff,#ffffff,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,1,1,1.0,,1,0,0,0.0,,0,4.0,1645152661.0,['cardsCode'],1645174991,1.0
uYcszYc,1,-1.0,True,,,,False,10083560,1645387200,usa-new-zealand,False,"SheBelieves Cup, Women",shebelieves-cup-women,World,world,Football,football,1,1468,international,SheBelieves Cup,shebelieves-cup,#19213f,#c62437,World,world,Football,football,1,1468,international,1627,3076,True,False,False,False,0,51305,1.0,100,Ended,finished,USA,usa,USA,F,Football,football,1,15327,USA,False,True,0,7424,US,USA,[],#ffffff,#ff0000,#ff0000,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,5,5,3.0,2.0,5,0,0,0.0,0.0,0,,1645392240.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1645395354,
uYcscfd,3,-1.0,True,,,,False,10083562,1645657200,czech-republic-new-zealand,False,"SheBelieves Cup, Women",shebelieves-cup-women,World,world,Football,football,1,1468,international,SheBelieves Cup,shebelieves-cup,#19213f,#c62437,World,world,Football,football,1,1468,international,1627,3076,True,False,False,False,0,51305,1.0,100,Ended,finished,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,Czech Republic,czech-republic,Czech Republic,F,Football,football,1,1922,CZE,,True,0,7752,CZ,Czech Republic,[],#cc0000,#025095,#025095,0,0,0.0,,0,0,0,0.0,,0,3.0,1645663907.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645664078,
