customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeScore.period2,awayScore.period2,time.injuryTime1,roundInfo.name,roundInfo.slug,detailId,awayRedCards,hasEventPlayerStatistics,hasEventPlayerHeatMap
xYcsJZm,1,-1.0,True,False,9553479,1623772800,norway-netherlands,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,100,Ended,finished,Netherlands,netherlands,Netherlands,F,Football,football,1,15663,NED,False,True,0,32484,NL,Netherlands,[],#ff6600,#281fe0,#281fe0,Norway,norway,Norway,F,Football,football,1,6633,NOR,False,True,0,7422,NO,Norway,[],#ef2b2d,#001f5b,#001f5b,7,7,2,7.0,0,0,0,0.0,2.0,1623779240,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1623779251,,,,,,,,,
xYcsElp,1,-1.0,False,False,9786779,1631808000,norway-armenia,False,"World Championship Qualification, Women, UEFA Group F",world-championship-qualification-women-uefa-group-f,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12684,1.0,100,Ended,finished,Norway,norway,Norway,F,Football,football,1,6633,NOR,False,True,0,7422,NO,Norway,[],#ef2b2d,#001f5b,#001f5b,Armenia,armenia,Armenia,F,Football,football,1,564,ARM,,True,0,38079,AM,Armenia,[],#cc0000,#ef7b00,#ef7b00,10,10,3,10.0,0,0,0,0.0,,1631811693,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1631814693,7.0,0.0,,,,,,,
xYcsLzac,2,-1.0,False,False,9786776,1632243600,norway-kosovo,False,"World Championship Qualification, Women, UEFA Group F",world-championship-qualification-women-uefa-group-f,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12684,1.0,100,Ended,finished,Kosovo,kosovo,Kosovo,F,Football,football,1,629,KOS,,True,0,251236,XK,Kosovo,[],#244aa5,#f8cc22,#f8cc22,Norway,norway,Norway,F,Football,football,1,6633,NOR,False,True,0,7422,NO,Norway,[],#ef2b2d,#001f5b,#001f5b,0,0,0,0.0,3,3,2,3.0,,1632250432,"['homeScore.period2', 'awayScore.period2']",1632250604,0.0,1.0,,,,,,,
xYcsBPi,3,-1.0,False,False,9786585,1634836500,norway-poland,False,"World Championship Qualification, Women, UEFA Group F",world-championship-qualification-women-uefa-group-f,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12684,1.0,100,Ended,finished,Poland,poland,Poland,F,Football,football,1,3243,POL,,True,0,22026,PL,Poland,[],#ffffff,#ff0000,#ff0000,Norway,norway,Norway,F,Football,football,1,6633,NOR,False,True,0,7422,NO,Norway,[],#ef2b2d,#001f5b,#001f5b,0,0,0,0.0,0,0,0,0.0,,1634840399,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1634843382,0.0,0.0,,,,,,,
xYcsGlp,1,-1.0,False,False,9786614,1635267600,norway-belgium,False,"World Championship Qualification, Women, UEFA Group F",world-championship-qualification-women-uefa-group-f,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12684,1.0,100,Ended,finished,Norway,norway,Norway,F,Football,football,1,6633,NOR,False,True,0,7422,NO,Norway,[],#ef2b2d,#001f5b,#001f5b,Belgium,belgium,Belgium,F,Football,football,1,4806,BEL,,True,0,38081,BE,Belgium,[],#ff0033,#000000,#000000,4,4,2,4.0,0,0,0,0.0,,1635271284,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1635274270,2.0,0.0,,,,,,,
xYcsBbA,2,-1.0,False,False,9786653,1637867400,norway-albania,False,"World Championship Qualification, Women, UEFA Group F",world-championship-qualification-women-uefa-group-f,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12684,1.0,100,Ended,finished,Albania,albania,Albania,F,Football,football,1,471,ALB,,True,0,62576,AL,Albania,[],#e41e20,#000000,#000000,Norway,norway,Norway,F,Football,football,1,6633,NOR,False,True,0,7422,NO,Norway,[],#ef2b2d,#001f5b,#001f5b,0,0,0,0.0,7,7,1,7.0,,1637873981,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1', 'time.injuryTime2']",1637874058,0.0,6.0,,,,,,,
xYcsElp,2,-1.0,False,False,9786654,1638277200,norway-armenia,False,"World Championship Qualification, Women, UEFA Group F",world-championship-qualification-women-uefa-group-f,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12684,1.0,100,Ended,finished,Armenia,armenia,Armenia,F,Football,football,1,564,ARM,,True,0,38079,AM,Armenia,[],#cc0000,#ef7b00,#ef7b00,Norway,norway,Norway,F,Football,football,1,6633,NOR,False,True,0,7422,NO,Norway,[],#ef2b2d,#001f5b,#001f5b,0,0,0,0.0,10,10,3,10.0,,1638343589,['cardsCode'],1638344027,,,2.0,,,,,,
xYcsCPi,2,-1.0,True,False,10127120,1645036200,norway-portugal,False,"Algarve Cup, Women",algarve-cup-women,World,world,Football,football,1,1468,international,Algarve Cup Women,algarve-cup-women,#fdb813,#e12e22,World,world,Football,football,1,1468,international,1271,411,False,False,False,False,0,98403,,100,Ended,finished,Norway,norway,Norway,F,Football,football,1,6633,NOR,False,True,0,7422,NO,Norway,[],#ef2b2d,#001f5b,#001f5b,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,False,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,0,0,0,0.0,2,2,1,2.0,3.0,1645043059,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645043064,,,1.0,,,,,,
xYcsAPi,1,-1.0,False,False,10135342,1645358400,norway-italy,False,"Algarve Cup, Women",algarve-cup-women,World,world,Football,football,1,1468,international,Algarve Cup Women,algarve-cup-women,#fdb813,#e12e22,World,world,Football,football,1,1468,international,1271,411,False,False,False,False,0,98403,1.0,100,Ended,finished,Italy,italy,Italy,F,Football,football,1,17409,ITA,False,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,Norway,norway,Norway,F,Football,football,1,6633,NOR,False,True,0,7422,NO,Norway,[],#ef2b2d,#001f5b,#001f5b,2,2,2,2.0,1,1,1,1.0,4.0,1645365132,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645365140,,,2.0,,,,,,
xYcsCPi,2,-1.0,False,False,10149013,1645614000,norway-portugal,False,"Algarve Cup, Women, Final round",algarve-cup-women-final-round,World,world,Football,football,1,1468,international,Algarve Cup Women,algarve-cup-women,#fdb813,#e12e22,World,world,Football,football,1,1468,international,1271,411,False,False,False,False,0,7788,50.0,100,Ended,finished,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,False,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,Norway,norway,Norway,F,Football,football,1,6633,NOR,False,True,0,7422,NO,Norway,[],#ef2b2d,#001f5b,#001f5b,0,0,0,0.0,2,2,1,2.0,4.0,1645620750,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645620753,,,2.0,Match for 3rd place,match-for-3rd-place,,,,
