customId,winnerCode,coverage,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeRedCards,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,time.injuryTime3,time.injuryTime4,isAwarded,awayRedCards
uYcsyYc,2,2.0,False,True,True,1.0,False,9615733,1627372800,sweden-new-zealand,False,"Olympic Games Women, Group G",olympic-games-women-group-g,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,309,2313,3,100,Ended,finished,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,0,0,0.0,0.0,0.0,2,2,2.0,0.0,2.0,1.0,3.0,1627376550,"['homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1679384168,,,,,,,,,,,,,,,,
tYcsyYc,1,2.0,True,True,True,1.0,False,9678769,1627639200,sweden-japan,False,"Olympic Games Women, Final round",olympic-games-women-final-round,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,312,2383,3,100,Ended,finished,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,3,3,1.0,2.0,3.0,1,1,1.0,0.0,1.0,1.0,5.0,1627642974,"['homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1679384209,Quarterfinals,quarterfinals,4.0,,,,,,,,,,,,,
kYcsyYc,2,2.0,True,True,True,1.0,False,9687934,1627902000,sweden-australia,False,"Olympic Games Women, Final round",olympic-games-women-final-round,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,312,2383,2,100,Ended,finished,Australia,australia,Australia,F,Football,football,1,5938,AUS,False,True,0,7410,AU,Australia,[],#ffcc00,#2d324b,#2d324b,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,0,0,0.0,0.0,0.0,1,1,0.0,1.0,1.0,4.0,5.0,1627905942,"['homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1679384260,Semifinals,semifinals,2.0,1.0,,,,,,,,,,,,
mYcsyYc,2,2.0,True,True,True,1.0,False,9693967,1628251200,sweden-canada,False,"Olympic Games Women, Final round",olympic-games-women-final-round,World,world,Football,football,1,1468,international,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,World,world,Football,football,1,1468,international,15343,437,True,False,False,False,312,2383,1,120,AP,finished,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,3,1,1.0,0.0,1.0,4,1,0.0,1.0,1.0,,4.0,1628259255,"['homeScore.display', 'awayScore.display']",1679558751,Final,final,1.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,,
yYcsbmp,2,-1.0,False,,,,False,9786798,1631892600,sweden-slovakia,False,"World Championship Qualification, Women, UEFA Group A",world-championship-qualification-women-uefa-group-a,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12678,1,100,Ended,finished,Slovakia,slovakia,Slovakia,F,Football,football,1,788,SVK,,True,0,38101,SK,Slovakia,[],#ffffff,#3333ff,#3333ff,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,0,0,0.0,0.0,0.0,1,1,1.0,0.0,1.0,,,1631896309,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime2']",1631899356,,,,,,,,,,,,,,,,
yYcsNlp,1,-1.0,False,,,,False,9786796,1632241800,sweden-georgia,False,"World Championship Qualification, Women, UEFA Group A",world-championship-qualification-women-uefa-group-a,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12678,1,100,Ended,finished,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,Georgia,georgia,Georgia,F,Football,football,1,561,GEO,,True,0,38088,GE,Georgia,[],#ffffff,#ff0000,#ff0000,4,4,2.0,2.0,4.0,0,0,0.0,0.0,0.0,,,1632245700,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1632248979,,,,,,,,,,,,,,,,
yYcsDPi,2,-1.0,True,,,,False,9786599,1634839200,sweden-ireland,False,"World Championship Qualification, Women, UEFA Group A",world-championship-qualification-women-uefa-group-a,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12678,1,100,Ended,finished,Ireland,ireland,Ireland,F,Football,football,1,4676,IRL,False,True,0,22028,IE,Ireland,[],#139442,#ffffff,#ffffff,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,0,0,0.0,0.0,0.0,1,1,1.0,0.0,1.0,,,1634842845,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime2']",1634845937,,,,,,,,,,,,,,,,
yYcsxXo,2,-1.0,False,,,,False,9804502,1635271500,sweden-scotland,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1,100,Ended,finished,Scotland,scotland,Scotland,F,Football,football,1,2219,SCO,,True,0,37372,SX,Scotland,[],#00005e,#ffffff,#ffffff,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,0,0,0.0,0.0,0.0,2,2,0.0,2.0,2.0,,,1635278493,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1', 'time.injuryTime2']",1635279852,,,,,,,,,,,,,,,,
yYcscLi,1,-1.0,False,,,,False,9786573,1637861400,sweden-finland,False,"World Championship Qualification, Women, UEFA Group A",world-championship-qualification-women-uefa-group-a,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12678,1,100,Ended,finished,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,Finland,finland,Finland,F,Football,football,1,2018,FIN,False,True,0,21802,FI,Finland,[],#ffffff,#0066b3,#0066b3,2,2,1.0,1.0,2.0,1,1,1.0,0.0,1.0,,,1637865180,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1637868195,,,,,,,,,,,,,,,,
yYcsbmp,1,-1.0,False,,,,False,9786629,1638295200,sweden-slovakia,False,"World Championship Qualification, Women, UEFA Group A",world-championship-qualification-women-uefa-group-a,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12678,1,100,Ended,finished,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,Slovakia,slovakia,Slovakia,F,Football,football,1,788,SVK,,True,0,38101,SK,Slovakia,[],#ffffff,#3333ff,#3333ff,3,3,1.0,2.0,3.0,0,0,0.0,0.0,0.0,,,1638298941,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1638301973,,,,,,,,,,,,,,,,
oYcsyYc,1,-1.0,False,,,,False,10114183,1645203600,sweden-denmark,False,"Algarve Cup, Women",algarve-cup-women,World,world,Football,football,1,1468,international,Algarve Cup Women,algarve-cup-women,#fdb813,#e12e22,World,world,Football,football,1,1468,international,1271,411,False,False,False,False,0,98403,1,100,Ended,finished,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,Denmark,denmark,Denmark,F,Football,football,1,7149,DEN,False,True,0,7414,DK,Denmark,[],#cc0000,#ffffff,#ffffff,3,3,,,3.0,0,0,,,0.0,,,1645173772,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.normaltime']",1645434778,,,,,,,,,,,,,,,True,
yYcsCPi,2,-1.0,False,,,,False,10135343,1645376700,sweden-portugal,False,"Algarve Cup, Women",algarve-cup-women,World,world,Football,football,1,1468,international,Algarve Cup Women,algarve-cup-women,#fdb813,#e12e22,World,world,Football,football,1,1468,international,1271,411,False,False,False,False,0,98403,1,100,Ended,finished,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,False,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,0,0,0.0,0.0,0.0,4,4,0.0,4.0,4.0,,,1645383469,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1', 'time.injuryTime2', 'status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645383485,,,,,,,,,,,,,,,,
yYcsAPi,1,-1.0,False,,,,False,10149014,1645614300,sweden-italy,False,"Algarve Cup, Women, Final round",algarve-cup-women-final-round,World,world,Football,football,1,1468,international,Algarve Cup Women,algarve-cup-women,#fdb813,#e12e22,World,world,Football,football,1,1468,international,1271,411,False,False,False,False,0,7788,1,120,AP,finished,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,Italy,italy,Italy,F,Football,football,1,17409,ITA,False,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,7,1,0.0,,1.0,6,1,1.0,,1.0,1.0,3.0,1645621755,"['status.code', 'status.description', 'status.type', 'homeScore.display', 'homeScore.penalties', 'awayScore.display', 'awayScore.penalties', 'time.currentPeriodStart']",1645621766,Final,final,1.0,,,,,6.0,,,,5.0,,,,
yYcsNlp,2,-1.0,False,,,,False,9786704,1649347200,sweden-georgia,False,"World Championship Qualification, Women, UEFA Group A",world-championship-qualification-women-uefa-group-a,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12678,1,100,Ended,finished,Georgia,georgia,Georgia,F,Football,football,1,561,GEO,,True,0,38088,GE,Georgia,[],#ffffff,#ff0000,#ff0000,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,0,0,0.0,0.0,0.0,15,15,11.0,4.0,15.0,,,1649350920,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1649353911,,,,,,,,,,,,,,,,
yYcsDPi,3,-1.0,False,,,,False,9786716,1649781000,sweden-ireland,False,"World Championship Qualification, Women, UEFA Group A",world-championship-qualification-women-uefa-group-a,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12678,1,100,Ended,finished,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,Ireland,ireland,Ireland,F,Football,football,1,4676,IRL,False,True,0,22028,IE,Ireland,[],#139442,#ffffff,#ffffff,1,1,0.0,,1.0,1,1,1.0,,1.0,1.0,3.0,1649787773,"['homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1649787880,,,,,,,,,,,,,,,,
lYcsyYc,1,-1.0,False,,,1.0,False,10355745,1656433800,sweden-brazil,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1,100,Ended,finished,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,3,3,0.0,,3.0,1,1,0.0,,1.0,3.0,4.0,1656440627,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1656440634,,,,,,,,,,,,,,,,
