customId,winnerCode,aggregatedWinnerCode,hasGlobalHighlights,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,previousLegEventId,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.aggregated,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.aggregated,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,awayRedCards,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,awayTeam.disabled
EcdsvZub,1,1.0,True,True,True,True,1,False,11068248,11067181.0,1677708000,huracan-boston-river,False,"CONMEBOL Libertadores, Qualification",conmebol-libertadores-qualification,South America,south-america,Football,football,1,1470,south-america,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,193544,384,True,False,False,False,526,14805,2,Qualification round 2,qualification-round-2,100,Ended,finished,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,Boston River,boston-river,Boston River,M,Football,football,1,4433,BRI,False,0,174970,UY,Uruguay,[],#265c32,#ff0000,#ff0000,1,1,1,0,1,1.0,0,0,0,0,0,0.0,9,5.0,1677715148,"['homeScore.aggregated', 'awayScore.aggregated']",1688586587,,,,,
bobsEcd,3,,True,,True,True,6,False,10981359,,1678054500,huracan-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,6,,,100,Ended,finished,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,1,1,1,0,1,,1,1,1,0,1,,8,5.0,1678062369,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1678062373,1.0,1.0,AR,AR,False
cWsEcd,3,,True,True,True,True,1,False,11099888,,1678406400,huracan-club-sporting-cristal,False,"CONMEBOL Libertadores, Qualification",conmebol-libertadores-qualification,South America,south-america,Football,football,1,1470,south-america,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,193544,384,True,False,False,False,526,14805,3,Qualification round 3,qualification-round-3,100,Ended,finished,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,Club Sporting Cristal,club-sporting-cristal,Sporting Cristal,M,Football,football,1,23002,CRI,False,0,2302,PE,Peru,[],#33ccff,#ffffff,#ffffff,0,0,0,0,0,,0,0,0,0,0,,4,6.0,1678413666,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678413668,,,,,False
gobsEcd,1,,True,,True,True,6,False,10981491,,1678659300,huracan-estudiantes-de-la-plata,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,7,,,100,Ended,finished,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,2,2,1,1,2,,1,1,0,1,1,,3,7.0,1678666271,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678666275,,1.0,AR,AR,False
cWsEcd,1,1.0,True,True,True,True,1,False,11099877,11099888.0,1679011200,huracan-club-sporting-cristal,False,"CONMEBOL Libertadores, Qualification",conmebol-libertadores-qualification,South America,south-america,Football,football,1,1470,south-america,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,193544,384,True,False,False,False,526,14805,3,Qualification round 3,qualification-round-3,100,Ended,finished,Club Sporting Cristal,club-sporting-cristal,Sporting Cristal,M,Football,football,1,23002,CRI,False,False,0,2302,PE,Peru,[],#33ccff,#ffffff,#ffffff,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,1,1,0,1,1,1.0,0,0,0,0,0,0.0,9,5.0,1679018632,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1679018635,,,,,False
robsEcd,2,,True,,True,True,6,False,10981467,,1679356800,huracan-rosario-central,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,8,,,100,Ended,finished,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,0,3217,AR,Argentina,[],#000066,#ffcc00,#ffcc00,0,0,0,0,0,,2,2,2,0,2,,3,,1679363666,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679363670,,,AR,AR,False
pobsEcd,1,,True,,True,True,6,False,10981480,,1680388200,huracan-racing-club,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,9,,,100,Ended,finished,Racing Club,racing-club,Racing,M,Football,football,1,31458,RAC,False,False,0,3215,AR,Argentina,[],#00ccff,#ffffff,#ffffff,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,2,2,0,2,2,,1,1,0,1,1,,5,5.0,1680396281,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680396283,,,AR,AR,False
UucsEcd,1,,True,,True,True,1,False,11174261,,1680818400,huracan-guarani,False,"CONMEBOL Sudamericana, Group B",conmebol-sudamericana-group-b,South America,south-america,Football,football,1,1470,south-america,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,105090,480,True,False,False,False,405,91437,1,,,100,Ended,finished,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,Guaraní,guarani,Guaraní,M,Football,football,1,10267,GUA,False,0,5994,PY,Paraguay,[],#000000,#ffff33,#ffff33,4,4,2,2,4,,1,1,1,0,1,,2,4.0,1680825111,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680825115,,1.0,,,
lobsEcd,2,,True,,True,True,6,False,10981426,,1681077600,huracan-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,10,,,100,Ended,finished,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,0,3211,AR,Argentina,[],#ffffff,#ff0000,#ff0000,0,0,0,0,0,,3,3,2,1,3,,3,6.0,1681084608,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681084612,1.0,,AR,AR,False
dobsEcd,1,,True,,True,True,6,False,10981408,,1681336800,huracan-belgrano,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,62413,155,True,False,True,False,351,68,11,,,100,Ended,finished,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,,False,0,3203,AR,Argentina,[],#3399ff,#3399ff,#3399ff,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,0,7629,AR,Argentina,[],#ffffff,#dd0000,#dd0000,2,2,1,1,2,,0,0,0,0,0,,2,4.0,1681343606,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681343608,,,AR,AR,False
