customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,coverage,awayTeam.disabled,homeRedCards,time.injuryTime1,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType
MhdsNjk,1,False,False,10390281,1.0,1668261600,fk-zeleziarne-podbrezova-mfk-tatran-liptovsky-mikulas,False,Niké liga,nike-liga,Slovakia,slovakia,Football,football,1,23,slovakia,SK,Superliga,superliga,#eda506,#010101,Slovakia,slovakia,Football,football,1,23,slovakia,SK,6129,False,False,211,False,False,0,92,18.0,100,Ended,finished,FK Železiarne Podbrezová,fk-zeleziarne-podbrezova,Podbrezová,M,Football,football,1,3338,ZEP,False,False,0,7887,SK,Slovakia,[],#990000,#ffffff,#ffffff,MFK Tatran Liptovský Mikuláš,mfk-tatran-liptovsky-mikulas,Liptovský Mikuláš,M,Football,football,1,1575,LIP,False,0,25488,SK,Slovakia,[],#ff0000,#000000,#000000,1,1,1,0,1,0,0,0,0,0,3.0,1668268183.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1668268186,,,,,,,
bYbsMhd,2,False,False,10890625,,1668767400,fk-zeleziarne-podbrezova-cracovia,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,Cracovia,cracovia,Cracovia,M,Football,football,1,7393,CRA,False,False,0,4901,PL,Poland,[],#cc0000,#ffffff,#ffffff,FK Železiarne Podbrezová,fk-zeleziarne-podbrezova,Podbrezová,M,Football,football,1,3338,ZEP,False,0,7887,SK,Slovakia,[],#990000,#ffffff,#ffffff,3,3,2,1,3,4,4,1,3,4,,1668771240.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1668773976,-1.0,False,,,,,
xmbsMhd,2,False,False,10900643,,1669370400,fk-zeleziarne-podbrezova-wisla-plock,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,FK Železiarne Podbrezová,fk-zeleziarne-podbrezova,Podbrezová,M,Football,football,1,3338,ZEP,False,False,0,7887,SK,Slovakia,[],#990000,#ffffff,#ffffff,Wisła Płock,wisla-plock,Wisła P.,M,Football,football,1,6547,PLO,False,0,3122,PL,Poland,[],#ffffff,#3333ff,#3333ff,1,1,1,0,1,3,3,2,1,3,,1669376582.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1669376583,,False,,,,,
Mhdsofo,2,False,False,10980106,,1673686800,fk-zeleziarne-podbrezova-sk-lisen,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,SK Líšeň,sk-lisen,Líšeň,M,Football,football,1,2853,SKL,,False,0,35264,CZ,Czech Republic,[],#2970ba,#e80c0c,#e80c0c,FK Železiarne Podbrezová,fk-zeleziarne-podbrezova,Podbrezová,M,Football,football,1,3338,ZEP,False,0,7887,SK,Slovakia,[],#990000,#ffffff,#ffffff,0,0,0,0,0,2,2,1,1,2,,1673692997.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1673693001,,False,,,,,
MhdsyIr,2,False,False,10989787,,1673699400,fk-zeleziarne-podbrezova-fc-brno,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,FC Brno,fc-brno,Brno,F,Football,football,1,12,BRN,,False,0,44173,CZ,Czech Republic,[],#52b030,#52b030,#ffffff,FK Železiarne Podbrezová,fk-zeleziarne-podbrezova,Podbrezová,M,Football,football,1,3338,ZEP,False,0,7887,SK,Slovakia,[],#990000,#ffffff,#ffffff,1,1,0,1,1,2,2,2,0,2,,1673702700.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1673705373,-1.0,False,,,,,
cYsMhd,2,False,False,11011478,,1674648000,fk-zeleziarne-podbrezova-msk-zilina,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,MŠK Žilina,msk-zilina,Žilina,M,Football,football,1,5984,ZIL,,False,0,2402,SK,Slovakia,[],#ffff33,#ffff33,#ffff33,FK Železiarne Podbrezová,fk-zeleziarne-podbrezova,Podbrezová,M,Football,football,1,3338,ZEP,False,0,7887,SK,Slovakia,[],#990000,#ffffff,#ffffff,2,2,1,1,2,3,3,0,3,3,,1674654180.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1674654212,,False,,,,,
MhdsGjG,1,False,False,11024332,,1674896400,fk-zeleziarne-podbrezova-fk-pohronie,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,FK Železiarne Podbrezová,fk-zeleziarne-podbrezova,Podbrezová,M,Football,football,1,3338,ZEP,False,False,0,7887,SK,Slovakia,[],#990000,#ffffff,#ffffff,FK Pohronie,fk-pohronie,Pohronie,M,Football,football,1,1123,POH,False,0,77981,SK,Slovakia,[],#0f83ce,#ffffff,#ffffff,3,3,0,3,3,1,1,1,0,1,,,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime']",1674906930,,,,,,,
dYsMhd,2,False,False,11038925,,1675503000,fk-zeleziarne-podbrezova-1-fc-tatran-presov,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,FK Železiarne Podbrezová,fk-zeleziarne-podbrezova,Podbrezová,M,Football,football,1,3338,ZEP,False,False,0,7887,SK,Slovakia,[],#990000,#ffffff,#ffffff,1. FC Tatran Prešov,1-fc-tatran-presov,Prešov,M,Football,football,1,2188,FTP,False,0,2403,SK,Slovakia,[],#009900,#006600,#006600,1,1,1,0,1,3,3,2,1,3,,1675506840.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.current', 'awayScore.display', 'awayScore.period2', 'awayScore.normaltime']",1675510190,,,1.0,,,,
JQcsMhd,3,False,False,10390283,,1676124000,fk-zeleziarne-podbrezova-fc-vion-zlate-moravce,False,Niké liga,nike-liga,Slovakia,slovakia,Football,football,1,23,slovakia,SK,Superliga,superliga,#eda506,#010101,Slovakia,slovakia,Football,football,1,23,slovakia,SK,6129,False,False,211,False,False,0,92,19.0,100,Ended,finished,FC ViOn Zlaté Moravce,fc-vion-zlate-moravce,Zlaté Moravce,M,Football,football,1,1968,ZLA,False,False,0,7084,SK,Slovakia,[],#ffffff,#ff0000,#ff0000,FK Železiarne Podbrezová,fk-zeleziarne-podbrezova,Podbrezová,M,Football,football,1,3338,ZEP,False,0,7887,SK,Slovakia,[],#990000,#ffffff,#ffffff,1,1,0,1,1,1,1,1,0,1,,1676130792.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676130795,,False,,,,,
cYsMhd,1,False,False,10390341,,1676824200,fk-zeleziarne-podbrezova-msk-zilina,False,Niké liga,nike-liga,Slovakia,slovakia,Football,football,1,23,slovakia,SK,Superliga,superliga,#eda506,#010101,Slovakia,slovakia,Football,football,1,23,slovakia,SK,6129,False,False,211,False,False,0,92,20.0,100,Ended,finished,FK Železiarne Podbrezová,fk-zeleziarne-podbrezova,Podbrezová,M,Football,football,1,3338,ZEP,False,False,0,7887,SK,Slovakia,[],#990000,#ffffff,#ffffff,MŠK Žilina,msk-zilina,Žilina,M,Football,football,1,5984,ZIL,False,0,2402,SK,Slovakia,[],#ffff33,#ffff33,#ffff33,3,3,1,2,3,1,1,0,1,1,4.0,1676831010.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676831013,,,,1.0,,,
