customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,detailId,crowdsourcingDataDisplayEnabled,id,homeRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,aggregatedWinnerCode,roundInfo.name,roundInfo.slug,awayRedCards,roundInfo.cupRoundType,previousLegEventId,homeScore.aggregated,awayScore.aggregated,hasEventPlayerHeatMap
cUJsDxMc,3,False,False,4,False,10950822,1.0,1676750400,tombense-democrata-fc,False,Mineiro Módulo I,mineiro-modulo-i,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,57345,6,100,Ended,finished,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,Democrata FC,democrata-fc,Democrata FC,M,Football,football,1,570,DEM,False,False,0,343628,BR,Brazil,[],#52b030,#52b030,#ffffff,2,2,1,1,2,2,2,1,1,2,15.0,13.0,1676758529,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676758533,,,,,,,,,
cUJsXrnc,3,False,,6,False,11056140,,1677103200,tombense-caucaia,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,1,100,Ended,finished,Caucaia,caucaia,Caucaia,M,Football,football,1,1593,CAU,False,False,0,283397,BR,Brazil,[],#ff0000,#000000,#000000,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,0,0,0,0,0,0,0,0,0,0,3.0,7.0,1677110157,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677110159,2.0,Round 1,round-1,,,,,,
qWcscUJ,1,False,False,4,False,10950847,,1677535200,tombense-villa-nova,False,Mineiro Módulo I,mineiro-modulo-i,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,57345,7,100,Ended,finished,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,Villa Nova,villa-nova,Villa Nova,M,Football,football,1,764,VIN,False,False,0,7316,BR,Brazil,[],#be0000,#fffeff,#fffeff,3,3,0,3,3,0,0,0,0,0,3.0,12.0,1677542861,['cardsCode'],1679385466,,,,3.0,,,,,
yOscUJ,1,False,False,4,False,10950899,,1677958200,tombense-america-mineiro,False,Mineiro Módulo I,mineiro-modulo-i,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,57345,8,100,Ended,finished,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,3,3,0,3,3,1,1,0,1,1,4.0,8.0,1677965386,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677965387,,,,,,,,,
cUJsOWEc,1,True,,6,False,11103581,,1678321800,tombense-retro,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,2,100,Ended,finished,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,Retrô,retro,Retrô,M,Football,football,1,3600,RET,False,False,0,324839,BR,Brazil,[],#000066,#fdd100,#fdd100,1,1,0,1,1,0,0,0,0,0,7.0,10.0,1678329318,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678329321,,Round 2,round-2,,,,,,
cUJsPvMc,3,False,False,4,False,11120259,,1678568400,tombense-pouso-alegre,False,"Mineiro, Modulo I, Trofeu Inconfidencia",mineiro-modulo-i-trofeu-inconfidencia,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,80694,28,100,Ended,finished,Pouso Alegre,pouso-alegre,Pouso Alegre,M,Football,football,1,2111,POU,False,False,0,343540,BR,Brazil,[],#52b030,#52b030,#ffffff,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,2,2,1,1,2,2,2,2,0,2,4.0,7.0,1678575591,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1678575595,,Semifinal,semifinal,,2.0,,,,
cUJsPvMc,3,False,False,4,False,11120269,,1679173200,tombense-pouso-alegre,False,"Mineiro, Modulo I, Trofeu Inconfidencia",mineiro-modulo-i-trofeu-inconfidencia,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,80694,28,100,Ended,finished,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,Pouso Alegre,pouso-alegre,Pouso Alegre,M,Football,football,1,2111,POU,False,False,0,343540,BR,Brazil,[],#52b030,#52b030,#ffffff,0,0,0,0,0,0,0,0,0,0,4.0,6.0,1679180507,['cardsCode'],1679259645,1.0,Semifinal,semifinal,2.0,2.0,11120259.0,2.0,2.0,
qWcscUJ,2,False,False,4,False,11154892,,1679857200,tombense-villa-nova,False,"Mineiro, Modulo I, Trofeu Inconfidencia",mineiro-modulo-i-trofeu-inconfidencia,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,80694,29,100,Ended,finished,Villa Nova,villa-nova,Villa Nova,M,Football,football,1,764,VIN,False,False,0,7316,BR,Brazil,[],#be0000,#fffeff,#fffeff,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,1,1,1,0,1,2,2,2,0,2,6.0,9.0,1679864995,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679864997,,Final,final,,1.0,,,,
qWcscUJ,1,False,False,4,False,11156119,,1680382800,tombense-villa-nova,False,"Mineiro, Modulo I, Trofeu Inconfidencia",mineiro-modulo-i-trofeu-inconfidencia,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,80694,29,100,Ended,finished,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,Villa Nova,villa-nova,Villa Nova,M,Football,football,1,764,VIN,False,False,0,7316,BR,Brazil,[],#be0000,#fffeff,#fffeff,3,3,1,2,3,2,2,2,0,2,5.0,7.0,1680390568,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680390669,1.0,Final,final,,1.0,11154892.0,5.0,3.0,
nOscUJ,1,False,True,1,False,11177676,,1681340400,tombense-palmeiras,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,100,Ended,finished,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,4,4,2,2,4,2,2,1,1,2,6.0,7.0,1681347982,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681347987,,Round 3,round-3,,,,,,True
