descriptions,position,matches,wins,scoresFor,scoresAgainst,secondaryScoresFor,secondaryScoresAgainst,id,losses,draws,points,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,promotion.text,promotion.id
[],1,14,7,24,13,0,0,811048,3,4,25,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,#ffffff,#ff0000,#ff0000,Copa Libertadores,19.0
[],2,12,7,23,12,0,0,811051,2,3,24,Talleres,talleres,Talleres,M,Football,football,1,17651,CAT,False,False,0,3210,#050040,#ffffff,#ffffff,,
[],3,12,5,15,10,0,0,811056,4,3,18,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,#ffff00,#339900,#339900,,
[],4,12,4,11,9,0,0,811049,3,5,17,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,#ff0000,#000033,#000033,,
[],5,14,3,18,18,0,0,811046,4,7,16,Lanús,lanus,Lanús,M,Football,football,1,14017,LAN,False,False,0,3218,#660033,#ffffff,#ffffff,,
[],6,14,4,13,15,0,0,811052,6,4,16,Tigre,tigre,Tigre,M,Football,football,1,14402,TIG,False,False,0,7628,#000099,#ff0000,#ff0000,,
[],7,12,4,10,12,0,0,811057,4,4,16,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,#ff0000,#ffffff,#ffffff,,
[],8,14,4,7,9,0,0,811036,6,4,16,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,#cc0000,#ffffff,#ffffff,,
[],9,12,4,12,14,0,0,811039,6,2,14,Boca Juniors,boca-juniors,Boca Juniors,M,Football,football,1,94847,BOC,False,False,0,3202,#003399,#ffcc66,#ffcc66,,
[],10,12,3,13,17,0,0,811041,4,5,14,Barracas Central,barracas-central,Barracas,M,Football,football,1,7154,BAR,,False,0,65668,#ffffff,#ff0000,#ff0000,,
[],11,14,4,8,18,0,0,811042,8,2,14,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,,False,0,3203,#3399ff,#3399ff,#3399ff,,
[],12,12,3,15,16,0,0,811061,5,4,13,Racing Club,racing-club,Racing,M,Football,football,1,31458,RAC,False,False,0,3215,#00ccff,#ffffff,#ffffff,,
[],13,14,3,7,13,0,0,811050,7,4,13,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,False,0,42338,#006600,#006600,#006600,,
[],14,14,2,7,13,0,0,811062,5,7,13,Unión,union,Unión,M,Football,football,1,9287,UNI,False,False,0,3204,#ffffff,#cc0000,#cc0000,,
[],15,14,3,10,19,0,0,811053,7,4,13,Godoy Cruz,godoy-cruz,Godoy Cruz,M,Football,football,1,11974,GOD,,False,0,6074,#002593,#ffffff,#ffffff,,
[],16,13,2,8,14,0,0,811038,5,6,12,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,#ffffff,#33ccff,#33ccff,,
[],17,14,2,8,15,0,0,811045,6,6,12,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,#cc0000,#cc0000,#cc0000,,
[],18,13,2,11,19,0,0,811043,5,6,12,Central Córdoba,central-cordoba,Central Córdoba,M,Football,football,1,7712,CC,False,False,0,65676,#ffffff,#000000,#000000,,
[],19,12,3,10,16,0,0,811047,7,2,11,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,#442b0b,#f2f2f2,#f2f2f2,,
[],20,14,2,11,19,0,0,811060,7,5,11,Newell's Old Boys,newells-old-boys,Newell's,M,Football,football,1,14796,NOB,False,False,0,3212,#ff0000,#000000,#000000,,
[],21,12,3,11,20,0,0,811059,7,2,11,Instituto Córdoba,instituto-cordoba,Instituto,M,Football,football,1,7054,IAC,,False,0,4937,#e72328,#222226,#222226,,
[],22,14,2,11,26,0,0,811058,8,4,10,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,M,Football,football,1,10844,GLP,False,False,0,3205,#ffffff,#000033,#000033,,
[],23,12,1,6,12,0,0,811055,5,6,9,Colón,colon,Colón,M,Football,football,1,10465,COL,False,False,0,3207,#000000,#cc0000,#cc0000,,
[],24,12,2,8,15,0,0,811063,7,3,9,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,Football,football,1,17605,VEL,False,False,0,3208,#ffffff,#003366,#003366,,
[],25,14,2,8,16,0,0,811044,9,3,9,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,False,0,7629,#ffffff,#dd0000,#dd0000,,
[],26,12,2,12,21,0,0,811040,7,3,9,Banfield,banfield,Banfield,M,Football,football,1,10153,BAN,False,False,0,3219,#009900,#ffffff,#ffffff,,
[],27,12,1,9,18,0,0,811054,5,6,9,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,#000066,#ffcc00,#ffcc00,,
[],28,14,1,5,17,0,0,811037,10,3,6,Arsenal de Sarandí,arsenal-de-sarandi,Arsenal,M,Football,football,1,8638,ARS,False,False,0,3221,#00ccff,#ff0000,#ff0000,,
