descriptions,position,matches,wins,scoresFor,scoresAgainst,secondaryScoresFor,secondaryScoresAgainst,id,losses,draws,points,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,promotion.text,promotion.id
[],1,12,11,24,6,0,0,811020,1,0,33,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,#ffffff,#ff0000,#ff0000,Copa Libertadores,19.0
[],2,14,9,27,11,0,0,811026,0,5,32,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,#000066,#ffcc00,#ffcc00,,
[],3,14,8,12,2,0,0,811021,1,5,29,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,#ff0000,#000033,#000033,,
[],4,14,8,19,10,0,0,811011,3,3,27,Boca Juniors,boca-juniors,Boca Juniors,M,Football,football,1,94847,BOC,False,False,0,3202,#003399,#ffcc66,#ffcc66,,
[],5,14,7,22,10,0,0,811029,2,5,26,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,#ff0000,#ffffff,#ffffff,,
[],6,14,7,21,11,0,0,811028,2,5,26,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,#ffff00,#339900,#339900,,
[],7,12,8,18,9,0,0,811018,2,2,26,Lanús,lanus,Lanús,M,Football,football,1,14017,LAN,False,False,0,3218,#660033,#ffffff,#ffffff,,
[],8,12,7,23,11,0,0,811025,1,4,25,Godoy Cruz,godoy-cruz,Godoy Cruz,M,Football,football,1,11974,GOD,,False,0,6074,#002593,#ffffff,#ffffff,,
[],9,14,7,18,10,0,0,811023,3,4,25,Talleres,talleres,Talleres,M,Football,football,1,17651,CAT,False,False,0,3210,#050040,#ffffff,#ffffff,,
[],10,12,7,22,10,0,0,811008,2,3,24,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,#cc0000,#ffffff,#ffffff,,
[],11,12,6,12,4,0,0,811032,1,5,23,Newell's Old Boys,newells-old-boys,Newell's,M,Football,football,1,14796,NOB,False,False,0,3212,#ff0000,#000000,#000000,,
[],12,14,6,20,17,0,0,811033,3,5,23,Racing Club,racing-club,Racing,M,Football,football,1,31458,RAC,False,False,0,3215,#00ccff,#ffffff,#ffffff,,
[],13,14,6,15,12,0,0,811019,4,4,22,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,#442b0b,#f2f2f2,#f2f2f2,,
[],14,13,6,15,13,0,0,811010,3,4,22,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,#ffffff,#33ccff,#33ccff,,
[],15,12,6,12,8,0,0,811014,3,3,21,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,,False,0,3203,#3399ff,#3399ff,#3399ff,,
[],16,14,5,12,11,0,0,811013,3,6,21,Barracas Central,barracas-central,Barracas,M,Football,football,1,7154,BAR,,False,0,65668,#ffffff,#ff0000,#ff0000,,
[],17,14,5,11,11,0,0,811031,3,6,21,Instituto Córdoba,instituto-cordoba,Instituto,M,Football,football,1,7054,IAC,,False,0,4937,#e72328,#222226,#222226,,
[],18,14,5,9,11,0,0,811012,4,5,20,Banfield,banfield,Banfield,M,Football,football,1,10153,BAN,False,False,0,3219,#009900,#ffffff,#ffffff,,
[],19,12,5,12,11,0,0,811030,3,4,19,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,M,Football,football,1,10844,GLP,False,False,0,3205,#ffffff,#000033,#000033,,
[],20,14,3,16,11,0,0,811035,2,9,18,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,Football,football,1,17605,VEL,False,False,0,3208,#ffffff,#003366,#003366,,
[],21,13,5,9,9,0,0,811015,6,2,17,Central Córdoba,central-cordoba,Central Córdoba,M,Football,football,1,7712,CC,False,False,0,65676,#ffffff,#000000,#000000,,
[],22,12,4,16,13,0,0,811022,4,4,16,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,False,0,42338,#006600,#006600,#006600,,
[],23,12,4,15,15,0,0,811017,4,4,16,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,#cc0000,#cc0000,#cc0000,,
[],24,14,3,14,19,0,0,811027,4,7,16,Colón,colon,Colón,M,Football,football,1,10465,COL,False,False,0,3207,#000000,#cc0000,#cc0000,,
[],25,12,4,12,14,0,0,811024,5,3,15,Tigre,tigre,Tigre,M,Football,football,1,14402,TIG,False,False,0,7628,#000099,#ff0000,#ff0000,,
[],26,12,3,10,12,0,0,811034,4,5,14,Unión,union,Unión,M,Football,football,1,9287,UNI,False,False,0,3204,#ffffff,#cc0000,#cc0000,,
[],27,12,3,9,13,0,0,811016,5,4,13,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,False,0,7629,#ffffff,#dd0000,#dd0000,,
[],28,12,4,11,17,0,0,811009,7,1,13,Arsenal de Sarandí,arsenal-de-sarandi,Arsenal,M,Football,football,1,8638,ARS,False,False,0,3221,#00ccff,#ff0000,#ff0000,,
