descriptions,position,matches,wins,scoresFor,scoresAgainst,secondaryScoresFor,secondaryScoresAgainst,id,losses,draws,points,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,promotion.text,promotion.id
[],1,26,18,48,19,0,0,810992,4,4,58,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,#ffffff,#ff0000,#ff0000,Copa Libertadores,19.0
[],2,26,14,41,22,0,0,810995,5,7,49,Talleres,talleres,Talleres,M,Football,football,1,17651,CAT,False,False,0,3210,#050040,#ffffff,#ffffff,,
[],3,26,12,23,11,0,0,810993,4,10,46,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,#ff0000,#000033,#000033,,
[],4,26,12,36,21,0,0,811000,6,8,44,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,#ffff00,#339900,#339900,,
[],5,26,11,32,22,0,0,811001,6,9,42,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,#ff0000,#ffffff,#ffffff,,
[],6,26,11,36,27,0,0,810990,6,9,42,Lanús,lanus,Lanús,M,Football,football,1,14017,LAN,False,False,0,3218,#660033,#ffffff,#ffffff,,
[],7,26,10,36,29,0,0,810998,5,11,41,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,#000066,#ffcc00,#ffcc00,,
[],8,26,12,31,24,0,0,810983,9,5,41,Boca Juniors,boca-juniors,Boca Juniors,M,Football,football,1,94847,BOC,False,False,0,3202,#003399,#ffcc66,#ffcc66,,
[],9,26,11,29,19,0,0,810980,8,7,40,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,17556,ARG,False,False,0,3216,#cc0000,#ffffff,#ffffff,,
[],10,26,10,33,30,0,0,810997,8,8,38,Godoy Cruz,godoy-cruz,Godoy Cruz,M,Football,football,1,11974,GOD,,False,0,6074,#002593,#ffffff,#ffffff,,
[],11,26,9,35,33,0,0,811005,8,9,36,Racing Club,racing-club,Racing,M,Football,football,1,31458,RAC,False,False,0,3215,#00ccff,#ffffff,#ffffff,,
[],12,26,8,25,28,0,0,810985,7,11,35,Barracas Central,barracas-central,Barracas,M,Football,football,1,7154,BAR,,False,0,65668,#ffffff,#ff0000,#ff0000,,
[],13,26,10,20,26,0,0,810986,11,5,35,Belgrano,belgrano,Belgrano,M,Football,football,1,10232,BEL,,False,0,3203,#3399ff,#3399ff,#3399ff,,
[],14,26,8,23,23,0,0,811004,8,10,34,Newell's Old Boys,newells-old-boys,Newell's,M,Football,football,1,14796,NOB,False,False,0,3212,#ff0000,#000000,#000000,,
[],15,26,8,23,27,0,0,810982,8,10,34,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,#ffffff,#33ccff,#33ccff,,
[],16,26,9,25,28,0,0,810991,11,6,33,Platense,platense,Platense,M,Football,football,1,9145,PLA,,False,0,36837,#442b0b,#f2f2f2,#f2f2f2,,
[],17,26,8,22,31,0,0,811003,10,8,32,Instituto Córdoba,instituto-cordoba,Instituto,M,Football,football,1,7054,IAC,,False,0,4937,#e72328,#222226,#222226,,
[],18,26,8,25,29,0,0,810996,11,7,31,Tigre,tigre,Tigre,M,Football,football,1,14402,TIG,False,False,0,7628,#000099,#ff0000,#ff0000,,
[],19,26,7,23,26,0,0,810994,11,8,29,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,False,0,42338,#006600,#006600,#006600,,
[],20,26,7,20,28,0,0,810987,11,8,29,Central Córdoba,central-cordoba,Central Córdoba,M,Football,football,1,7712,CC,False,False,0,65676,#ffffff,#000000,#000000,,
[],21,26,7,21,32,0,0,810984,11,8,29,Banfield,banfield,Banfield,M,Football,football,1,10153,BAN,False,False,0,3219,#009900,#ffffff,#ffffff,,
[],22,26,7,23,37,0,0,811002,11,8,29,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,M,Football,football,1,10844,GLP,False,False,0,3205,#ffffff,#000033,#000033,,
[],23,26,6,23,30,0,0,810989,10,10,28,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,#cc0000,#cc0000,#cc0000,,
[],24,26,5,24,26,0,0,811007,9,12,27,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,Football,football,1,17605,VEL,False,False,0,3208,#ffffff,#003366,#003366,,
[],25,26,5,17,25,0,0,811006,9,12,27,Unión,union,Unión,M,Football,football,1,9287,UNI,False,False,0,3204,#ffffff,#cc0000,#cc0000,,
[],26,26,4,20,31,0,0,810999,9,13,25,Colón,colon,Colón,M,Football,football,1,10465,COL,False,False,0,3207,#000000,#cc0000,#cc0000,,
[],27,26,5,17,29,0,0,810988,14,7,22,Huracán,huracan,Huracán,M,Football,football,1,14094,HUR,False,False,0,7629,#ffffff,#dd0000,#dd0000,,
[],28,26,5,16,34,0,0,810981,17,4,19,Arsenal de Sarandí,arsenal-de-sarandi,Arsenal,M,Football,football,1,8638,ARS,False,False,0,3221,#00ccff,#ff0000,#ff0000,,
