descriptions,position,matches,wins,scoresFor,scoresAgainst,id,losses,draws,points,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,promotion.text,promotion.id
[],1,10,6,14,7,838079,3,1,19,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,False,0,135514,#b4982d,#1d2329,#1d2329,Promotion,11.0
[],2,10,5,13,9,838078,4,1,16,Vitória,vitoria,Vitória,M,Football,football,1,23493,VIT,False,False,0,1962,#ff0000,#000000,#000000,Promotion,11.0
[],3,9,4,8,5,838076,2,3,15,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,#ffff00,#000000,#000000,,
[],4,10,4,12,10,838073,3,3,15,Ceará,ceara,Ceará,M,Football,football,1,44224,CEA,False,False,0,2001,#000000,#ffffff,#ffffff,,
[],5,10,4,12,6,838087,4,2,14,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,False,0,2021,#ff0000,#ffffff,#ffffff,Promotion,11.0
[],6,10,4,9,10,838077,4,2,14,Juventude,juventude,Juventude,M,Football,football,1,20055,JUV,False,False,0,1980,#006600,#ffffff,#ffffff,,
[],7,9,4,9,13,838072,3,2,14,Botafogo-SP,botafogo-sp,Botafogo-SP,M,Football,football,1,11548,BOT,False,False,0,1979,#ffffff,#ff0000,#ff0000,,
[],8,9,3,9,10,838083,4,2,11,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,#e8c728,#174c30,#174c30,,
[],9,10,2,7,8,838080,4,4,10,Guarani,guarani,Guarani,M,Football,football,1,16007,GUA,False,False,0,1972,#006214,#006214,#006214,,
[],10,9,2,8,11,838085,3,4,10,Sport Recife,sport-recife,Sport Recife,M,Football,football,1,43095,REC,False,False,0,1959,#cc0000,#000000,#000000,Promotion,11.0
[],11,9,3,9,12,838075,6,0,9,CRB,crb,CRB,M,Football,football,1,16598,BRA,,False,0,22032,#f20000,#f20000,#f20000,,
[],12,9,2,6,12,838071,5,2,8,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,#0066ff,#ffffff,#ffffff,Relegation,3.0
[],13,10,2,6,13,838081,6,2,8,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,#c1394e,#181d25,#181d25,,
[],14,9,2,3,10,838068,5,2,8,Ponte Preta,ponte-preta,Ponte Preta,M,Football,football,1,16226,PON,False,False,0,1969,#ffffff,#000000,#000000,,
[],15,9,1,11,17,838070,3,5,8,Atlético Goianiense,atletico-goianiense,Atlético-GO,M,Football,football,1,26671,GOI,False,False,0,7314,#ff0000,#000000,#000000,,
[],16,9,2,5,12,838086,6,1,7,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,#ffffff,#ff0000,#ff0000,,
[],17,9,2,3,11,838084,6,1,7,Sampaio Corrêa,sampaio-correa,Sampaio Corrêa,M,Football,football,1,16092,SCO,False,False,0,2005,#008000,#ff0000,#ff0000,,
[],18,10,1,8,15,838069,5,4,7,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,False,0,21838,#f6f4fa,#f6f4fa,#f6f4fa,Relegation,3.0
[],19,8,1,11,15,838074,5,2,5,Chapecoense,chapecoense,Chapecoense,M,Football,football,1,18737,CHA,False,False,0,21845,#009966,#ffffff,#ffffff,Relegation,3.0
[],20,10,1,6,19,838082,8,1,4,Londrina,londrina,Londrina,M,Football,football,1,12787,LON,False,False,0,2022,#77bbff,#ffffff,#ffffff,Relegation,3.0
