playedEnough,statistics.rating,statistics.id,statistics.type,statistics.appearances,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,category,statistics.goals,statistics.expectedGoals,statistics.assists,statistics.expectedAssists,statistics.goalsAssistsSum,statistics.penaltiesTaken,statistics.penaltyGoals,statistics.shotFromSetPiece,statistics.freeKickGoal,statistics.scoringFrequency,statistics.totalShots,statistics.shotsOnTarget,statistics.bigChancesMissed,statistics.bigChancesCreated,statistics.accuratePasses,statistics.accuratePassesPercentage,statistics.keyPasses,statistics.accurateLongBalls,statistics.successfulDribbles,statistics.successfulDribblesPercentage,statistics.penaltyWon,statistics.tackles,statistics.interceptions,statistics.clearances,statistics.possessionLost,statistics.yellowCards,statistics.redCards
True,7.4666666666667,866910,overall,24,Karim Benzema,karim-benzema,K. Benzema,F,164944,3306,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,7.4233333333333,866928,overall,30,Toni Kroos,toni-kroos,T. Kroos,M,46660,26502,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,7.2529411764706,866912,overall,34,Federico Valverde,federico-valverde,F. Valverde,M,38049,831808,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,7.2393939393939,871136,overall,33,Éder Militão,eder-militao,É. Militão,D,16939,822519,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,7.2133333333333,871132,overall,31,Marco Asensio,marco-asensio,M. Asensio,F,19176,361004,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,7.1322580645161,866924,overall,31,Thibaut Courtois,thibaut-courtois,T. Courtois,G,23985,70988,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,7.130303030303,866914,overall,33,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,22302,859025,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,7.1,876778,overall,34,Rodrygo,rodrygo,Rodrygo,F,59539,910536,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,7.0515151515152,866904,overall,33,Vinícius Júnior,vinicius-junior,Vinícius,F,145260,868812,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,7.0285714285714,866926,overall,23,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,8014,255239,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,6.9545454545455,866902,overall,33,Luka Modrić,luka-modric,L. Modrić,M,87724,15466,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,6.9333333333333,866932,overall,30,Dani Ceballos,dani-ceballos,D. Ceballos,M,8035,547838,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,6.8702702702703,866920,overall,37,Eduardo Camavinga,camavinga-eduardo,E. Camavinga,M,25410,973887,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,6.8608695652174,866930,overall,23,David Alaba,david-alaba,D. Alaba,D,16914,66492,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,6.8548387096774,866918,overall,33,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,14287,142622,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,6.836,866922,overall,27,Nacho Fernández,nacho-fernandez,N. Fernández,D,7770,69404,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,6.8142857142857,895593,overall,7,Andriy Lunin,andriy-lunin,A. Lunin,G,6048,857574,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,6.8,954884,overall,3,Álvaro Odriozola,alvaro-odriozola,Á. Odriozola,D,4003,353250,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,6.78,957664,overall,6,Álvaro Rodríguez,alvaro-rodriguez,Á. Rodríguez,F,5838,1154587,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,6.7666666666667,871134,overall,27,Daniel Carvajal,daniel-carvajal,D. Carvajal,D,12051,138572,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,6.6777777777778,866916,overall,18,Ferland Mendy,ferland-mendy,F. Mendy,D,9092,792073,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,6.6,895596,overall,9,Mariano Díaz,mariano-diaz,M. Díaz,F,5555,175753,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,6.55,954886,overall,2,Sergio Arribas,sergio-arribas,S. Arribas,M,2207,997203,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,6.5333333333333,866906,overall,6,Eden Hazard,eden-hazard,E. Hazard,F,87552,27583,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,6.5,985929,overall,1,Jesús Vallejo,jesus-vallejo,J. Vallejo,D,3622,355048,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,6.5,866900,overall,1,Casemiro,casemiro,Casemiro,M,59818,122951,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866910,overall,24,Karim Benzema,karim-benzema,K. Benzema,F,164944,3306,goals,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866904,overall,33,Vinícius Júnior,vinicius-junior,Vinícius,F,145260,868812,goals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,871132,overall,31,Marco Asensio,marco-asensio,M. Asensio,F,19176,361004,goals,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,876778,overall,34,Rodrygo,rodrygo,Rodrygo,F,59539,910536,goals,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866912,overall,34,Federico Valverde,federico-valverde,F. Valverde,M,38049,831808,goals,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,871136,overall,33,Éder Militão,eder-militao,É. Militão,D,16939,822519,goals,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866926,overall,23,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,8014,255239,goals,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866902,overall,33,Luka Modrić,luka-modric,L. Modrić,M,87724,15466,goals,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866928,overall,30,Toni Kroos,toni-kroos,T. Kroos,M,46660,26502,goals,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866930,overall,23,David Alaba,david-alaba,D. Alaba,D,16914,66492,goals,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866918,overall,33,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,14287,142622,goals,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866922,overall,27,Nacho Fernández,nacho-fernandez,N. Fernández,D,7770,69404,goals,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,957664,overall,6,Álvaro Rodríguez,alvaro-rodriguez,Á. Rodríguez,F,5838,1154587,goals,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866910,overall,24,Karim Benzema,karim-benzema,K. Benzema,F,164944,3306,expectedGoals,19.0,21.5246,,,,,,,,,,,,,,,,,,,,,,,,,
True,,876778,overall,34,Rodrygo,rodrygo,Rodrygo,F,59539,910536,expectedGoals,9.0,13.4444,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866904,overall,33,Vinícius Júnior,vinicius-junior,Vinícius,F,145260,868812,expectedGoals,10.0,10.509,,,,,,,,,,,,,,,,,,,,,,,,,
True,,871132,overall,31,Marco Asensio,marco-asensio,M. Asensio,F,19176,361004,expectedGoals,9.0,5.5385,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866912,overall,34,Federico Valverde,federico-valverde,F. Valverde,M,38049,831808,expectedGoals,7.0,4.2884,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866902,overall,33,Luka Modrić,luka-modric,L. Modrić,M,87724,15466,expectedGoals,4.0,4.2205,,,,,,,,,,,,,,,,,,,,,,,,,
True,,871136,overall,33,Éder Militão,eder-militao,É. Militão,D,16939,822519,expectedGoals,5.0,2.3759,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866926,overall,23,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,8014,255239,expectedGoals,4.0,1.8937,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866914,overall,33,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,22302,859025,expectedGoals,0.0,1.8062,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866918,overall,33,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,14287,142622,expectedGoals,1.0,1.8049,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866928,overall,30,Toni Kroos,toni-kroos,T. Kroos,M,46660,26502,expectedGoals,2.0,1.4173,,,,,,,,,,,,,,,,,,,,,,,,,
True,,866906,overall,6,Eden Hazard,eden-hazard,E. Hazard,F,87552,27583,expectedGoals,0.0,0.97,,,,,,,,,,,,,,,,,,,,,,,,,
