iter	MultiClass
0	1.266717277
1	1.17108206
2	1.096857116
3	1.037498422
4	0.9804895953
5	0.9349960844
6	0.890494254
7	0.8480552024
8	0.8117096591
9	0.7783996919
10	0.7496559479
11	0.7239217367
12	0.699589898
13	0.678257521
14	0.660065601
15	0.6408381814
16	0.6224684127
17	0.6050257585
18	0.5891526434
19	0.5743280423
20	0.560936502
21	0.5484962046
22	0.5377606429
23	0.527512058
24	0.5184758371
25	0.5100170735
26	0.5022631574
27	0.4938277099
28	0.485419053
29	0.4773302957
30	0.4716227489
31	0.4660996519
32	0.4594370976
33	0.4536663282
34	0.4484714477
35	0.444123737
36	0.4389185593
37	0.4347389682
38	0.4313691967
39	0.4282412279
40	0.4242534847
41	0.4210449072
42	0.4184311045
43	0.4137966774
44	0.4094294866
45	0.4062012514
46	0.4029003633
47	0.3999789633
48	0.3981608701
49	0.3951433834
50	0.3918387084
51	0.3895359683
52	0.3859837152
53	0.3834497998
54	0.3809319996
55	0.3792151257
56	0.3768716056
57	0.3748571887
58	0.3718960936
59	0.3689107979
60	0.3670204939
61	0.365298629
62	0.3629205952
63	0.3616057834
64	0.3592293748
65	0.3577973029
66	0.3560736668
67	0.3542429693
68	0.3521971412
69	0.3503848136
70	0.3485065875
71	0.3456728017
72	0.3435009649
73	0.342165239
74	0.3405923605
75	0.3389572646
76	0.3375226996
77	0.3363747801
78	0.3341852732
79	0.3325822985
80	0.3308594579
81	0.3294866423
82	0.328802912
83	0.3278056182
84	0.3260521838
85	0.3241820861
86	0.3231193339
87	0.3217092557
88	0.3208571863
89	0.3197243838
90	0.3185040798
91	0.3171561825
92	0.3155847911
93	0.3145687477
94	0.3139300729
95	0.3133086809
96	0.3125987249
97	0.3105107866
98	0.3093658946
99	0.3083998975
100	0.3076847128
101	0.3068096973
102	0.3058144193
103	0.3052780016
104	0.3046682046
105	0.3042135446
106	0.3030686927
107	0.3022425637
108	0.3010915941
109	0.3005598697
110	0.2999934437
111	0.2986401178
112	0.2975653416
113	0.2970439518
114	0.2961133317
115	0.2951032221
116	0.2940029414
117	0.2933132172
118	0.2922075425
119	0.2916485242
120	0.2905409233
121	0.2896578598
122	0.2885797341
123	0.2878462136
124	0.2872815938
125	0.2867221519
126	0.2854098784
127	0.2844447915
128	0.2836861903
129	0.2825596682
130	0.280995934
131	0.2798099379
132	0.2781666138
133	0.2774022524
134	0.2763226179
135	0.2753565422
136	0.2748084506
137	0.273830928
138	0.2733130087
139	0.2726337452
140	0.2721700398
141	0.2718491715
142	0.2709565685
143	0.2703915709
144	0.2698628814
145	0.2694281584
146	0.268901662
147	0.2681427423
148	0.2670761342
149	0.2662999563
150	0.2658936192
151	0.2653220796
152	0.2648600458
153	0.2643617419
154	0.2639123013
155	0.2629863451
156	0.2626134106
157	0.261953707
158	0.2614132503
159	0.2609205465
160	0.260228718
161	0.2595156696
162	0.2589405119
163	0.2580617672
164	0.257296794
165	0.2570334671
166	0.2565932666
167	0.2558135119
168	0.2553111227
169	0.2546719528
170	0.2539343797
171	0.253362032
172	0.2527340503
173	0.2520584793
174	0.2514445085
175	0.2510882136
176	0.2507764272
177	0.2502098635
178	0.2495803268
179	0.2493569507
180	0.248773049
181	0.2479830955
182	0.2476616704
183	0.2471550747
184	0.2461572454
185	0.2456882297
186	0.2447969854
187	0.2444062205
188	0.2439162853
189	0.2436208234
190	0.2430940973
191	0.2425491861
192	0.241701888
193	0.2412703038
194	0.2408413019
195	0.2403702939
196	0.2397256448
197	0.239056246
198	0.2386506336
199	0.2382885089
200	0.2378883312
201	0.2374915754
202	0.236575633
203	0.2362092798
204	0.2356326877
205	0.2354068108
206	0.2352483096
207	0.2347332309
208	0.2342286873
209	0.2337487944
210	0.233059304
211	0.2324400673
212	0.232204233
213	0.2317942823
214	0.231588102
215	0.2311859956
216	0.2309812113
217	0.2304504738
218	0.2302764112
219	0.2296442009
220	0.2288657736
221	0.2285113978
222	0.2281824838
223	0.2274820593
224	0.2272655445
225	0.2266495861
226	0.2263661297
227	0.2258496642
228	0.2256304468
229	0.2254892557
230	0.2249927228
231	0.2247863053
232	0.2242779167
233	0.2239171112
234	0.2234186623
235	0.2227640678
236	0.222115978
237	0.2214927559
238	0.220962427
239	0.220519783
240	0.2198294981
241	0.219400657
242	0.2189042303
243	0.2185656892
244	0.2183408131
245	0.2180893637
246	0.2171147824
247	0.2167831159
248	0.2161961532
249	0.2157991259
250	0.2153232207
251	0.2150670261
252	0.2146486031
253	0.2144404647
254	0.2141227174
255	0.2136265177
256	0.2132944196
257	0.212425898
258	0.2120219516
259	0.2114827704
260	0.2109536407
261	0.2105680061
262	0.2099779028
263	0.2096624148
264	0.2092694515
265	0.2087849924
266	0.2084483869
267	0.2082580332
268	0.2079849817
269	0.2076859518
270	0.2074974675
271	0.2072414329
272	0.2069245018
273	0.2065266409
274	0.2061123139
275	0.2058422255
276	0.2055720256
277	0.2052989263
278	0.2048948752
279	0.2046191398
280	0.204444579
281	0.20413962
282	0.2036414776
283	0.2033601809
284	0.2028693825
285	0.2024159201
286	0.2018158368
287	0.2014006559
288	0.2008983522
289	0.2004349009
290	0.2000864071
291	0.1997195003
292	0.1993532249
293	0.1989823444
294	0.1987830092
295	0.1984289924
296	0.1980761846
297	0.1978396094
298	0.1973480599
299	0.1971644868
300	0.1968985921
301	0.196488766
302	0.1961528767
303	0.1957861215
304	0.1950721026
305	0.194786671
306	0.1946086348
307	0.1941584485
308	0.1939506855
309	0.1936842746
310	0.1934530221
311	0.1930139558
312	0.1928060336
313	0.1926513092
314	0.1920603428
315	0.1917723805
316	0.1914690807
317	0.1911489425
318	0.1908588641
319	0.1906449455
320	0.190371269
321	0.1901248532
322	0.1896141037
323	0.189465354
324	0.1891444184
325	0.1886863574
326	0.1882914772
327	0.187970649
328	0.1876220342
329	0.1874127354
330	0.1869431396
331	0.1867775951
332	0.1865234735
333	0.1862980838
334	0.1857507364
335	0.1854976821
336	0.1850266433
337	0.1848060798
338	0.1845322765
339	0.1840903138
340	0.1839066422
341	0.1836398225
342	0.1830976713
343	0.1828332806
344	0.1825223371
345	0.1821485884
346	0.1820423471
347	0.1818801737
348	0.1817090989
349	0.1813334673
350	0.1809938392
351	0.1806894266
352	0.1804263539
353	0.1801640867
354	0.1797862468
355	0.179567319
356	0.1793433057
357	0.1789814836
358	0.1788373367
359	0.1784456348
360	0.1780302855
361	0.1778857515
362	0.1775974223
363	0.1773833261
364	0.1768939907
365	0.1765890083
366	0.1764388485
367	0.1761651501
368	0.1760702349
369	0.175630502
370	0.1753193919
371	0.1749667637
372	0.1745196914
373	0.1742917304
374	0.1741578026
375	0.1739526187
376	0.1736722934
377	0.1734422938
378	0.1733262473
379	0.1729207078
380	0.1725342426
381	0.1721538804
382	0.1719864001
383	0.1716260298
384	0.1711349575
385	0.1710069115
386	0.1706613121
387	0.1703070279
388	0.1699558736
389	0.1696713814
390	0.1693944017
391	0.1690452583
392	0.1688213195
393	0.1685650114
394	0.1683252837
395	0.1680419913
396	0.1678886437
397	0.1675673399
398	0.1671154491
399	0.1668295334
400	0.1665305959
401	0.1662512696
402	0.1661729617
403	0.1659320534
404	0.1656946176
405	0.1655096587
406	0.1652005084
407	0.1650928673
408	0.1648322093
409	0.164515482
410	0.1643949599
411	0.1642062189
412	0.1640650784
413	0.1639545253
414	0.1637746692
415	0.1632053686
416	0.1627910998
417	0.1626398841
418	0.1624814966
419	0.1623193222
420	0.162136082
421	0.1618493605
422	0.1616957768
423	0.1611903766
424	0.1608053001
425	0.1604890221
426	0.160259311
427	0.1601147435
428	0.1600410639
429	0.159889106
430	0.1597301207
431	0.1593164602
432	0.1589893432
433	0.1588196259
434	0.1585793723
435	0.1583434921
436	0.1581676798
437	0.1579471734
438	0.1578598298
439	0.1577151308
440	0.157485853
441	0.1571524477
442	0.1568222608
443	0.156681539
444	0.156422179
445	0.1561669133
446	0.1558500639
447	0.1557159984
448	0.155519857
449	0.1553294643
450	0.1551344705
451	0.1550401044
452	0.1547914088
453	0.1545464442
454	0.154284431
455	0.1540665134
456	0.1538416749
457	0.1536980199
458	0.1536417325
459	0.1531537091
460	0.1530689558
461	0.1526761035
462	0.152466487
463	0.1523027411
464	0.152172732
465	0.1519769056
466	0.1517090006
467	0.1516535787
468	0.1514670797
469	0.1513037468
470	0.1510231123
471	0.1507713978
472	0.1505593557
473	0.1503007156
474	0.1501679634
475	0.1497652291
476	0.1494784502
477	0.1493061385
478	0.1489674241
479	0.148791197
480	0.1485371347
481	0.1483758653
482	0.1482742549
483	0.1479497475
484	0.1478368355
485	0.1476049849
486	0.1474887696
487	0.1473841775
488	0.1472792304
489	0.1470164037
490	0.1469459805
491	0.1468344917
492	0.1466286519
493	0.1462489186
494	0.1460237119
