iter	Passed	Remaining
0	136	136704
1	141	70460
2	146	48625
3	151	37791
4	156	31125
5	160	26654
6	166	23554
7	170	21188
8	176	19380
9	180	17899
10	194	17457
11	199	16407
12	204	15513
13	209	14745
14	213	14051
15	218	13447
16	223	12931
17	228	12463
18	233	12051
19	238	11680
20	243	11335
21	247	10999
22	251	10680
23	256	10449
24	262	10222
25	267	10015
26	271	9801
27	276	9596
28	280	9391
29	284	9205
30	288	9028
31	293	8869
32	297	8713
33	301	8579
34	307	8483
35	312	8361
36	317	8268
37	326	8277
38	335	8270
39	343	8238
40	350	8200
41	357	8157
42	364	8106
43	370	8043
44	375	7976
45	381	7909
46	388	7869
47	393	7811
48	400	7765
49	406	7715
50	410	7645
51	415	7574
52	420	7512
53	425	7447
54	429	7385
55	437	7373
56	445	7362
57	452	7341
58	459	7325
59	464	7274
60	469	7220
61	475	7194
62	481	7164
63	486	7110
64	490	7057
65	495	7014
66	500	6968
67	505	6922
68	509	6877
69	514	6831
70	518	6788
71	523	6748
72	528	6707
73	533	6672
74	538	6638
75	543	6607
76	548	6573
77	552	6534
78	558	6505
79	562	6473
80	568	6445
81	572	6406
82	576	6368
83	580	6328
84	584	6292
85	588	6258
86	592	6219
87	596	6183
88	600	6150
89	604	6115
90	608	6079
91	612	6046
92	617	6018
93	621	5987
94	625	5955
95	629	5924
96	633	5895
97	637	5864
98	641	5834
99	645	5807
100	649	5782
101	653	5753
102	657	5725
103	661	5696
104	665	5668
105	668	5639
106	672	5613
107	676	5589
108	680	5566
109	685	5544
110	689	5519
111	693	5494
112	696	5470
113	700	5447
114	705	5426
115	708	5402
116	712	5379
117	716	5357
118	720	5336
119	724	5313
120	728	5292
121	732	5270
122	736	5252
123	740	5232
124	745	5215
125	749	5198
126	753	5179
127	757	5160
128	761	5142
129	766	5126
130	770	5111
131	774	5096
132	779	5079
133	783	5062
134	787	5046
135	791	5030
136	796	5016
137	800	5000
138	804	4981
139	808	4964
140	812	4949
141	816	4934
142	820	4919
143	824	4901
144	828	4885
145	832	4868
146	836	4852
147	841	4841
148	845	4827
149	849	4813
150	853	4800
151	858	4790
152	862	4776
153	866	4762
154	871	4748
155	875	4736
156	880	4725
157	884	4712
158	888	4700
159	892	4687
160	897	4675
161	901	4661
162	905	4648
163	909	4634
164	913	4621
165	917	4607
166	920	4593
167	924	4580
168	928	4567
169	933	4555
170	937	4544
171	941	4532
172	945	4519
173	949	4506
174	953	4494
175	957	4481
176	961	4469
177	965	4456
178	969	4444
