customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,awayRedCards,homeRedCards,homeScore.penalties,awayScore.penalties,coverage,roundInfo.name,aggregatedWinnerCode,roundInfo.cupRoundType,homeScore.overtime,awayScore.overtime
uYcsNlDb,2,True,True,True,1.0,False,10834001,1690263000,new-zealand-philippines,False,"World Championship, Women, Group A",world-championship-women-group-a,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1.0,1468.0,international,0.0,290.0,True,False,False,False,623,1504,2.0,100,Ended,finished,New Zealand,new-zealand,New Zealand,Football,football,1,0,NZL,False,0,7419,NZ,New Zealand,[],#52b030,#52b030,#ffffff,Philippines,philippines,Philippines,Football,football,1,0,PHI,False,0,195588,PH,Philippines,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,5.0,1690269980.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690269983,,,,,,,,,,,,
xYcsdmp,3,True,True,True,1.0,False,10834002,1690272000,norway-switzerland,False,"World Championship, Women, Group A",world-championship-women-group-a,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1.0,1468.0,international,0.0,290.0,True,False,False,False,623,1504,2.0,100,Ended,finished,Switzerland,switzerland,Switzerland,Football,football,1,0,SUI,False,0,38103,CH,Switzerland,[],#52b030,#52b030,#ffffff,Norway,norway,Norway,Football,football,1,0,NOR,False,0,7422,NO,Norway,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1690278700.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690278704,,,,,,,,,,,,
lYcsejdb,1,True,True,True,1.0,False,10833998,1690196400,brazil-panama,False,"World Championship, Women, Group F",world-championship-women-group-f,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1.0,1468.0,international,0.0,290.0,True,False,False,False,618,40155,1.0,100,Ended,finished,Brazil,brazil,Brazil,Football,football,1,0,BRA,False,0,7411,BR,Brazil,[],#52b030,#52b030,#ffffff,Panama,panama,Panama,Football,football,1,0,PAN,False,0,132954,PA,Panama,[],#52b030,#52b030,#ffffff,4.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1690203476.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690203479,,,,,,,,,,,,
jYcsAPi,1,True,True,True,1.0,False,10833999,1690178400,argentina-italy,False,"World Championship, Women, Group G",world-championship-women-group-g,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1.0,1468.0,international,0.0,290.0,True,False,False,False,617,109143,1.0,100,Ended,finished,Italy,italy,Italy,Football,football,1,0,ITA,False,0,22025,IT,Italy,[],#52b030,#52b030,#ffffff,Argentina,argentina,Argentina,Football,football,1,0,ARG,False,0,7409,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1690185436.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690185440,,,,,,,,,,,,
REjsiNec,1,True,True,True,1.0,False,10834000,1690187400,morocco-germany,False,"World Championship, Women, Group H",world-championship-women-group-h,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1.0,1468.0,international,0.0,290.0,True,False,False,False,616,109144,1.0,100,Ended,finished,Germany,germany,Germany,Football,football,1,0,GER,False,0,23992,DE,Germany,[],#52b030,#52b030,#ffffff,Morocco,morocco,Morocco,Football,football,1,0,MOR,False,0,261908,MA,Morocco,[],#52b030,#52b030,#ffffff,6.0,6.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,1690194509.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690194512,,,,,,,,,,,,
xNisGHt,1,True,True,True,1.0,False,10834003,1690250400,colombia-south-korea,False,"World Championship, Women, Group H",world-championship-women-group-h,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1.0,1468.0,international,0.0,290.0,True,False,False,False,616,109144,1.0,100,Ended,finished,Colombia,colombia,Colombia,Football,football,1,0,COL,False,0,46631,CO,Colombia,[],#52b030,#52b030,#ffffff,South Korea,south-korea,South Korea,Football,football,1,0,KOR,False,0,21922,KR,South Korea,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,1690257792.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690257794,,,,,,,,,,,,
eOskO,2,True,True,True,1.0,False,11067583,1690138800,goias-cruzeiro,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1.0,13.0,brazil,0.0,325.0,True,False,False,False,390,83,16.0,100,Ended,finished,Cruzeiro,cruzeiro,Cruzeiro,Football,football,1,0,CRU,False,0,1954,BR,Brazil,[],#52b030,#52b030,#ffffff,Goiás,goias,Goiás,Football,football,1,0,GGO,False,0,1960,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,7.0,1690146144.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1690146147,BR,BR,,,,,,,,,,
qOsZO,3,True,True,True,1.0,False,11067581,1690138800,red-bull-bragantino-internacional,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1.0,13.0,brazil,0.0,325.0,True,False,False,False,390,83,16.0,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,Football,football,1,0,BRA,False,0,1999,BR,Brazil,[],#52b030,#52b030,#ffffff,Internacional,internacional,Internacional,Football,football,1,0,INT,False,0,1966,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1690145908.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690145912,BR,BR,,,,,,,,,,
iOstO,3,True,True,True,1.0,False,11067579,1690138800,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1.0,13.0,brazil,0.0,325.0,True,False,False,False,390,83,16.0,100,Ended,finished,Santos,santos,Santos,Football,football,1,0,SAN,False,0,1968,BR,Brazil,[],#52b030,#52b030,#ffffff,Botafogo,botafogo,Botafogo,Football,football,1,0,BOT,False,0,1958,BR,Brazil,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,6.0,11.0,1690146366.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690146368,BR,BR,,,,,,,,,,
rOszO,2,True,True,True,1.0,False,11067575,1690147800,vasco-athletico,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1.0,13.0,brazil,0.0,325.0,True,False,False,False,390,83,16.0,100,Ended,finished,Vasco,vasco,Vasco,Football,football,1,0,VDG,False,0,1974,BR,Brazil,[],#52b030,#52b030,#ffffff,Athletico,athletico,Athletico,Football,football,1,0,CAP,False,0,1967,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,7.0,1690154682.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690154684,BR,BR,1.0,,,,,,,,,
