id,choice_1,choice_X,choice_2
11099921,4.5,4.5,1.5
11016014,2.38,3.2,2.8
11463470,1.91,4.0,3.0
11463471,1.4,4.2,6.0
11379517,1.57,3.75,4.75
11370316,1.7,3.5,5.5
11156408,1.62,4.33,3.75
11364738,1.91,3.6,4.0
11364737,2.63,3.5,2.55
11364735,3.0,3.3,2.4
11387611,2.75,3.5,2.15
11377277,1.33,5.5,5.5
11383001,2.05,3.3,3.0
11035243,2.05,3.5,3.0
11367707,3.4,3.5,2.1
11404833,2.38,2.88,2.9
11367708,2.55,3.6,2.6
11320222,7.0,6.0,1.25
11463477,1.73,3.0,5.0
11463475,1.5,3.5,6.0
11464811,1.75,4.2,3.4
11463478,2.5,2.9,2.7
11349000,5.0,4.0,1.5
11035316,1.6,3.75,4.75
11042053,1.7,4.0,3.6
11016759,1.12,9.0,11.0
10976351,2.25,3.75,2.5
11463513,2.3,3.5,2.55
11463511,3.5,3.6,1.8
11463514,1.73,4.0,3.5
11463515,1.2,6.5,8.0
11464109,1.4,3.75,7.5
11437738,2.4,3.75,2.3
11421954,2.05,3.3,3.1
11041787,2.38,3.8,2.3
11448123,1.91,2.75,4.5
11464812,1.25,5.75,7.0
11351378,2.15,3.2,3.1
10926589,3.0,3.5,2.15
11228209,1.62,4.0,4.2
10990935,3.8,3.6,1.73
10950733,1.91,4.0,2.88
11041913,1.6,4.0,4.33
10923212,1.7,4.0,4.5
10923193,3.1,3.3,2.3
11406675,4.33,3.8,1.62
11463512,1.4,4.33,6.0
11463516,1.85,3.8,3.25
11367373,2.3,3.1,2.8
11367614,1.45,4.2,6.5
11367620,1.83,3.5,3.8
11367616,2.6,3.1,2.6
11463517,2.25,3.75,2.5
11459955,1.53,4.0,4.75
11419618,1.33,4.33,7.5
11463839,23.0,13.0,1.06
11156407,2.75,4.0,2.0
10976070,4.33,4.0,1.6
10976356,1.62,4.2,3.8
11463474,2.25,3.5,2.6
11463602,1.83,4.0,3.1
11463599,1.33,5.0,6.0
11464662,5.5,4.25,1.44
11016595,2.0,3.8,2.88
11372352,1.62,3.75,4.33
11465051,2.3,4.2,2.3
11264960,2.9,3.75,2.0
11370317,1.95,3.6,3.75
11070046,5.75,4.5,1.4
11076524,2.3,3.1,3.4
11418226,1.17,6.5,10.0
11424059,1.73,3.5,4.0
11463600,2.4,3.6,2.38
11464884,2.0,3.5,3.0
11367841,1.5,4.33,6.5
11367842,1.4,5.25,7.0
11416802,2.15,3.4,2.9
11328647,2.6,3.1,2.55
11030102,2.5,3.4,2.5
10932750,2.45,3.4,2.88
11041785,1.14,7.5,12.0
11463218,3.25,4.0,1.8
11463220,2.55,4.5,2.0
10990948,6.5,5.5,1.3
11379357,1.57,4.0,4.33
11035301,1.44,4.2,5.75
11030101,2.1,3.3,3.2
11042611,1.07,10.0,26.0
10932752,8.0,4.75,1.4
11437732,1.44,4.2,5.5
10932754,3.4,3.6,2.05
11463221,2.63,4.33,2.0
10932757,2.38,3.4,3.0
10932755,3.1,3.5,2.25
11388371,29.0,11.0,1.08
11041911,2.05,3.75,2.88
11367068,1.83,3.6,3.6
11418228,1.12,7.5,11.0
11377175,1.57,3.6,5.0
11464891,1.4,6.0,4.33
11464734,3.0,3.25,2.1
11418196,1.73,3.75,3.75
11372672,2.3,3.25,3.0
11406369,1.04,12.0,26.0
11378996,3.0,3.6,2.0
11463620,7.0,5.0,1.3
11463650,3.5,4.0,1.75
11384930,2.88,3.1,2.38
10923224,1.85,3.4,4.33
11449978,7.5,5.0,1.29
11374607,4.75,3.8,1.62
10923206,2.05,3.3,3.75
11016003,1.95,3.4,3.5
11351379,1.85,3.5,3.8
11388360,15.0,12.0,1.11
11348998,3.75,3.3,1.91
10976362,1.91,3.75,3.1
11423015,1.67,3.6,4.2
11415701,3.75,3.75,1.73
11349007,1.14,7.0,15.0
11463803,2.75,3.6,2.05
11070047,21.0,8.0,1.1
11370318,2.55,3.5,2.7
11354305,1.5,4.0,5.5
11396980,1.44,3.75,6.5
11412960,2.2,3.4,2.75
11367377,2.0,3.1,3.6
10950742,2.55,3.75,2.25
11464660,3.6,3.6,1.8
11457039,2.7,3.5,2.2
11463802,3.5,4.0,1.73
11464687,6.0,4.75,1.36
11350996,1.45,4.0,8.0
11367618,1.44,4.5,5.75
11444892,2.6,2.9,2.6
11459898,2.4,3.4,2.5
10989094,2.62,3.2,2.3
10989087,1.67,3.25,4.75
11418230,1.4,4.0,6.5
11347289,2.1,3.5,3.0
11463904,2.38,3.75,2.38
11416794,4.2,3.3,1.75
11349012,11.0,6.5,1.17
11374964,2.1,3.0,3.3
11416803,3.8,3.5,1.75
11450569,2.62,2.8,2.62
11373156,1.18,6.5,9.0
10932751,2.45,3.6,2.7
11398068,2.5,3.2,2.45
11447345,2.75,3.4,2.2
11421957,1.53,3.6,5.5
11463933,2.75,3.4,2.2
11081648,6.0,3.5,1.53
11464144,1.22,6.0,8.5
11081641,1.95,3.0,3.8
11434649,2.3,3.2,3.3
11452810,1.73,3.3,4.33
11452877,2.05,3.1,3.25
11425476,2.63,3.4,2.7
11434023,7.0,5.25,1.29
11433941,5.5,3.6,1.53
11114410,2.3,3.25,2.7
11114403,2.5,2.8,2.8
11351386,1.75,3.4,4.0
11449984,2.1,3.6,2.75
11464787,9.0,7.0,1.17
11464143,1.57,4.0,4.33
11081720,2.4,2.75,3.0
11465053,1.67,5.0,3.2
11453989,2.75,2.8,2.55
11114405,1.91,3.2,3.75
11464145,1.8,4.0,3.25
11372678,2.15,3.1,3.25
11453986,2.7,3.1,2.38
11453988,1.83,3.3,3.75
11453987,2.4,3.0,2.75
11433939,1.36,4.5,6.5
11425413,6.5,4.5,1.36
11449270,6.0,4.0,1.44
10997564,2.88,2.9,2.75
11374606,4.0,3.5,1.8
11148691,1.5,4.33,4.5
11351000,3.1,3.1,2.5
11372013,2.55,3.0,2.7
11081708,2.0,3.25,3.3
11081695,1.75,3.2,4.33
11081688,1.57,3.2,6.0
10999788,2.0,2.9,3.75
11372014,2.05,2.8,4.0
11081662,1.8,3.0,4.5
10999797,1.62,3.2,5.5
10999791,2.3,2.88,3.0
11000182,1.6,3.6,6.5
10999795,1.5,4.0,5.0
11000181,4.75,3.1,1.91
11000175,3.0,2.8,2.8
10999787,2.2,2.75,3.5
10999794,4.0,3.0,1.91
11384939,2.63,3.2,2.55
10997560,2.0,3.2,4.33
11443650,3.5,2.88,2.1
11041489,2.88,2.88,2.38
11076531,2.05,3.25,3.8
11372012,2.8,2.8,2.6
10999792,3.0,2.88,2.3
10961714,3.5,3.3,2.15
11114391,2.62,3.0,2.6
11000177,2.0,3.1,4.5
11067581,1.75,3.6,5.0
11114389,2.55,3.1,2.62
11081714,1.67,3.2,5.0
11067579,3.25,3.0,2.38
10989093,2.45,3.2,2.55
